county_fips,lt_debt_retired_other,lt_debt_outstanding_end,interest_on_debt,rev_property_tax,rev_sales_tax,lt_debt_issued_other,lt_debt_retired_pub,lt_debt_outstanding_indrev,capex,lt_debt_issued_pub,rev_income_tax
01001,1.185,12.09,0.333,5.254,2.227,0.0,0.0,0.0,0.0,0.0,0.0
01003,10.682,90.653,4.339,34.59,12.431,5.348,0.28,4.475,20.549,0.0,0.0
01005,0.633,1.242,0.075,2.129,0.935,0.0,0.0,0.0,2.555,0.0,0.0
01007,0.486,3.986,0.198,1.979,1.085,0.0,0.0,0.0,0.0,0.0,0.0
01011,0.242,1.23,0.113,1.65,0.76,0.0,0.07,0.645,0.0,0.0,0.0
01013,0.877,4.155,0.202,2.802,1.014,0.0,0.0,0.0,0.0,0.0,0.0
01015,1.031,5.862,0.547,11.566,6.365,0.0,0.0,0.0,5.679,0.0,0.0
01017,0.484,0.0,0.019,3.792,1.753,0.0,0.0,0.0,0.0,0.0,0.0
01019,0.715,13.46,0.205,3.513,3.636,1.524,0.0,0.0,0.534,0.0,0.0
01021,0.491,4.0,0.199,9.838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01023,0.611,3.865,0.179,1.855,0.93,0.0,0.0,0.0,0.0,0.0,0.0
01025,5.641,8.909,0.647,3.405,1.891,0.0,0.0,0.0,0.0,0.0,0.0
01027,0.284,3.033,0.159,1.592,0.333,0.036,0.0,0.0,0.0,0.0,0.0
01029,0.18,1.957,0.037,1.297,0.783,0.392,0.0,0.0,3.541,0.0,0.0
01031,0.617,5.381,0.24,6.091,1.261,0.0,0.0,0.0,0.0,0.0,0.0
01033,0.612,5.345,0.024,6.131,0.0,0.0,0.0,0.0,1.65,0.0,0.0
01035,2.645,7.195,0.835,2.45,0.857,0.0,0.0,0.0,0.932,0.0,0.0
01037,0.242,1.898,0.071,1.458,0.549,0.0,0.0,0.0,0.884,0.0,0.0
01039,1.751,11.075,0.513,5.315,2.663,0.0,0.0,0.0,0.0,0.0,0.0
01043,1.767,31.227,0.565,9.872,10.696,0.0,0.275,4.39,0.0,0.0,0.0
01047,0.33,3.86,0.264,4.758,2.775,0.0,0.62,2.985,0.0,0.0,0.0
01049,0.61,11.245,0.474,4.204,1.744,0.0,0.0,0.0,0.0,0.0,0.0
01051,0.18,1.291,0.93,7.917,2.116,0.0,1.13,19.74,0.0,0.0,0.0
