county_fips,lt_debt_issued_other,lt_debt_retired_other,lt_debt_outstanding_end,interest_on_debt,rev_property_tax,rev_sales_tax,capex,rev_income_tax
01001,0.485,1.22,9.406,0.29,6.499,2.546,0.0,0.0
01003,47.377,36.23,76.107,3.764,46.264,28.842,0.446,0.0
01015,5.13,0.945,7.818,0.263,13.131,4.896,3.798,0.0
01021,0.339,0.548,12.406,0.505,8.303,5.618,0.0,0.0
01031,1.728,5.691,18.097,0.882,9.235,2.812,2.924,0.0
01043,0.39,3.091,12.375,0.153,11.484,19.366,2.9,0.0
01049,12.715,8.675,12.715,0.347,5.08,2.331,4.76,0.0
01073,77.685,4.227,2228.902,90.883,146.371,264.271,57.914,0.0
01097,111.27,72.68,189.859,9.688,89.776,78.463,5.33,0.0
01099,1.749,2.189,13.759,0.337,2.214,1.5,6.781,0.0
01101,27.195,9.418,50.286,1.3,25.301,61.366,4.548,0.0
01103,0.377,2.075,22.664,0.72,24.38,0.0,1.393,0.0
01121,12.31,14.55,17.875,0.704,12.493,3.159,0.759,0.0
01131,0.329,0.368,9.8,0.0,3.413,0.925,0.001,0.004
01133,0.425,0.733,8.215,0.0,3.54,4.0,0.629,0.0
02090,1.513,9.142,235.215,3.645,152.896,0.0,10.114,0.0
02122,0.9,13.894,89.64,4.015,74.732,44.989,10.204,0.0
02170,0.918,21.656,258.249,10.305,154.141,0.0,56.083,0.0
02185,154.44,137.905,204.84,10.929,393.942,0.0,46.506,0.0
02230,2.643,0.885,22.176,0.782,2.709,1.351,6.131,0.0
04007,17.858,5.751,69.095,1.972,29.233,0.0,6.431,0.0
04017,16.56,1.298,25.626,0.619,12.982,14.989,1.414,0.0
04019,95.0,157.856,771.887,38.419,502.711,0.044,110.964,0.0
05003,0.285,0.246,0.266,0.003,2.872,4.536,0.337,0.0
05019,8.845,0.07,9.0,0.013,2.799,6.261,0.369,0.0
05025,0.3,0.0,0.6,0.012,4.293,0.0,0.012,0.0
05029,0.15,0.27,0.675,0.017,4.675,6.523,0.149,0.0
05041,0.101,0.282,9.229,0.0,2.535,4.632,0.257,0.0
05047,2.239,2.16,2.696,0.0,2.919,3.289,0.928,0.0
05049,0.103,0.723,3.903,0.144,1.158,3.299,0.093,0.0
05063,0.238,0.327,0.262,0.009,5.543,11.025,0.79,0.0
05075,0.085,1.536,8.093,0.271,2.401,5.778,5.806,0.0
05081,0.219,0.341,13.468,0.472,2.484,4.928,0.214,0.0
05117,0.056,0.358,3.81,0.106,1.747,1.649,0.978,0.0
05137,2.516,2.696,8.056,0.043,1.452,2.731,0.29,0.0
05145,0.578,0.431,1.041,0.026,6.196,24.192,2.358,0.0
06001,263.482,110.776,2202.263,82.409,1269.885,30.052,72.172,0.0
06005,0.911,1.472,8.692,0.37,26.252,3.965,13.974,0.0
06007,11.013,3.341,56.867,1.99,77.2,6.687,19.067,0.0
06009,4.89,2.298,43.804,1.64,27.099,5.418,13.038,0.0
06011,1.61,0.011,1.793,0.004,18.08,2.717,1.344,0.0
06013,109.451,150.502,580.99,18.962,922.366,150.298,75.123,0.0
06017,-0.001,6.922,56.674,2.544,137.273,18.645,13.865,0.0
06019,36.708,34.758,596.465,26.315,295.932,65.998,31.336,0.0
06021,-0.308,0.498,11.228,0.292,15.034,2.665,10.678,0.0
06027,0.311,0.84,4.494,0.206,16.105,2.189,12.048,0.0
06029,1.091,41.912,285.397,29.924,422.822,66.214,59.37,0.0
06033,0.552,0.407,11.987,0.525,36.597,4.292,2.085,0.0
06037,977.189,1424.119,6828.792,343.286,10212.951,599.354,266.841,0.0
06039,4.435,9.172,241.239,4.965,58.219,10.852,42.522,0.0
06041,1.288,15.645,207.683,9.262,286.821,19.436,37.667,0.0
06051,6.832,0.811,29.229,1.049,25.734,0.872,1.465,0.0
06055,26.189,45.703,83.747,2.117,136.071,15.021,38.321,0.0
06059,-3.404,86.56,1269.744,52.058,1471.309,10.902,430.69,0.0
06061,64.676,28.268,358.017,9.941,242.555,30.791,63.306,0.0
06065,1066.349,1167.545,3080.209,125.238,1194.43,48.984,174.776,0.0
06067,234.687,226.014,3363.781,171.747,606.501,188.43,53.652,0.0
06069,-0.022,0.599,25.644,0.58,23.406,2.438,16.593,0.0
06071,-22.532,212.499,816.765,98.601,1202.297,50.812,141.241,0.0
06073,124.179,107.812,1337.232,55.456,1609.327,43.268,265.66,0.0
06077,49.69,80.527,491.845,9.296,328.015,33.118,85.062,0.0
06079,5.383,32.318,788.572,28.618,229.61,18.841,51.997,0.0
06081,0.337,56.68,1314.85,31.1,602.577,139.683,121.934,0.0
06083,17.432,17.932,453.988,27.504,429.053,24.229,93.28,0.0
06085,1050.72,144.945,4157.624,101.131,1858.616,79.129,287.16,0.0
06087,197.001,18.104,344.125,9.713,153.63,28.221,45.556,0.0
06091,18.85,0.736,23.884,0.057,4.838,0.208,0.736,0.0
06093,-0.096,1.047,38.784,0.83,20.971,1.52,2.28,0.0
06095,60.0,14.122,206.161,6.35,230.563,3.095,40.03,0.0
06097,121.601,86.203,570.242,21.853,351.196,96.272,89.006,0.0
06099,-0.004,5.8,142.297,5.924,165.222,37.212,17.305,0.0
06101,-0.443,1.022,12.152,0.189,38.933,5.925,7.357,0.0
06105,0.625,0.827,2.243,0.103,10.5,1.559,4.655,0.0
06107,9.062,15.347,260.303,9.527,172.33,19.679,125.076,0.0
06111,-3.339,52.513,705.328,17.586,825.07,14.146,114.561,0.0
06113,-0.072,6.441,90.666,3.003,71.502,5.482,36.14,0.0
06115,1.588,10.674,154.22,3.538,30.43,17.346,25.659,0.0
08007,0.007,0.894,14.87,0.471,7.04,8.699,7.204,0.0
08013,20.342,41.509,200.29,7.464,225.935,77.48,42.547,0.0
08021,0.015,0.04,0.43,0.019,2.224,0.0,0.008,0.0
08029,0.089,0.052,1.768,0.069,5.571,9.515,4.982,0.0
08037,20.476,1.609,111.748,2.764,28.874,37.685,2.306,0.0
08043,13.887,14.351,20.637,0.491,6.903,17.45,4.597,0.0
08051,0.914,1.955,57.508,1.366,11.577,6.091,1.343,0.0
08061,0.207,0.154,0.221,0.007,2.196,0.0,0.257,0.0
08063,0.024,0.0,0.604,0.023,8.258,0.0,0.037,0.0
08071,0.003,0.168,0.53,0.028,3.98,5.578,2.047,0.0
08081,24.212,1.279,28.181,0.342,10.05,4.275,0.498,0.0
08089,0.154,0.186,1.767,0.072,3.751,2.528,0.0,0.0
08101,62.591,62.484,102.162,4.083,62.521,36.86,5.898,0.0
10003,299.519,208.353,584.289,17.374,146.474,0.0,32.046,0.0
10005,11.356,9.169,202.18,7.999,84.242,0.0,50.953,0.0
12001,45.85,10.833,87.467,1.236,146.187,13.829,29.691,0.0
12003,0.223,1.727,1.317,0.077,6.594,2.31,1.246,0.0
12005,76.801,79.029,354.257,5.509,103.284,16.563,24.666,0.0
12015,17.413,31.897,216.236,2.207,163.968,33.089,44.539,0.0
12021,116.1,39.0,766.085,14.628,400.607,55.732,151.762,0.0
12035,12.758,14.953,94.318,3.261,85.173,0.0,12.493,0.0
12037,0.522,0.61,4.765,0.001,11.995,2.937,5.6,0.0
12039,5.001,3.362,14.207,0.439,12.747,5.536,5.031,0.0
12041,0.2,0.382,1.186,0.049,8.744,1.401,0.907,0.0
12051,0.214,1.712,12.225,0.212,18.651,3.888,1.701,0.0
12053,5.708,9.356,91.925,0.708,91.446,0.0,13.918,0.0
12057,296.837,205.666,1653.083,36.877,986.049,323.275,282.339,0.0
12059,0.349,0.401,1.718,0.058,4.292,0.0,4.544,0.0
12063,13.824,5.956,19.962,0.221,11.363,2.777,6.823,0.0
12065,0.295,1.387,9.503,0.343,4.654,0.0,1.588,0.0
12071,147.834,276.98,967.147,35.175,428.5,0.0,156.903,0.0
12073,14.457,4.281,28.907,0.567,162.016,5.277,19.447,0.0
12081,21.349,25.895,392.402,5.932,276.464,33.848,19.409,0.0
12083,1.792,10.844,102.277,0.986,157.061,30.613,50.498,0.0
12085,5.013,18.739,156.421,4.042,217.707,0.0,58.907,0.0
12086,3968.692,2623.712,19180.719,506.059,2265.531,621.772,385.639,0.0
12089,4.937,3.965,27.496,1.682,89.178,27.436,18.301,0.0
12091,2.566,9.078,133.786,3.481,75.802,0.0,45.607,0.0
12093,0.803,1.796,0.905,0.048,20.759,6.11,7.005,0.0
12095,140.74,72.87,1218.181,34.921,1044.808,0.0,209.546,0.0
12099,63.087,90.905,1133.6,32.342,1346.709,0.0,167.576,0.0
12101,251.614,87.598,588.292,31.456,289.826,36.53,249.059,0.0
12103,56.395,67.493,196.105,4.43,626.386,188.399,75.148,0.0
12107,0.364,1.069,29.713,0.55,46.451,3.895,11.382,0.0
12109,54.672,29.408,353.679,6.641,208.462,0.0,41.985,0.0
12111,9.328,22.084,166.519,6.394,198.592,16.251,12.127,0.0
12113,44.436,2.465,48.16,0.732,65.653,17.705,45.774,0.0
12115,15.085,63.681,680.559,14.43,251.911,86.95,78.509,0.0
12123,0.326,0.559,0.332,0.023,13.105,0.0,6.177,0.0
13013,0.786,6.535,44.332,1.984,39.577,23.596,6.927,0.0
13027,0.976,0.483,1.113,0.043,7.295,2.746,0.856,0.0
13029,29.559,7.157,39.679,0.641,17.115,21.876,6.293,0.0
13031,0.797,2.53,7.33,0.367,30.63,29.797,11.155,0.0
13045,11.376,8.83,94.055,2.028,32.433,41.756,3.403,0.0
13047,0.082,0.023,8.797,0.35,16.311,18.124,7.547,0.0
13063,92.755,17.414,669.09,23.788,172.099,102.85,38.788,0.0
13067,29.995,42.12,622.561,27.774,488.258,181.681,32.734,0.0
13073,44.99,49.365,109.16,3.704,56.79,65.104,26.278,0.0
13077,6.53,2.025,26.58,0.624,64.661,52.322,17.044,0.0
13087,7.155,0.533,12.164,0.122,11.408,14.611,1.97,0.0
13089,29.795,48.32,939.251,44.656,437.082,224.081,0.0,0.0
13103,18.8,27.875,89.995,2.013,33.584,23.427,8.62,0.0
13107,0.194,1.133,3.778,0.152,8.463,5.675,5.291,0.0
13113,18.899,29.765,42.779,3.293,50.934,31.899,11.732,0.0
13119,0.11,1.089,14.596,0.416,9.927,8.59,0.573,0.0
13121,124.805,24.175,1142.085,30.53,708.614,14.432,2.845,0.0
13135,146.439,265.819,1206.906,32.055,591.469,210.096,193.401,0.0
13143,0.71,0.0,0.71,0.002,12.418,9.893,0.818,0.0
13153,6.294,0.0,6.294,0.11,55.522,35.189,30.995,0.0
13169,3.75,0.65,13.796,0.265,13.213,4.801,2.026,0.0
13179,25.0,3.483,59.672,0.845,25.262,27.959,4.356,0.0
13181,1.834,1.872,5.393,0.149,3.567,2.57,0.938,0.0
13185,1.05,1.08,16.305,0.539,44.325,17.191,13.879,0.0
13187,4.86,5.524,45.739,1.731,12.33,13.708,6.46,0.0
13209,0.342,0.044,0.299,0.015,3.513,1.641,0.966,0.0
13211,0.007,2.127,1.478,0.148,13.461,16.53,0.0,0.0
13217,11.972,6.072,86.252,2.149,50.755,34.547,4.764,0.0
13219,44.628,4.935,110.315,2.489,19.959,18.64,12.085,0.0
13221,0.052,0.0,3.081,0.121,4.112,3.007,0.59,0.0
13223,1.058,12.77,337.997,11.025,78.247,51.721,2.803,0.0
13227,1.867,1.308,15.111,0.393,15.118,12.339,1.101,0.0
13229,0.19,0.126,0.573,0.02,6.45,4.905,1.458,0.0
13247,7.364,7.475,105.515,4.739,39.508,42.956,17.74,0.0
13253,0.003,0.609,1.492,0.083,5.447,3.102,1.296,0.0
13255,10.0,4.085,22.645,0.515,36.089,14.995,4.913,0.0
13267,0.146,0.776,4.006,0.198,7.543,4.837,2.841,0.0
13271,0.74,0.19,2.209,0.082,5.212,2.191,2.062,0.0
13273,0.121,0.056,0.242,0.004,4.589,2.595,2.026,0.0
13277,10.078,4.354,12.544,0.451,16.636,19.413,8.877,0.0
13279,6.703,2.084,40.921,1.144,8.115,6.242,2.174,0.0
13297,111.933,3.235,194.196,2.234,42.111,32.528,0.0,0.0
13301,0.562,0.132,1.343,0.033,2.843,2.09,1.732,0.0
13311,0.274,0.782,3.907,0.101,13.277,11.524,4.292,0.0
15001,14.105,43.552,559.398,18.168,372.701,63.737,44.918,0.0
15007,14.581,14.444,199.718,4.293,159.025,32.471,17.887,0.0
16053,7.755,8.215,8.355,0.32,8.689,0.0,0.002,0.0
16059,3.415,7.095,8.701,0.405,3.151,0.0,1.316,0.0
17003,0.197,0.033,0.326,0.007,2.544,0.0,1.081,0.0
17005,0.039,0.0,0.039,0.0,3.623,0.0,0.134,0.0
17031,1150.433,835.125,3116.243,140.292,976.112,1035.797,123.022,0.0
17033,0.25,0.12,0.13,0.033,4.956,0.0,1.016,0.0
17037,0.217,10.319,62.317,2.107,27.749,0.0,6.807,0.0
17043,172.262,285.821,245.692,14.37,75.726,0.0,45.397,0.0
