slug,county_fips,state,county_name,fy,pdf,property_tax,property_tax_page,property_tax_line,total_revenue,total_revenue_page,total_revenue_line,capital_outlay,capital_outlay_page,capital_outlay_line,lt_debt_outstanding,lt_debt_outstanding_page,lt_debt_outstanding_line,interest_expense,interest_expense_page,interest_expense_line
crook_or,41013,OR,Crook County,2025,crook_county_or_acfr_2025.pdf,14808139.0,17.0,"Property taxes 14,808,139 14,320,739 - - 14,808,139 14,320,739",64838191.0,17.0,"Total revenues 64,838,191 48,170,992 7 ,994,874 4 ,590,449 72,833,065 52,761,441",183528.0,26.0,"Capital outlay 183,528 6 75,618 70,391 90,950 49,015 - 3,063,950 3 71,172 4,504,624",51563310.0,19.0,"Long-term debt. As of June 30, 2025, Crook County’s outstanding bonded debt was $51,563,310. Other",213541.0,17.0,"Interest on long-term debt 213,541 199,689 241,116 222,020 454,657 421,709"
morrow_or,41049,OR,Morrow County,2018,morrow_county_or_acfr_2018.pdf,8100960.0,15.0,"Property taxes 8,100,960 8,782,495",23708471.0,15.0,"Total revenues 23,708,471 21,875,499",903228.0,26.0,"Capital outlay 903,228 348,381 503,135 724,869 2,479,613",347139.0,19.0,"long-term debt decreased by $347,139 during the current fiscal year.",40668.0,15.0,"Interest on long-term debt 40,668 54,826"
morrow_or,41049,OR,Morrow County,2019,morrow_county_or_acfr_2019.pdf,8100960.0,15.0,"Property taxes 8,859710 8,100,960",26314016.0,15.0,"Total revenues 26,314,016 23,708,471",748970.0,26.0,"Capital outlay 748,970 512,515 434,535 1,696,020",232537.0,19.0,"long-term debt decreased by $232,537 during the current fiscal year.",28830.0,15.0,"Interest on long-term debt 28,830 40,668"
morrow_or,41049,OR,Morrow County,2020,morrow_county_or_acfr_2020.pdf,9794092.0,15.0,"Property taxes 9,794,092 8,859,710",28969156.0,15.0,"Total revenues 28,969,156 26,314,016",1085398.0,27.0,"Capital outlay 8 72,549 5,109 1,085,398 1,963,056",480111.0,23.0,"Long-term debt, due within one year 480,111",28544.0,15.0,"Interest on long-term debt 28,544 28,830"
morrow_or,41049,OR,Morrow County,2021,morrow_county_or_acfr_2021.pdf,10548982.0,15.0,"Property taxes 10,548,982 9,794,092",35802573.0,15.0,"Total revenues 35,802,573 28,969,156",1300946.0,27.0,"Capital outlay 7 35,611 1,300,946 3,484,461 2,075,296 7,596,314",532659.0,23.0,"Long-term debt, due within one year 532,659",29244.0,15.0,"Interest on long-term debt 29,244 28,544"
morrow_or,41049,OR,Morrow County,2022,morrow_county_or_acfr_2022.pdf,,,,,,,,,,,,,,,
morrow_or,41049,OR,Morrow County,2023,morrow_county_or_acfr_2023.pdf,,,,,,,,,,,,,,,
morrow_or,41049,OR,Morrow County,2024,morrow_county_or_acfr_2024.pdf,,,,,,,,,,,,,,,
morrow_or,41049,OR,Morrow County,2025,morrow_county_or_acfr_2025.pdf,15641094.0,14.0,"Property taxes 15,641,094 15,662,797",49469488.0,14.0,"Total revenues 49,469,488 53,506,852",1486503.0,25.0,"Capital outlay 1,486,503 565,068 1,107,249 20,733 1,253,089 4,432,642",6424103.0,44.0,"Total long-term debt 6,424,103 - 513,537 5,910,566 524,689",,,
umatilla_or,41059,OR,Umatilla County,2016,umatilla_county_or_acfr_2016.pdf,,,,,,,,,,,,,,,
umatilla_or,41059,OR,Umatilla County,2017,umatilla_county_or_acfr_2017.pdf,,,,,,,,,,,,,,,
umatilla_or,41059,OR,Umatilla County,2018,umatilla_county_or_acfr_2018.pdf,,,,,,,,,,,,,,,
umatilla_or,41059,OR,Umatilla County,2019,umatilla_county_or_acfr_2019.pdf,,,,,,,,,,,,,,,
umatilla_or,41059,OR,Umatilla County,2020,umatilla_county_or_acfr_2020.pdf,18639145.0,12.0,"Property taxes 18,639,145",23962747.0,12.0,"Total general revenues 23,962,747",537507.0,15.0,"Capital outlay 537,507 1 ,997,095 - - 1,032,214 3,566,816",9535000.0,14.0,"Bonds payable (9,535,000)",535380.0,12.0,"Interest on long-term debt 535,380 - - - (535,380)"
umatilla_or,41059,OR,Umatilla County,2021,umatilla_county_or_acfr_2021.pdf,19656776.0,12.0,"Property taxes 19,656,776",24277850.0,12.0,"Total general revenues 24,277,850",467041.0,15.0,"Capital outlay 51,690 467,041 1,019,413 1,538,144",8655000.0,14.0,"Bonds payable (8,655,000)",496873.0,12.0,"Interest on long-term debt 496,873 - - - (496,873)"
umatilla_or,41059,OR,Umatilla County,2022,umatilla_county_or_acfr_2022.pdf,,,,,,,,,,,,,,,
umatilla_or,41059,OR,Umatilla County,2023,umatilla_county_or_acfr_2023.pdf,22713457.0,13.0,"Property taxes 22,713,457",29785525.0,13.0,"Total general revenues 29,785,525",551759.0,16.0,"Capital outlay 551,759 1,530,373 - 2,783,770 4,263,956 9,129,858",6555000.0,15.0,"Bonds payable (6,555,000)",393182.0,13.0,"Interest on long-term debt 393,182 - - - (393,182)"
umatilla_or,41059,OR,Umatilla County,2024,umatilla_county_or_acfr_2024.pdf,23768779.0,13.0,"Property taxes 23,768,779",32455314.0,13.0,"Total general revenues 32,455,314",1173049.0,16.0,"Capital outlay - 1,173,049 - 17,164,862 607,971 18,945,882",5320000.0,15.0,"Bonds payable (5,320,000)",336111.0,13.0,"Interest on long-term debt 336,111 - - - (336,111)"
umatilla_or,41059,OR,Umatilla County,2025,umatilla_county_or_acfr_2025.pdf,25403483.0,13.0,"Property taxes 25,403,483",34243545.0,13.0,"Total general revenues 34,243,545",2033686.0,16.0,"Capital outlay 2,033,686 1,406,500 - 3,501,768 1,293,890 8,235,844",3945000.0,15.0,"Bonds payable (3,945,000)",272791.0,13.0,"Interest on long-term debt 272,791 - - - (272,791)"
mecklenburg_va,51117,VA,Mecklenburg County,2023,mecklenburg_county_va_acfr_2023.pdf,10700962.0,12.0,"General property taxes, real and personal 1 10,700,962 98,798,924",40962523.0,12.0,"Total Revenues 1 40,962,523 135,367,818",6913176.0,97.0,"Capital Outlay Fund Capital projects 2 6,913,176",19683525.0,15.0,"Long-term debt, plus premiums $1 19,683,525 $ 20,552,289 $ 140,235,814",825482.0,12.0,"Interest on long-term debt 3 ,825,482 4,079,271"
grant_wa,53025,WA,Grant County,2023,grant_county_wa_acfr_2023.pdf,,,,177010677.0,2.0,"Total Revenues: 177,010,677 60,540,633 23,747,507 228,988",,,,,,,,,
mayes_ok,40097,OK,Mayes County,2024,mayes_county_ok_fr_2024.pdf,,,,,,,,,,,,,,,
