county_fips,county_name,state,fy,property_tax_gf,total_revenue_gf,capital_outlay_gf,lt_debt_outstanding,interest_expense,property_tax_allfunds,total_revenue_allfunds,capital_outlay_allfunds,state_pt_structure,bundled_taxes_gf
01071,Jackson County,AL,2022,4073385.0,11568604.0,111912.0,,,6622969.0,,1422264.0,consolidated (jackson county commission = primary government; no blended cus),
01089,Madison County,AL,2024,94586462.0,157167184.0,13538241.0,,,94586462.0,206178616.0,23069997.0,consolidated,
04013,Maricopa County,AZ,2023,658345858.0,1928877696.0,86910196.0,,,759909013.0,3194460129.0,407453774.0,mixed,
13075,Cook County,GA,2023,8125103.0,12312455.0,485282.0,,,13642438.0,24395415.0,2531674.0,semi-split,
13097,Douglas County,GA,2023,112526722.0,132251881.0,,,,112526722.0,221101763.0,8947266.0,semi,
13099,Early County,GA,2024,,11175640.0,,,,6204070.0,18814861.0,,acfr_govwide_d2,
13121,Fulton County,GA,2023,646600.0,814590.0,,,,697487.0,986979.0,80088.0,semi,
13157,Jackson County,GA,2023,76647798.0,89328567.0,0.0,,,,132034482.0,16286753.0,semi,
13217,Newton County,GA,2023,,87594740.0,0.0,,,52629600.0,134566084.0,25954904.0,semi,
13225,Peach County,GA,2024,,24965692.0,,,,13773859.0,42237215.0,,acfr_govwide_d2,
13257,Stephens County,GA,2025,13693918.0,23777342.0,,,,,,,munispot_v2_gf,
13271,Telfair County,GA,2023,5492888.0,8060206.0,,,,,,,munispot_v2_gf,
13291,Union County,GA,2023,,26782739.0,,,,14072399.0,47823440.0,,acfr_govwide_d2,
13303,Washington County,GA,2020,,,,,,,,,,
13313,Whitfield County,GA,2022,20078821.0,49927950.0,,,,30871106.0,95310521.0,20019520.0,semi,
13317,Wilkes County,GA,2024,5005336.0,13019489.0,618002.0,1300000.0,14851.0,,,,,
13319,Wilkinson County,GA,2022,,9700716.0,,,,4799935.0,12035986.0,,acfr_govwide_d2,
16001,Ada County,ID,2023,124948138.0,254154775.0,12943658.0,,,151402592.0,305263189.0,42683286.0,idaho code title 63. counties levy countywide for general operations under statutory cap; voter,
17037,DeKalb County,IL,2024,18397122.0,36668234.0,0.0,,,27014521.0,72733382.0,1186454.0,semi-split,
18141,St. Joseph County,IN,2023,45828739.0,92741445.0,101079.0,,,68408702.0,581572278.0,32319045.0,in circuit,
18153,Sullivan County,IN,2022,6671909.0,8217828.0,67772.0,,,7592123.0,44683588.0,4062050.0,indiana cash,
21019,Boyd County,KY,2025,,37929616.0,,,,,,,KY-bundled-taxes-not-separable,9696598.0
21109,Jackson County,KY,2022,313743.0,3281657.0,,,,,,,KY-itemized-property-only(audit-disclaimer),
21127,Lawrence County,KY,2022,,2872981.0,179247.0,,,,6576131.0,,KY-bundled-taxes-not-separable,1430559.0
21127,Lawrence County,KY,2024,,,,,,,,,KY-bundled-taxes-not-separable,
21145,McCracken County,KY,2022,,25986624.0,157400.0,,,,46454976.0,9339976.0,KY-bundled-taxes-not-separable,19952622.0
21157,Marshall County,KY,2023,3038437.0,12153672.0,,,,3256190.0,16300042.0,,KY-property-only-occ-in-separate-fund(inferred),
21195,Pike County,KY,2022,,12402242.0,0.0,,,,43562090.0,804910.0,KY-bundled-taxes-not-separable,9962775.0
21225,Union County,KY,2023,,3737700.0,642100.0,,,,13115714.0,1534700.0,KY-bundled-taxes-not-separable,
26027,Cass County,MI,2023,,,,,,,,,"michigan ad valorem, millage",
29047,Clay County,MO,2023,1587003.0,44218074.0,92393.0,,,5583527.0,104972289.0,2755177.0,"mo county retains only its own levy (~0.3087/$100 av in 2023). schools, cities, libraries levy separately via collector. county property tax = gf portion ($1.587m) + road & bridge ($4.013m) only; surtax ($947k) and 911 tax ($127k) reported separately. total assessed value (county",
30093,Silver Bow County,MT,2023,,,,,,,,,"montana uses department of revenue certified mill levy system. property types: real estate (due nov/may), personal property + mobile home (due jul/sep), centrally assessed (due nov/may). values recertified biennially. mt gross proceeds tax (mining) is a major revenue component here",
31153,Sarpy County,NE,2024,64599397.0,112118544.0,8858454.0,,,67330539.0,154429780.0,40546462.0,consolidated,
32007,Elko County,NV,2024,10999846.0,45826630.0,,,,,,,munispot_v2_gf,
32011,Eureka County,NV,2020,4765613.0,18502359.0,,,,,26439620.0,,acfr_pdf_d2,
32013,Humboldt County,NV,2023,,22690058.0,,,,10938070.0,38591519.0,,acfr_govwide_d2,
32029,Storey County,NV,2023,22769019.0,52136000.0,1065500.0,140947.0,118120.0,,,,,
35027,Lincoln County,NM,2025,17339533.0,19523312.0,,,,,,,munispot_v2_gf,
35039,Rio Arriba County,NM,2025,8392273.0,25656521.0,,,,,,,munispot_v2_gf,
35055,Taos County,NM,2025,14860113.0,23693304.0,,,,,,,munispot_v2_gf,
35061,Valencia County,NM,2016,12283478.0,32807135.0,455642.0,12567401.0,,,,,,
37009,Ashe County,NC,2025,24146709.0,49973945.0,,,,,,,munispot_v2_gf,
37011,Avery County,NC,2025,21434964.0,44763388.0,,,,,,,munispot_v2_gf,
37039,Cherokee County,NC,2022,21759268.0,64948062.0,2560490.0,,20025.0,,,,,
37069,Franklin County,NC,2024,67090739.0,146507294.0,5662674.0,123929781.0,1194384.0,,,,,
37149,Polk County,NC,2025,41008732.0,76189660.0,,,,,,,munispot_v2_gf,
38009,Bottineau County,ND,2023,2662297.0,5593251.0,,,,4197528.0,16573828.0,,acfr_pdf_d2,
38021,Dickey County,ND,2023,3442882.0,6758609.0,0.0,187705.0,34757.0,3438157.0,9441121.0,5359958.0,unified_mill_levy,
38035,Grand Forks County,ND,2024,16804313.0,27210456.0,5800597.0,,,24503793.0,50985519.0,41672526.0,"nd county mill levies on real/personal property; county has no general sales tax authority; ""taxes"" line = property tax. govt",
38061,Mountrail County,ND,2023,31621.0,52582155.0,,,,1635689.0,72812683.0,,acfr_pdf_d2,
38067,Pembina County,ND,2023,2383155.0,4522403.0,,,,3318201.0,11999599.0,,acfr_pdf_d2,
38093,Stutsman County,ND,2024,6591999.0,12402042.0,0.0,,,9043665.0,26569077.0,2432317.0,"nd counties levy property tax only (no income/sales tax authority); ""taxes"" line in fund stmts = property tax; no oil/gas production tax present (stutsman is central nd, not bakken)",
38105,Williams County,ND,2021,,38085682.0,1191142.0,,,,75727706.0,6148258.0,categorical,
39045,Fairfield County,OH,2023,13531353.0,75898024.0,0.0,,,49838059.0,192167721.0,38836214.0,categorical,
39049,Franklin County,OH,2023,,,,,,531792.0,1813145.0,41073.0,categorical,
39089,Licking County,OH,2023,5808411.0,93832950.0,14495049.0,,,37631504.0,186733812.0,32366649.0,categorical-dominated,
39159,Union County,OH,2023,8060208.0,39256685.0,551337.0,,,19640539.0,91624748.0,4791079.0,categorical,
40097,Mayes County,OK,2023,14329073.0,35229897.0,,,,,,,oklahoma-regulatory,
40097,Mayes County,OK,2024,,,,,,,,,,
40101,Muskogee County,OK,2023,8115506.0,8115506.0,,,,,38274285.0,,oklahoma,
41011,Coos County,OR,2024,6832974.0,19778756.0,,,,,,,munispot_v2_gf,
41013,Crook County,OR,2025,14808139.0,64838191.0,183528.0,51563310.0,213541.0,,,,,
41019,Douglas County,OR,2024,12545484.0,49419899.0,,,,,,,munispot_v2_gf,
41031,Jefferson County,OR,2016,5544955.0,12451818.0,,,,,,,munispot_v2_gf,
41033,Josephine County,OR,2024,5387245.0,21016900.0,,,,15003041.0,78952067.0,,acfr_pdf_d2,
41035,Klamath County,OR,2024,11824274.0,27278526.0,,,,,,,munispot_v2_gf,
41045,Malheur County,OR,2025,7879896.0,21304223.0,,,,,,,munispot_v2_gf,
41049,Morrow County,OR,2018,8100960.0,23708471.0,903228.0,347139.0,40668.0,,,,,
41049,Morrow County,OR,2019,8100960.0,26314016.0,748970.0,232537.0,28830.0,,,,,
41049,Morrow County,OR,2020,9794092.0,28969156.0,1085398.0,480111.0,28544.0,,,,,
41049,Morrow County,OR,2021,10548982.0,35802573.0,1300946.0,532659.0,29244.0,,,,,
41049,Morrow County,OR,2022,,,,,,,,,,
41049,Morrow County,OR,2023,,,,,,,,,,
41049,Morrow County,OR,2024,,,,,,,,,,
41049,Morrow County,OR,2025,15641094.0,49469488.0,1486503.0,6424103.0,,,,,,
41053,Polk County,OR,2024,16204998.0,28018814.0,,,,,,,munispot_v2_gf,
41057,Tillamook County,OR,2025,8863176.0,13162666.0,,,,,,,munispot_v2_gf,
41059,Umatilla County,OR,2016,,,,,,,,,,
41059,Umatilla County,OR,2017,,,,,,,,,,
41059,Umatilla County,OR,2018,,,,,,,,,,
41059,Umatilla County,OR,2019,,,,,,,,,,
41059,Umatilla County,OR,2020,18639145.0,23962747.0,537507.0,9535000.0,535380.0,,,,,
41059,Umatilla County,OR,2021,19656776.0,24277850.0,467041.0,8655000.0,496873.0,,,,,
41059,Umatilla County,OR,2022,,,,,,,,,,
41059,Umatilla County,OR,2023,22713457.0,29785525.0,551759.0,6555000.0,393182.0,,,,,
41059,Umatilla County,OR,2024,23768779.0,32455314.0,1173049.0,5320000.0,336111.0,,,,,
41059,Umatilla County,OR,2025,25403483.0,34243545.0,2033686.0,3945000.0,272791.0,,,,,
42007,Beaver County,PA,2023,57442473.0,79163708.0,2902586.0,,,57442473.0,224839161.0,10755937.0,consolidated,
