slug,fips,state,name,dc_share,pdf,pattern,rank,page,line
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,property_tax,1,17,"Property taxes 14,808,139 14,320,739 - - 14,808,139 14,320,739"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,property_tax,2,22,"Property taxes receivable 642,369 - 642,369"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,property_tax,3,23,"Property taxes for general purposes 14,808,139 - 14,808,139"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,total_revenue,1,17,"Total revenues 64,838,191 48,170,992 7 ,994,874 4 ,590,449 72,833,065 52,761,441"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,total_revenue,2,23,"Total general revenues 23,568,529 469,297 24,037,826"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,total_revenue,3,26,"Total Revenues 1 6,693,392 5 ,447,889 3,664,457 1 3,632,920 7 ,896,699 287,080 16,603,449 5,678,704 69,904,590"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,capital_outlay,1,26,"Capital outlay 183,528 6 75,618 70,391 90,950 49,015 - 3,063,950 3 71,172 4,504,624"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,capital_outlay,2,80,"Capital outlay - - - - - 205,117"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,capital_outlay,3,88,"Capital Outlay - 4 00,000 (1) 2 05,117 1 94,883"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,lt_debt,1,17,"Interest on long-term debt 213,541 199,689 241,116 222,020 454,657 421,709"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,lt_debt,2,19,"Long-term debt. As of June 30, 2025, Crook County’s outstanding bonded debt was $51,563,310. Other"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,lt_debt,3,22,"Current portion of bonds payable (net of premium) 627,129 163,095 790,224"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,interest_expense,1,17,"Interest on long-term debt 213,541 199,689 241,116 222,020 454,657 421,709"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,interest_expense,2,23,"Interest on long-term debt 213,541 - - - (213,541) - (213,541)"
crook_or,41013,OR,Crook County,81.2,crook_county_or_acfr_2025.pdf,interest_expense,3,23,"Interest expense 241,116 - - - - (241,116) (241,116)"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,property_tax,1,12,"General property taxes, real and personal 1 10,700,962 98,798,924"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,property_tax,2,13,"$140,962,523. Property taxes comprise the largest source of these revenues, totaling"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,property_tax,3,14,"general property taxes and other local taxes, while actual expenditures were $1,792,912, or 1.6%"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,total_revenue,1,12,"Total Revenues 1 40,962,523 135,367,818"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,total_revenue,2,19,"Total General Revenues 125,059,332 46,842,745 57,943,601"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,total_revenue,3,22,"Total Revenues 132,256,708 98,750 4 49,381 3 ,082,677 33,211,208 2 ,494,461 2 ,069,101 1 ,679,192 175,341,478"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,capital_outlay,1,3,"Microsoft Capital Project, and School Capital Outlay 116-119"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,capital_outlay,2,13,"The Capital Outlay Fund has a total fund balance of $30,913,176, all of which is assigned for"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,capital_outlay,3,23,"Lease asset capital outlay expenditures which were capitalized 58,363"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,lt_debt,1,12,"Interest on long-term debt 3 ,825,482 4,079,271"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,lt_debt,2,13,"Interest on long-term debt and fiscal charges 3 ,825,482 ( 3,825,482) 4 ,079,271 ( 4,079,271)"
mecklenburg_va,51117,VA,Mecklenburg County,48.7,mecklenburg_county_va_acfr_2023.pdf,lt_debt,3,15,"Long-term debt, plus premiums $1 19,683,525 $ 20,552,289 $ 140,235,814"
