county_fips,ann_firstmaj,ann_dom
01089,2021.0,2022.0
04013,2015.0,2015.0
13097,2003.0,2015.0
13121,2000.0,2019.0
13217,2018.0,2018.0
13313,2018.0,2021.0
17037,2020.0,2022.0
18141,2024.0,2024.0
19155,2012.0,2022.0
28089,2024.0,2024.0
30093,2018.0,2018.0
31153,2017.0,2022.0
32003,2018.0,2018.0
32029,2015.0,2022.0
32031,2019.0,2019.0
35061,2022.0,2022.0
36063,2019.0,2021.0
37039,2017.0,2017.0
38021,2022.0,2022.0
39045,2021.0,2021.0
39049,2019.0,2019.0
39089,2019.0,2023.0
41049,2017.0,2017.0
41059,2019.0,2019.0
42007,2021.0,2022.0
48221,2021.0,2022.0
48331,2018.0,2018.0
48355,2023.0,2023.0
48371,2021.0,2021.0
49035,2019.0,2019.0
51107,2015.0,2015.0
51153,2021.0,2022.0
53025,2006.0,2006.0
56021,2012.0,2012.0
