county_fips,dcname,city,mw_peak,sp_op_year,announce_year,confidence,source_url,evidence
18141,New Carlisle 1,New Carlisle,60.0,2024,2024,H,https://iedc.in.gov/events/news/details/2024/04/25/gov.-holcomb-announces-amazon-web-services-plans-to-invest-11b-to-create-a-new-data-center-campus-in-northern-indiana,Gov. Holcomb announced AWS $11B New Carlisle campus April 25 2024; land acquired via shell company Razor5 in 2023 but no public announcement until April 2024
18141,New Carlisle 2,New Carlisle,60.0,2025,2024,H,https://iedc.in.gov/events/news/details/2024/04/25/gov.-holcomb-announces-amazon-web-services-plans-to-invest-11b-to-create-a-new-data-center-campus-in-northern-indiana,Same campus announcement April 2024; Buildings 1 and 2 are part of the same multi-building AWS New Carlisle campus revealed April 2024
39049,Columbus (Lockbourne) 1,Lockbourne,50.0,2024,2021,H,https://www.datacenterdynamics.com/en/news/google-breaks-ground-on-columbus-ohio-data-center/,Google (via shell Magellan LLC) won Columbus City Council approval March 2021; land purchased May 2021; groundbreaking reported 2022; operator confirmed as Google Aug 2021
39049,New Albany 4a,New Albany,50.0,2024,2023,H,https://www.datacenterdynamics.com/en/news/amazon-plans-five-building-data-center-campus-in-new-albany-ohio/,Amazon $3.5B five-building New Albany campus announced September 2023 per Gov. DeWine; land purchased along Beech/Miller Rds 2023
39049,New Albany 5a,New Albany,50.0,2025,2023,H,https://www.datacenterdynamics.com/en/news/amazon-plans-five-building-data-center-campus-in-new-albany-ohio/,Same Amazon New Albany 5-building announcement September 2023; New Albany 5a is building 5 of the same campus
39049,Columbus (Lockbourne) 2,Lockbourne,50.0,2025,2021,M,https://www.datacenterdynamics.com/en/news/google-breaks-ground-on-columbus-ohio-data-center/,Second building on same Google Lockbourne campus; campus first announced/approved March 2021; this building likely in scope of original plans but may have been added in 2023 expansion announcement
49035,Salt Lake City 2,West Jordan,72.0,2025,2019,M,https://www.businesswire.com/news/home/20191030005008/en/Aligned-Energy-Breaks-Ground-Salt-Lake-Metro,Aligned Energy SLC-02 groundbreaking announced Oct 30 2019 (Business Wire); 48 MW expandable to 60 MW; completed Q1 2021. Salt Lake City 2 at 72 MW may be a later phase on same campus
49035,SLC-02,West Jordan,50.0,2020,2019,H,https://www.businesswire.com/news/home/20191030005008/en/Aligned-Energy-Breaks-Ground-Salt-Lake-Metro,Aligned Energy SLC-02 groundbreaking press release Oct 30 2019; facility opened March 2021; 48 MW (50 MW in S&P) same facility
51107,IAD39,Ashburn,225.0,2018,2015,M,https://www.datacenterfrontier.com/cloud/article/11430599/digital-realty-readies-massive-expansion-in-ashburn,Digital Realty acquired 126-acre Round Table parcel Nov 2015 for Digital Loudoun III campus; Building L (IAD39) announced publicly Sept 2017 per Data Center Frontier; first data hall delivered Oct-Dec 2017; baxtel lists year built 2019 (possible full build completion)
51107,24086 Bears School Road,Sterling,95.985,2023,2020,M,https://www.loudountimes.com/news/digital-realty-trust-proposes-data-center-campus-in-dulles/article_bef4df52-d111-11ea-8f8b-9f55ccaa5ada.html,Digital Dulles campus (operator Digital Realty) proposed in Loudoun Times article Aug 2020; land acquired 2018; campus plans filed 2020; Bears School Road is within the Digital Dulles Western Lands campus; first building (IAD44) delivered 2023
51107,Digital Dulles 2,Sterling,95.985,2024,2020,M,https://www.datacenterdynamics.com/en/news/digital-realty-files-to-expand-digital-dulles-campus-in-northern-virginia/,Digital Dulles campus announced 2020 (land acquired 2018 from MWAA); Digital Dulles 2 is second building on the campus; campus-level announce year is 2020; building-specific permit unknown
51107,Digital Dulles 4,Sterling,95.985,2025,2020,L,https://www.datacenterdynamics.com/en/news/digital-realty-files-to-expand-digital-dulles-campus-in-northern-virginia/,Digital Dulles campus announced 2020; Digital Dulles 4 is building 4 of a 14-building campus; no building-specific announcement found; campus announce year 2020 used
