county_fips,dcname,operator,announce_year,confidence,own_or_campus,source_url,evidence
51107,IAD-01,"Aligned Data Centers (Phoenix), LLC",2018,H,campus,https://www.datacenterdynamics.com/news/aligned-energy-coming-virginia-180mw-data-center-campus/,DCD Sep 10 2018 reported Aligned Energy entering Northern Virginia with 26-acre 180MW campus in Ashburn; IAD-01 is building 1 on that campus; completed Sep 2019.
51107,NVAL2,"STACK Infrastructure, Inc.",2022,H,campus,https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-accelerates-northern-virginia-growth-with-216mw-flagship-ashburn-campus/,STACK press release Jan 5 2022 announced 216MW NVAL2 campus at 22285 Lockridge Road Sterling (Loudoun); land acquired Dec 15 2021; first phase targeted Q3 2023.
51107,IAD-02,"Aligned Data Centers (Phoenix), LLC",2020,H,own,https://aligneddc.com/press-release/aligned-begins-construction-on-second-hyperscale-data-center-in-ashburn-va/,Aligned press release Jun 2 2020 announced construction start on second 120MW building (IAD-02) adjacent to IAD-01; campus originally announced Sep 2018.
51107,IAD-03,"Aligned Data Centers (Phoenix), LLC",2022,H,own,https://aligneddc.com/press-release/aligned-data-centers-expands-presence-in-northern-virginia-with-new-sterling-hyperscale-campus/,Aligned press release Jul 26 2022 announced new Sterling hyperscale campus; IAD-03 (72MW/430k sqft at 22715 Relocation Dr) named as phase-1 facility; delivery targeted fall 2023.
51107,Ashburn,"Cologix, Inc.",2018,H,campus,https://www.datacenterdynamics.com/en/news/cologix-acquires-land-in-ashburn-virginia-for-data-center/,DCD confirms Cologix bought former church site at Beaumeade Corporate Park Ashburn for $38M in July 2018; construction started 2020; 120MW ASH1 completed 2023.
51107,Sterling V Data Center,CyrusOne Inc.,2016,H,own,https://newswire.telecomramblings.com/2016/12/cyrusone-expands-starts-fifth-data-center-northern-virginia-driven-customer-demand/,CyrusOne press release Dec 9 2016 announced groundbreaking at 40-acre Kincora property in Sterling for NVA5 (Sterling V); 654k sqft 105MW campus; opened 2017.
51107,VA1,"EdgeCore Internet Real Estate, LLC",2018,H,campus,https://virginiabusiness.com/edgecore-acquires-land-in-sterling-for-data-center-campus/,Virginia Business Sep 13 2018 reported EdgeCore acquired 36.8 acres in Sterling for data-center campus; DCD/DgtlInfra confirm company "first announced plans in 2018"; VA1 (54MW Maries Road) is the first operational building from that campus.
51107,Leesburg 1,TA Realty LLC,2021,H,campus,https://www.tarealty.com/news/ta-realty-launches-development-of-data-center-campus-in-loudoun-county-va,TA Realty press release May 4 2021 announced $1.8B campus on east side of Sycolin Road in Leesburg; AWS later leased all 5 buildings; Leesburg 1 (66MW) is first building delivered.
51107,NVAL2b,"STACK Infrastructure, Inc.",2022,H,campus,https://www.stackinfra.com/about/news-press/press-releases/stack-infrastructure-accelerates-northern-virginia-growth-with-216mw-flagship-ashburn-campus/,Same NVAL2 campus as NVAL2 (Lockridge Road Sterling); STACK Jan 5 2022 announcement covers three buildings totaling 216MW; NVAL2b is the second or third building on that campus.
51107,Digital Dulles 3,"Digital Realty Trust, Inc.",2018,M,campus,https://www.digitalrealty.com/about/newsroom/press-releases/122524/digital-realty-to-acquire-424-acres-in-loudoun-county-virginia,Digital Realty press release Sep 24 2018 announced acquisition of 424 acres adjacent to Dulles airport for $236.5M; DCD confirms first building (IAD44) delivered 2023; Digital Dulles 3 (op 2024) is 3rd building on campus; building-level groundbreaking not separately announced.
51107,SBP2,Alphabet Inc.,2021,M,campus,https://blog.google/innovation-and-ai/infrastructure-and-cloud/global-network/5-ways-googles-data-centers-support-loudoun-county/,Google timeline: announced Leesburg campus in 2018 and opened first DC in 2019; Google's own page states "2021: announces expansion of second data center in Loudoun County"; SBP2 (op 2021) is that second-campus expansion; campus-level announcement was 2018.
