county_fips,name,state,mw_latest,pt_census22,pt_pdf,pdf_fy,pt_v2,census_vs_pdf,census_vs_v2,pdf_vs_v2
21127,Lawrence County,KY,250.0,1.069,,2022.0,,,,
41049,Morrow County,OR,1004.2,11.489,,2023.0,,,,
48125,Dickens County,TX,180.0,2.055,,2022.0,,,,
32029,Storey County,NV,602.7096,21.045,,2023.0,,,,
48331,Milam County,TX,1192.0,5.789,,,8.258695,,False,
38021,Dickey County,ND,440.0,3.896,3.438157,2023.0,,False,,
37069,Franklin County,NC,500.0,22.722,,,,,,
13075,Cook County,GA,270.0,5.143,13.642438,2023.0,,False,,
48275,Knox County,TX,166.0,1.664,,,,,,
41013,Crook County,OR,404.04,13.34,,,2.230543,,False,
48103,Crane County,TX,280.0,9.826,,,,,,
40097,Mayes County,OK,329.775,0.0,,2023.0,,,,
53051,Pend Oreille County,WA,100.0,4.631,8.308812,2023.0,,False,,
13303,Washington County,GA,222.0,9.248,,,,,,
48475,Ward County,TX,423.0,35.327,,,,,,
35061,Valencia County,NM,414.0,18.665,,,14.099338,,False,
51117,Mecklenburg County,VA,316.082,97.91,,2023.0,195.8192,,False,
48371,Pecos County,TX,497.0,26.747,,2022.0,,,,
41059,Umatilla County,OR,795.4396,20.051,,2023.0,,,,
21157,Marshall County,KY,195.0,6.747,3.25619,2023.0,,False,,
48173,Glasscock County,TX,200.0,9.944,,,,,,
13317,Wilkes County,GA,82.0,4.849,,,5.425863,,False,
48045,Briscoe County,TX,50.0,2.021,,,,,,
53025,Grant County,WA,748.029885,30.78,32.594618,2023.0,,True,,
37039,Cherokee County,NC,134.0,8.833,,2022.0,,,,
47121,Meigs County,TN,20.0,4.092,,,,,,
38093,Stutsman County,ND,138.0,9.398,,,,,,
48075,Childress County,TX,45.0,2.735,,,,,,
38105,Williams County,ND,480.0,16.213,,2021.0,,,,
54047,McDowell County,WV,90.0,4.017,,,,,,
47151,Scott County,TN,40.0,6.065,5.347352,2023.0,,False,,
48349,Navarro County,TX,400.0,26.008,,,21.690551,,False,
01071,Jackson County,AL,80.0,4.269,6.622969,2022.0,,False,,
40101,Muskogee County,OK,200.0,54.356,,2023.0,,,,
41065,Wasco County,OR,170.14655,10.857,,,,,,
13097,Douglas County,GA,563.61326,73.533,112.526722,2023.0,,False,,
39111,Monroe County,OH,100.0,9.425,,,,,,
46119,Sully County,SD,30.0,2.573,,,,,,
51107,Loudoun County,VA,4740.8181038,1745.084,,,1692.001602,,True,
13313,Whitfield County,GA,359.94917499999997,68.133,30.871106,2022.0,,False,,
39089,Licking County,OH,782.0,46.318,37.631504,2023.0,,False,,
19155,Pottawattamie County,IA,598.5008,50.299,,,,,,
48109,Culberson County,TX,63.0,3.927,,,,,,
37161,Rutherford County,NC,170.0,52.241,,,,,,
48221,Hood County,TX,320.7,30.109,,,,,,
18153,Sullivan County,IN,115.0,7.848,7.592123,2022.0,,True,,
21109,Jackson County,KY,9.0909091,0.354,,2022.0,,,,
56021,Laramie County,WY,232.2,30.745,,,,,,
37027,Caldwell County,NC,158.0,103.752,,,,,,
31153,Sarpy County,NE,578.289,51.796,,,,,,
13217,Newton County,GA,200.0,50.755,52.6296,2023.0,,True,,
53017,Douglas County,WA,84.81,14.053,,,,,,
51153,Prince William County,VA,1760.0950428,1086.788,,,,,,
45015,Berkeley County,SC,375.0104666,31.342,48.524362,2023.0,,False,,
30003,Big Horn County,MT,37.0,15.189,,,,,,
19181,Warren County,IA,140.0,15.853,,,12.362468,,False,
01089,Madison County,AL,440.35,61.708,,,,,,
47173,Union County,TN,9.0909091,5.896,,,,,,
42007,Beaver County,PA,400.0,59.111,57.442473,2023.0,,True,,
42121,Venango County,PA,90.0,11.924,,,11.854628,,True,
17037,DeKalb County,IL,379.2,27.749,,,,,,
47035,Cumberland County,TN,40.0,23.156,22.988472,2023.0,,True,,
30093,Silver Bow County,MT,75.0,,,2023.0,,,,
21035,Calloway County,KY,35.0,3.667,,,,,,
19049,Dallas County,IA,231.1394666,29.605,,,19.229081,,False,
38035,Grand Forks County,ND,130.0,19.406,,,,,,
21225,Union County,KY,13.0,1.013,,2023.0,,,,
47025,Claiborne County,TN,20.0,11.921,,,,,,
48325,Medina County,TX,83.23083,22.468,,,15.807603,,False,
47013,Campbell County,TN,20.0,16.767,,,,,,
39159,Union County,OH,90.0,17.069,19.640539,2023.0,,False,,
48441,Taylor County,TX,200.1,57.017,,,53.54196,,True,
31019,Buffalo County,NE,100.0,19.611,,,,,,
39063,Hancock County,OH,90.0,15.347,,,2.802404,,False,
28089,Madison County,MS,160.05,56.592,,,,,,
47107,McMinn County,TN,20.0,14.67,,,,,,
47165,Sumner County,TN,120.0,124.979,,,,,,
21195,Pike County,KY,33.6363636,4.778,,2022.0,,,,
48067,Cass County,TX,40.0,9.707,,,,,,
48135,Ector County,TX,207.0,56.843,55.650519,2022.0,,True,,
47125,Montgomery County,TN,120.0,121.311,,,,,,
48139,Ellis County,TX,217.5,69.029,69.44864,2022.0,,True,,
51087,Henrico County,VA,316.3571096,556.115,,,538.134543,,True,
48389,Reeves County,TX,50.0,102.63,,,,,,
36063,Niagara County,NY,265.5,96.71,,,82.979993,,False,
19153,Polk County,IA,724.7114536,268.74,,,154.882515,,False,
51047,Culpeper County,VA,46.10212,69.991,,,69.457255,,True,
48355,Nueces County,TX,420.30736,132.775,,,85.389754,,False,
31081,Hamilton County,NE,15.15,5.485,,,,,,
39045,Fairfield County,OH,100.0,47.774,49.838059,2023.0,,True,,
48003,Andrews County,TX,50.0,30.893,,,,,,
37035,Catawba County,NC,83.44,125.138,,,,,,
51193,Westmoreland County,VA,12.0,24.796,,,24.613839,,True,
41067,Washington County,OR,527.98753,250.729,,,,,,
26027,Cass County,MI,29.0,15.962,,2023.0,,,,
47105,Loudon County,TN,20.0,34.872,,,,,,
21145,McCracken County,KY,23.0,5.195,,2022.0,,,,
04013,Maricopa County,AZ,2042.7420747,776.251,759.909013,2023.0,,True,,
13145,Harris County,GA,14.0,16.476,,,,,,
32031,Washoe County,NV,193.0996533,252.743,,,,,,
42079,Luzerne County,PA,170.0,125.68,,,,,,
18141,St. Joseph County,IN,128.114,63.914,68.408702,2023.0,,True,,
49049,Utah County,UT,183.916,69.729,,,55.552264,,False,
45087,Union County,SC,9.0,15.907,,,9.602032,,False,
48461,Upton County,TX,15.0,1.019,,,,,,
19083,Hardin County,IA,10.15,10.201,,,6.801936,,False,
29047,Clay County,MO,94.5955,7.078,5.583527,2023.0,,False,,
55101,Racine County,WI,90.0,66.324,,,,,,
48277,Lamar County,TX,20.0,14.972,,,10.629104,,False,
18127,Porter County,IN,60.0,46.566,,,,,,
19075,Grundy County,IA,5.4545455,7.233,,,3.885892,,False,
39049,Franklin County,OH,629.24428,651.226,0.531792,2023.0,,False,,
45083,Spartanburg County,SC,95.1,130.218,,,,,,
36089,St. Lawrence County,NY,50.0,52.732,,,52.159034,,True,
01075,Lamar County,AL,1.5,2.403,,,,,,
08085,Montrose County,CO,10.0,15.34,,,,,,
47113,Madison County,TN,20.05,53.22,,,,,,
51061,Fauquier County,VA,33.689,175.652,,,151.268463,,False,
13121,Fulton County,GA,502.8330698,708.614,0.697487,2023.0,,False,,
13157,Jackson County,GA,18.0,35.809,,2023.0,,,,
13285,Troup County,GA,14.0,30.573,,,,,,
16001,Ada County,ID,105.458,140.369,151.402592,2023.0,,True,,
32003,Clark County,NV,389.479528,935.733,,,,,,
49035,Salt Lake County,UT,269.8968,368.992,,,,,,
45091,York County,SC,72.9,92.805,,,55.9124835,,False,
