county_fips,county_name,STATE,CITY,dcname,mw_peak,YEARFACILITYBECAMEOPERATIONAL,dc_class,dominant,has_county_announce,batch,pid,operator,provider
01089,Madison County,Alabama,Huntsville,Alabama 3,80.0,2023.0,clean_dc,True,True,1,10343777,"Meta Platforms, Inc.","Meta Platforms, Inc."
01089,Madison County,Alabama,Huntsville,Alabama 5,80.0,2024.0,clean_dc,True,True,1,10343883,"Meta Platforms, Inc.","Meta Platforms, Inc."
01089,Madison County,Alabama,Huntsville,Alabama 6,80.0,2025.0,clean_dc,True,True,1,10343958,"Meta Platforms, Inc.","Meta Platforms, Inc."
01089,Madison County,Alabama,Huntsville,Alabama 7,80.0,2025.0,clean_dc,True,True,1,10343960,"Meta Platforms, Inc.","Meta Platforms, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa,152.2584,2016.0,clean_dc,True,True,2,10259384,Alphabet Inc.,Alphabet Inc.
04013,Maricopa County,Arizona,Mesa,Mesa,152.2584,2016.0,clean_dc,True,True,2,10340938,Comarch SA,Comarch SA
04013,Maricopa County,Arizona,Mesa,Mesa,152.2584,2016.0,clean_dc,True,True,2,10341277,"Amazon.com, Inc.","Amazon.com, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa,152.2584,2016.0,clean_dc,True,True,2,10343349,"Amazon.com, Inc.","Amazon.com, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa,152.2584,2016.0,clean_dc,True,True,2,10343449,Apple Inc.,Apple Inc.
04013,Maricopa County,Arizona,Mesa,Mesa 1,70.08,2023.0,clean_dc,False,True,2,10340423,CyrusOne Inc.,CyrusOne Inc.
04013,Maricopa County,Arizona,Mesa,Mesa 1,70.08,2023.0,clean_dc,False,True,2,10343779,"Meta Platforms, Inc.","Meta Platforms, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa 2,70.08,2024.0,clean_dc,False,True,2,10341289,"Amazon.com, Inc.","Amazon.com, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa 2,70.08,2024.0,clean_dc,False,True,2,10341775,CyrusOne Inc.,CyrusOne Inc.
04013,Maricopa County,Arizona,Mesa,Mesa 2,70.08,2024.0,clean_dc,False,True,2,10343363,"Amazon.com, Inc.","Amazon.com, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa 2,70.08,2024.0,clean_dc,False,True,2,10343848,"Meta Platforms, Inc.","Meta Platforms, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa 3,70.08,2024.0,clean_dc,False,True,2,10343937,"Meta Platforms, Inc.","Meta Platforms, Inc."
04013,Maricopa County,Arizona,Mesa,Mesa 3,70.08,2024.0,clean_dc,False,True,2,10362288,CyrusOne Inc.,CyrusOne Inc.
13097,Douglas County,Georgia,Lithia Springs,Douglasville 2 (Woodside),240.0,2016.0,clean_dc,True,True,3,10343444,Alphabet Inc.,Alphabet Inc.
13097,Douglas County,Georgia,Lithia Springs,Douglasville,100.0,2003.0,clean_dc,False,True,3,10343226,Alphabet Inc.,Alphabet Inc.
13121,Fulton County,Georgia,Atlanta,ATL01-2,100.0,2025.0,mixed,True,True,4,10341848,"Edged Energy, LLC","Edged Energy, LLC"
13121,Fulton County,Georgia,Atlanta,QTS Atlanta- Metro,52.718599999999995,2006.0,mixed,False,True,4,10054525,"QTS Realty Trust, LLC","QTS Realty Trust, LLC"
13217,Newton County,Georgia,Social Circle,Social Circle 1,50.0,2021.0,clean_dc,True,True,4,10340097,"Meta Platforms, Inc.","Meta Platforms, Inc."
13217,Newton County,Georgia,Social Circle,Social Circle 2,50.0,2022.0,clean_dc,True,True,4,10343749,"Meta Platforms, Inc.","Meta Platforms, Inc."
13217,Newton County,Georgia,Social Circle,Social Circle 3,50.0,2024.0,clean_dc,True,True,4,10343863,"Meta Platforms, Inc.","Meta Platforms, Inc."
13217,Newton County,Georgia,Social Circle,Social Circle 4,50.0,2025.0,clean_dc,True,True,4,10343995,"Meta Platforms, Inc.","Meta Platforms, Inc."
13313,Whitfield County,Georgia,Dalton,Dalton 3,144.949175,2023.0,crypto,True,True,1,10366658,"Core Scientific, Inc.","Core Scientific, Inc."
13313,Whitfield County,Georgia,Dalton,"Dalton 1, GA",97.5,2018.0,crypto,False,True,1,10362601,"Core Scientific, Inc.","Core Scientific, Inc."
13313,Whitfield County,Georgia,Dalton,"Dalton 2, GA",97.5,2018.0,crypto,False,True,1,10362602,"Core Scientific, Inc.","Core Scientific, Inc."
17037,DeKalb County,Illinois,Dekalb,DeKalb 3,99.6,2024.0,clean_dc,True,True,6,10343871,"Meta Platforms, Inc.","Meta Platforms, Inc."
17037,DeKalb County,Illinois,Dekalb,DeKalb 4,99.6,2025.0,clean_dc,True,True,6,10344003,"Meta Platforms, Inc.","Meta Platforms, Inc."
17037,DeKalb County,Illinois,Dekalb,DeKalb 1,90.0,2024.0,clean_dc,False,True,6,10343839,"Meta Platforms, Inc.","Meta Platforms, Inc."
17037,DeKalb County,Illinois,Dekalb,DeKalb 2,90.0,2024.0,clean_dc,False,True,6,10343842,"Meta Platforms, Inc.","Meta Platforms, Inc."
18141,St. Joseph County,Indiana,New Carlisle,New Carlisle 1,60.0,2024.0,clean_dc,True,True,5,10343877,"Amazon.com, Inc.","Amazon.com, Inc."
