county_fips,dcname,mw_peak,oy,ann
13121,QTS Atlanta- Metro,52.718599999999995,2006.0,2000.0
51107,IAD39,225.0,2018.0,2015.0
32029,Supernap Tahoe Reno 1,80.9856,2017.0,2015.0
32003,Henderson-1,60.0,2020.0,2018.0
51107,IAD-01,50.00079,2019.0,2018.0
51107,NVAL2,60.0,2023.0,2022.0
51107,IAD-02,56.6046,2020.0,2020.0
51107,IAD-03,72.0,2024.0,2022.0
49035,SLC-02,50.0,2020.0,2019.0
51107,Ashburn,69.23073720000001,2023.0,2018.0
51107,Sterling V Data Center,57.45,2017.0,2016.0
32003,Henderson-2,60.0,2020.0,2020.0
13217,Social Circle 1,50.0,2021.0,2018.0
51107,24086 Bears School Road,95.985,2023.0,2020.0
51107,VA1,54.0,2022.0,2018.0
35061,Los Lunas 7,92.0,2024.0,2022.0
28089,"Madison County, MS Canton 1",80.0,2025.0,2024.0
51153,MCC3,58.461631999999994,2024.0,2021.0
51107,Leesburg 1,66.15385,2024.0,2021.0
51153,Gainesville Crossing 1,55.384,2023.0,2021.0
51153,Gainesville Crossing 2,55.384620000000005,2024.0,2022.0
51107,Digital Dulles 2,95.985,2024.0,2020.0
51107,Digital Dulles 4,95.985,2025.0,2020.0
51107,NVAL2b,60.0,2024.0,2022.0
51153,Bristow 1 (Google RLF DC),93.8462477,2024.0,2021.0
51153,Bristow 2,50.000099999999996,2025.0,2021.0
04013,PHX06,54.0,2025.0,2022.0
32029,Supernap Tahoe Reno 3,53.6256,2025.0,2022.0
13121,ATL01-2,100.0,2025.0,2019.0
45091,York County/Charlotte 1,72.0,2025.0,2023.0
13097,Douglasville,100.0,2003.0,2003.0
53025,CO1 and CO2,71.1,2008.0,2006.0
56021,Cheyenne,65.0,2013.0,2012.0
37027,Lenoir 3,120.0,2014.0,2007.0
41065,The Dalles 3,65.60010000000001,2014.0,2005.0
19155,Council Bluffs 2 building 5,60.0,2015.0,2012.0
56021,Cheyenne 2,65.0,2015.0,2014.0
19155,Council Bluffs 2 building 6,60.0,2015.0,2012.0
19153,ATN 3-4,50.142,2016.0,2008.0
37161,Forest City 3,80.0,2016.0,2010.0
13097,Douglasville 2 (Woodside),240.0,2016.0,2015.0
04013,Mesa,152.2584,2016.0,2015.0
41049,PDX62,53.4,2017.0,2017.0
41049,PDX61,53.7,2018.0,2017.0
31153,Sarpy 1,80.0,2018.0,2017.0
32031,Reno 3 (4 more sections),54.9333333,2019.0,2019.0
32031,Reno 4 (4 more sections),54.9333333,2019.0,2019.0
56021,Cheyenne 3,65.0,2020.0,2015.0
32029,US-RNO 2,214.656,2024.0,2022.0
39089,Newton Court 1,60.0,2021.0,2019.0
31153,Sarpy 6,80.0,2021.0,2021.0
39089,Newton Court 2,60.0,2022.0,2019.0
53025,MWH09,52.8,2022.0,2019.0
13217,Social Circle 2,50.0,2022.0,2018.0
01089,Alabama 3,80.0,2023.0,2021.0
