county_fips,rev_property_tax_17,capex_17,lt_debt_outstanding_end_17,rev_property_tax_22,capex_22,lt_debt_outstanding_end_22,rev_property_tax_growth_tot_pct,rev_property_tax_cagr_pct,capex_growth_tot_pct,capex_cagr_pct,lt_debt_outstanding_end_growth_tot_pct,lt_debt_outstanding_end_cagr_pct,treated
01001,5.254,0.0,12.09,6.499,0.0,9.406,23.696231442710314,4.3449159825949435,,,-22.200165425971875,-4.896667617077144,0
01003,34.59,20.549,90.653,46.264,0.446,76.107,33.74963862387972,5.988445724252389,-97.82957808165847,-53.515428352824465,-16.045801021477512,-3.4375037007250087,0
01005,2.129,2.555,1.242,2.688,1.818,0.609,26.256458431188356,4.773323563839549,-28.845401174168295,-6.579842555960069,-50.96618357487923,-13.284019436078399,0
01007,1.979,0.0,3.986,2.499,0.0,3.5,26.275896917635166,4.776549552343545,,,-12.192674360260913,-2.5669831413158595,0
01009,5.974,0.323,0.0,7.849,1.538,2.461,31.386006026113165,5.611162276113801,376.1609907120743,36.63147684250983,,,0
01011,1.65,0.0,1.23,2.084,0.162,0.988,26.30303030303032,4.781051913048473,,,-19.674796747967484,-4.287123904158285,0
01013,2.802,0.0,4.155,3.538,0.834,3.278,26.2669521770164,4.775065142987156,,,-21.10709987966306,-4.630921956396595,0
01015,11.566,5.679,5.862,13.131,3.798,7.818,13.531039252982868,2.5706063030050963,-33.12202852614897,-7.7308290702212235,33.367451381780945,5.92780434767417,0
01017,3.792,0.0,0.0,4.789,0.0,0.0,26.292194092826993,4.779253906351477,,,,,0
01019,3.513,0.534,13.46,3.885,0.72,15.075,10.589239965841157,2.033450754587185,34.8314606741573,6.159349302142836,11.998514115898939,2.292184241995665,0
01021,9.838,0.0,4.0,8.303,0.0,12.406,-15.602764789591362,-3.3358038062513806,,,210.15,25.404856945841225,0
01023,1.855,0.0,3.865,2.342,0.0,3.254,26.253369272237205,4.772810854039111,,,-15.808538163001295,-3.382986264199095,0
01025,3.405,0.0,8.909,3.704,1.802,4.886,8.781204111600594,1.6976160141783492,,,-45.15658323044113,-11.32016002651699,0
01027,1.592,0.0,3.033,2.019,0.122,1.897,26.821608040201017,4.86695341591139,,,-37.45466534784042,-8.958588135328505,0
01029,1.297,3.541,1.957,1.816,3.464,0.63,40.01542020046263,6.963393698190878,-2.174526969782542,-0.4387383674090861,-67.80786918753195,-20.283183870199117,0
01031,6.091,0.0,5.381,9.235,2.924,18.097,51.61714004268592,8.680007584703064,,,236.312952982717,27.452605716412283,0
01033,6.131,1.65,5.345,7.172,1.2,4.931,16.979285597781747,3.1862412956176422,-27.27272727272727,-6.170487402194635,-7.745556594948544,-1.599465245431575,0
01035,2.45,0.932,7.195,2.22,0.0,1.639,-9.387755102040817,-1.9523073235687471,-100.0,,-77.22029186935372,-25.610844048751325,0
01037,1.458,0.884,1.898,1.841,0.658,1.657,26.268861454046633,4.775382000901018,-25.565610859728505,-5.734076682332856,-12.697576396206522,-2.679291923953986,0
01039,5.315,0.0,11.075,6.711,0.0,9.324,26.265286923800566,4.774788779407291,,,-15.810383747178324,-3.383409861536568,0
01041,1.541,0.111,6.424,2.855,0.119,12.959,85.26930564568463,13.125547675877014,7.2072072072072,1.4015973861338793,101.72789539227894,15.06763617745779,0
01043,9.872,0.0,31.227,11.484,2.9,12.375,16.329011345218802,3.0712652908137628,,,-60.37083293303871,-16.89962399015141,0
01045,5.062,0.269,0.0,5.421,0.0,2.768,7.0920584749111,1.379805408874346,-100.0,,,,0
01047,4.758,0.0,3.86,1.212,1.577,5.165,-74.52711223203026,-23.929611119113126,,,33.808290155440424,5.997739647769951,0
01049,4.204,0.0,11.245,5.08,4.76,12.715,20.83729781160799,3.8580588006948524,,,13.072476656291698,2.4876136339350152,0
01051,7.917,0.0,1.291,9.436,1.46,41.741,19.186560565870913,3.5727380602021297,,,3133.2300542215335,100.41366098084849,0
01053,3.582,0.0,0.556,5.746,1.298,8.099,60.413176996091586,9.912733307849786,,,1356.6546762589928,70.87216475336997,0
01055,11.593,0.723,0.0,12.375,8.073,25.186,6.745449840420936,1.314096155095057,1016.5975103734442,62.02399303745014,,,0
01057,2.36,0.0,4.917,,,,,,,,,,0
01059,4.343,1.326,8.028,4.511,0.163,5.278,3.8682938061248118,0.7619583378338124,-87.70739064856711,-34.24499485754099,-34.25510712506229,-8.045623409884705,0
01061,5.423,0.0,2.01,6.848,0.0,2.01,26.27696846763783,4.776727373976342,,,0.0,0.0,0
01063,1.2,0.0,5.225,0.086,0.0,0.49,-92.83333333333333,-40.97126979065007,,,-90.622009569378,-37.70947990271666,0
01065,1.948,0.0,2.795,2.176,0.955,2.525,11.704312114989746,2.2383866771371164,,,-9.660107334525936,-2.0113184892623925,0
01067,1.646,0.0,0.836,2.078,0.533,0.78,26.24544349939246,4.771495362251832,,,-6.698564593301426,-1.3771235566488627,0
01069,17.183,1.532,21.64,17.51,0.0,19.221,1.903043705988483,0.3777441281848759,-100.0,,-11.178373382624773,-2.3429177614285313,0
01071,5.685,0.0,0.608,4.269,0.97,1.852,-24.90765171503957,-5.568011016226116,,,204.60526315789477,24.953228169322706,1
01073,119.607,55.739,2638.025,146.371,57.914,2228.902,22.37661675320006,4.121325571618284,3.902115215558233,0.7685194693184405,-15.508685474929162,-3.3142626999208336,0
01075,1.903,0.0,2.623,2.403,0.438,2.324,26.27430373095112,4.776285163889282,,,-11.399161265726276,-2.391516220752543,1
01077,10.827,0.706,0.39,11.892,4.693,0.0,9.836519811582157,1.894173924090281,564.7308781869688,46.05928510470589,-100.0,,0
01079,1.844,0.0,11.2,2.336,0.0,9.75,26.681127982646412,4.843710929810996,,,-12.94642857142857,-2.7348370732022453,0
01081,16.888,2.882,24.442,22.687,7.716,30.496,34.33799147323542,6.0815288449173055,167.73074253990282,21.769815635781708,24.76884052041568,4.525253100973248,0
01083,12.061,0.0,10.3,17.057,3.653,12.22,41.422767598043265,7.177560175059905,,,18.640776699029125,3.477706947084158,0
01085,3.07,0.0,16.388,3.253,0.0,11.689,5.960912052117262,1.1647325135538455,,,-28.673419575299008,-6.534726604007246,0
01087,1.684,0.0,5.585,2.126,0.0,5.395,26.247030878859846,4.771758835181128,,,-3.40196956132498,-0.6898462371541902,0
01089,48.58,7.46,19.786,61.708,18.111,13.59,27.023466447097565,4.900314941844863,142.77479892761394,19.410006125272705,-31.31507126250885,-7.237532935853741,1
01091,2.776,0.0,0.0,3.52,0.0,0.0,26.801152737752165,4.863570358892111,,,,,0
01093,1.136,0.0,12.708,1.441,0.0,8.46,26.848591549295797,4.871415490853237,,,-33.427762039660045,-7.815345701591136,0
01095,8.762,0.0,7.975,11.649,1.077,4.415,32.94909837936542,5.8612649883434065,,,-44.639498432601876,-11.15356561538775,0
01097,82.244,12.03,149.629,89.776,5.33,189.859,9.158114877681033,1.7679919811534939,-55.69409808811305,-15.024776341754453,26.88649927487321,4.8776827448518745,0
01099,3.106,0.0,10.179,2.214,6.781,13.759,-28.718609143593042,-6.546572751994228,,,35.17044896355242,6.212676084913693,0
01101,22.426,4.208,47.998,25.301,4.548,50.286,12.819941139748515,2.4417936149038866,8.079847908745252,1.56613941059629,4.76686528605359,0.9356978341011457,0
01103,16.75,0.0,0.0,24.38,1.393,22.664,45.55223880597015,7.796281036334629,,,,,0
01105,1.559,0.0,12.398,1.747,0.08,8.732,12.059012187299567,2.30323285852283,,,-29.569285368607844,-6.770700941425234,0
01107,2.568,0.0,2.24,3.161,0.505,1.606,23.09190031152648,4.242758503411248,,,-28.303571428571427,-6.437998336895767,0
01109,4.424,1.014,6.995,5.587,1.535,6.25,26.288426763110294,4.778628780293737,51.380670611439825,8.646085895549227,-10.650464617583989,-2.22710835115123,0
01111,2.443,0.251,1.956,3.085,0.179,1.357,26.279164961113377,4.777091874010875,-28.685258964143433,-6.5378296412962005,-30.623721881390598,-7.051539827743403,0
01113,5.607,0.0,15.99,7.531,0.0,12.5,34.314250044587105,6.077779041785636,,,-21.82614133833646,-4.805400763354218,0
01115,9.341,1.259,29.71,20.291,1.905,21.28,117.22513649502196,16.783642209146855,51.31056393963465,8.636020902663311,-28.374284752608546,-6.456461437395444,0
01117,26.943,3.207,53.095,32.341,15.209,45.907,20.034888468247793,3.7197589210134385,374.24384159650765,36.5212763840653,-13.53799792824184,-2.8673902392140294,0
01119,1.818,0.0,3.788,2.026,0.0,1.442,11.441144114411417,2.1901678347675757,,,-61.932418162618795,-17.565110901154178,0
01121,11.047,2.356,25.47,12.493,0.759,17.875,13.089526568299092,2.49070421700317,-67.78438030560272,-20.27155424158893,-29.819395367098544,-6.837009433116592,0
01123,5.332,0.0,9.435,6.603,0.0,7.21,23.83720930232558,4.368689740494469,,,-23.58240593534712,-5.237028166772717,0
01125,29.542,0.0,0.0,36.596,3.515,0.0,23.877868796967007,4.375542318967418,,,,,0
01127,5.304,0.0,17.88,9.613,1.138,14.261,81.24057315233783,12.629222311514155,,,-20.24049217002237,-4.422318108044276,0
