county_fips,county_name,state_abbr,population,elec_res_mwh,elec_com_mwh,elec_ind_mwh,elec_total_mwh
01001,Autauga County,AL,55049,315398.029123525,128186.386349254,33506.45492975854,477090.8704025376
01003,Baldwin County,AL,199510,1064842.63114999,1122221.80204811,389608.701922892,2576673.135120992
01005,Barbour County,AL,26614,136097.79349786098,87198.894950169,334419.9243459093,557716.6127939393
01007,Bibb County,AL,22572,117401.40703466999,44056.2418765347,11471.318987128894,172928.9678983336
01009,Blount County,AL,57704,328465.61828319903,123154.448893645,129611.03449203301,581231.1016688771
01011,Bullock County,AL,10552,53059.259416491004,18976.249019668197,56343.36337324795,128378.87180940715
01013,Butler County,AL,20280,117811.999786236,75713.4372923086,65105.86752106564,258631.30459961024
01015,Calhoun County,AL,115883,648756.737954106,539144.505059263,610311.5749438707,1798212.8179572397
01017,Chambers County,AL,34018,207887.62994177899,125282.93439124,172441.55833962106,505612.12267264
01019,Cherokee County,AL,25897,162896.881100554,75847.4698668498,307648.5708226596,546392.9217900634
01021,Chilton County,AL,43817,265901.044776376,103160.73593366801,62094.37699670659,431156.15770675056
01023,Choctaw County,AL,13287,84560.32652196189,34566.4252020514,29610.132405537966,148736.88412955127
01025,Clarke County,AL,24847,143135.57492111702,90185.8876130506,105689.53376700064,339010.9963011683
01027,Clay County,AL,13483,80064.20064548441,28315.6539383444,222069.25450441233,330449.1090882411
01029,Cleburne County,AL,14991,86908.6835537814,25471.7503603369,40246.4640139259,152626.8979280442
01031,Coffee County,AL,50991,304292.59642467496,168077.584284685,233128.90074791986,705499.0814572799
01033,Colbert County,AL,54377,344525.902164661,409476.151071233,882641.6500734837,1636643.7033093777
01035,Conecuh County,AL,12697,74378.7332847546,29795.0054790244,82409.92287782332,186583.66164160235
01037,Coosa County,AL,10864,64136.1546257468,15853.5381155736,16229.84936764936,96219.54210896976
01039,Covington County,AL,37729,209762.441001009,117544.38525535101,746851.223927356,1074158.050183716
01041,Crenshaw County,AL,13896,76217.27793564899,24504.4087994875,43718.9874000584,144440.6741351949
