county_fips,announce_year,conf,name,state,dc_class,first_op_year,lead
01071,2015.0,H,Jackson County,AL,clean_dc,2019.0,4.0
01075,,L,Lamar County,AL,clean_dc,2018.0,
01089,2018.0,H,Madison County,AL,clean_dc,2021.0,3.0
04013,2000.0,L,Maricopa County,AZ,clean_dc,2001.0,1.0
08085,2021.0,M,Montrose County,CO,crypto,2022.0,1.0
13075,2019.0,H,Cook County,GA,crypto,2019.0,0.0
13097,2007.0,M,Douglas County,GA,clean_dc,2003.0,-4.0
13121,2000.0,M,Fulton County,GA,mixed,2001.0,1.0
13145,2021.0,H,Harris County,GA,crypto,2022.0,1.0
13157,2021.0,M,Jackson County,GA,crypto,2022.0,1.0
13217,2018.0,H,Newton County,GA,clean_dc,2021.0,3.0
13285,2021.0,H,Troup County,GA,mixed,2022.0,1.0
13303,2020.0,H,Washington County,GA,crypto,2022.0,2.0
13313,2018.0,H,Whitfield County,GA,crypto,2018.0,0.0
13317,2022.0,H,Wilkes County,GA,crypto,2022.0,0.0
16001,2000.0,M,Ada County,ID,clean_dc,2000.0,0.0
17037,2020.0,H,DeKalb County,IL,clean_dc,2024.0,4.0
18127,2023.0,H,Porter County,IN,clean_dc,2024.0,1.0
18141,2003.0,M,St. Joseph County,IN,clean_dc,2003.0,0.0
18153,2022.0,H,Sullivan County,IN,crypto,2022.0,0.0
19049,2017.0,H,Dallas County,IA,clean_dc,2011.0,-6.0
19075,2019.0,M,Grundy County,IA,crypto,2017.0,-2.0
19083,2022.0,H,Hardin County,IA,mixed,2023.0,1.0
19153,2008.0,H,Polk County,IA,mixed,2013.0,5.0
19155,2007.0,H,Pottawattamie County,IA,clean_dc,2009.0,2.0
19181,2016.0,H,Warren County,IA,clean_dc,2023.0,7.0
21035,2020.0,L,Calloway County,KY,mixed,2021.0,1.0
21109,2021.0,L,Jackson County,KY,crypto,2022.0,1.0
21127,2022.0,H,Lawrence County,KY,crypto,2024.0,2.0
21145,2021.0,H,McCracken County,KY,crypto,2021.0,0.0
21157,2019.0,H,Marshall County,KY,mixed,2019.0,0.0
21195,2022.0,H,Pike County,KY,crypto,2022.0,0.0
21225,2022.0,M,Union County,KY,crypto,2020.0,-2.0
26027,2020.0,H,Cass County,MI,crypto,2021.0,1.0
28089,2024.0,H,Madison County,MS,clean_dc,2025.0,1.0
29047,2022.0,H,Clay County,MO,clean_dc,2014.0,-8.0
30003,2020.0,H,Big Horn County,MT,crypto,2021.0,1.0
31019,2019.0,H,Buffalo County,NE,crypto,2019.0,0.0
