county_fips,year,n_dc_active,mw_total
01053,2018,1,0.2
01053,2019,1,0.2
01053,2020,1,0.2
01053,2021,1,0.2
01053,2022,1,0.2
01053,2023,1,0.2
01053,2024,1,0.2
01053,2025,1,0.2
01071,2019,1,40.0
01071,2020,2,80.0
01071,2021,2,80.0
01071,2022,2,80.0
01071,2023,2,80.0
01071,2024,2,80.0
01071,2025,2,80.0
01073,2018,3,0.65
01073,2019,4,3.35
01073,2020,4,3.35
01073,2021,4,4.3500000000000005
01073,2022,4,4.3500000000000005
01073,2023,4,4.3500000000000005
01073,2024,4,4.3500000000000005
01073,2025,3,4.3
01075,2018,1,1.5
01075,2019,1,1.5
01075,2020,1,1.5
01075,2021,1,1.5
01075,2022,1,1.5
01075,2023,1,1.5
01075,2024,1,1.5
01075,2025,1,1.5
01081,2022,1,1.5
01081,2023,1,1.5
01081,2024,1,1.5
01081,2025,1,1.5
01089,2018,3,0.35
01089,2019,3,0.35
01089,2020,3,0.35
01089,2021,5,80.35
01089,2022,5,80.35
01089,2023,6,160.35
01089,2024,8,280.35
01089,2025,10,440.35
01097,2018,1,0.3
01097,2019,1,0.3
01097,2020,1,0.3
01097,2021,1,0.3
01097,2022,1,0.3
01097,2023,1,0.3
01097,2024,1,0.3
01097,2025,1,0.3
01101,2018,1,0.198
01101,2019,1,0.198
01101,2020,1,0.198
01101,2021,1,0.198
01101,2022,1,0.198
01101,2023,1,0.198
01101,2024,1,0.198
01101,2025,1,0.198
02020,2018,2,0.3
02020,2019,2,0.3
02020,2020,2,0.3
02020,2021,2,0.3
02020,2022,2,0.3
02020,2023,2,0.3
02020,2024,2,0.3
02020,2025,2,0.3
04013,2018,54,426.9086947
04013,2019,50,464.04647470000003
04013,2020,53,490.79647470000003
04013,2021,56,606.9674747
04013,2022,61,792.8488747
04013,2023,67,1104.0158747
04013,2024,78,1611.9556747
04013,2025,90,2042.7420747
04019,2018,7,3.8059987
04019,2019,7,3.8059987
04019,2020,7,3.8059987
04019,2021,7,3.8059987
04019,2022,7,3.8059987
04019,2023,7,3.8059987
04019,2024,9,16.9279987
04019,2025,9,16.9279987
04023,2019,1,0.035
04023,2020,1,0.035
04023,2021,1,0.035
04023,2022,1,0.035
04023,2023,1,0.035
04023,2024,1,0.035
04023,2025,1,0.035
05119,2018,3,1.29608
05119,2019,3,1.29608
05119,2020,3,1.29608
05119,2021,3,1.29608
05119,2022,3,1.29608
05119,2023,3,1.29608
05119,2024,3,1.29608
05119,2025,3,1.29608
06001,2018,12,49.63681
06001,2019,12,49.63681
06001,2020,13,64.5388
06001,2021,12,63.788799999999995
06001,2022,12,63.788799999999995
06001,2023,12,63.788799999999995
06001,2024,12,63.788799999999995
06001,2025,12,63.788799999999995
06007,2024,1,4.37676
06007,2025,1,4.37676
06013,2018,1,1.0914000000000001
06013,2019,1,1.0914000000000001
06013,2020,1,1.0914000000000001
06013,2021,1,1.0914000000000001
06013,2022,1,1.0914000000000001
06013,2023,1,1.0914000000000001
06013,2024,1,1.0914000000000001
06013,2025,1,1.0914000000000001
06019,2018,1,0.3
06019,2019,1,0.3
06019,2020,1,0.3
06019,2021,1,0.3
06019,2022,1,0.3
06019,2023,1,0.3
06019,2024,1,0.3
06019,2025,1,0.3
06029,2018,1,0.3
06029,2019,1,0.3
06029,2020,1,0.3
06029,2021,1,0.3
06029,2022,1,0.3
06029,2023,1,0.3
06029,2024,1,0.3
06029,2025,1,0.3
06037,2018,79,316.0827
06037,2019,78,318.9097
06037,2020,79,331.6337
06037,2021,77,347.98437
06037,2022,77,355.78037
06037,2023,77,361.81437
06037,2024,78,381.23437
06037,2025,78,384.15437
06045,2018,1,0.3
06045,2019,1,0.3
06045,2020,1,0.3
06045,2021,1,0.3
06045,2022,1,0.3
06045,2023,1,0.3
06045,2024,1,0.3
06045,2025,1,0.3
06059,2018,22,66.46865149999999
06059,2019,22,66.46865149999999
06059,2020,22,69.1956515
06059,2021,22,73.1536515
06059,2022,22,79.5616515
06059,2023,22,80.6416515
06059,2024,22,80.6416515
06059,2025,22,80.6416515
06061,2018,2,1.98
06061,2019,2,1.98
06061,2020,2,1.98
06061,2021,2,1.98
06061,2022,2,1.98
06061,2023,2,1.98
06061,2024,2,1.98
06061,2025,2,1.98
06065,2018,3,1.695
06065,2019,3,1.695
06065,2020,3,1.695
06065,2021,3,1.695
06065,2022,3,1.695
06065,2023,3,1.695
06065,2024,3,1.695
06065,2025,3,1.695
06067,2018,16,82.33270519999999
06067,2019,18,99.70696
06067,2020,18,99.70696
06067,2021,18,99.70696
06067,2022,18,99.70696
06067,2023,18,99.70696
06067,2024,18,99.70696
06067,2025,18,99.70696
06071,2018,2,7.721500000000001
06071,2019,2,7.721500000000001
06071,2020,2,7.721500000000001
06071,2021,2,7.721500000000001
06071,2022,2,7.721500000000001
06071,2023,2,7.721500000000001
06071,2024,2,7.721500000000001
06071,2025,2,7.721500000000001
06073,2018,28,32.83
06073,2019,28,32.83
06073,2020,28,34.21
06073,2021,28,34.21
06073,2022,28,40.96
06073,2023,29,41.36
06073,2024,29,41.36
06073,2025,29,41.36
06075,2018,9,72.36662
06075,2019,7,55.18877
