county_fips,n_dc_by2022,n_crypto,dc_class
01071,2,0,clean_dc
01073,3,0,clean_dc
01075,1,0,clean_dc
01081,1,0,clean_dc
01089,2,0,clean_dc
01097,1,0,clean_dc
04013,45,0,clean_dc
04019,3,0,clean_dc
04023,1,0,clean_dc
05119,1,0,clean_dc
06001,2,0,clean_dc
06013,1,0,clean_dc
06019,1,0,clean_dc
06029,1,0,clean_dc
06037,30,0,clean_dc
06045,1,0,clean_dc
06059,2,0,clean_dc
06061,1,0,clean_dc
06065,2,0,clean_dc
06067,7,0,clean_dc
06071,1,0,clean_dc
06073,12,0,clean_dc
06075,2,0,clean_dc
06077,1,0,clean_dc
06079,1,0,clean_dc
06083,1,0,clean_dc
06085,64,0,clean_dc
06099,2,0,clean_dc
08005,3,0,clean_dc
08031,3,0,clean_dc
08035,7,0,clean_dc
08041,1,0,clean_dc
08059,1,0,clean_dc
08085,1,1,crypto
09120,1,0,clean_dc
09140,1,0,clean_dc
09170,1,0,clean_dc
09190,4,0,clean_dc
10003,1,0,clean_dc
11001,3,0,clean_dc
12009,2,0,clean_dc
12011,2,0,clean_dc
12031,3,0,clean_dc
12057,14,2,mixed
12071,1,0,clean_dc
12073,3,0,clean_dc
12086,15,0,clean_dc
12095,1,0,clean_dc
12097,1,0,clean_dc
12099,3,0,clean_dc
12105,1,0,clean_dc
12127,1,0,clean_dc
13021,1,1,crypto
13067,1,0,clean_dc
13075,1,1,crypto
13089,1,0,clean_dc
13097,3,0,clean_dc
13121,25,1,mixed
13135,9,1,mixed
13145,1,1,crypto
13157,1,1,crypto
13217,2,0,clean_dc
13285,1,1,crypto
13303,1,1,crypto
13313,2,2,crypto
13317,1,1,crypto
15003,3,0,clean_dc
16001,5,0,clean_dc
17031,48,0,clean_dc
17043,10,0,clean_dc
17097,1,0,clean_dc
17201,1,0,clean_dc
18003,1,0,clean_dc
18005,1,0,clean_dc
18057,2,0,clean_dc
18089,3,0,clean_dc
18097,7,0,clean_dc
18141,5,0,clean_dc
