county_fips,prop_tax_2017,capex_2017,lt_debt_2017,exp_curr_2017,n_dc_2017,first_dc_year,is_dc_host,dc_intensity,dc_per_capex,dc_per_debt
01001,15.011,3.459,144.691,104.365,0,,0,0.0,0.0,0.0
01003,107.733,89.23200000000001,990.411,583.229,0,,0,0.0,0.0,0.0
01005,7.343999999999999,9.376,39.242,75.42500000000001,0,,0,0.0,0.0,0.0
01007,4.99,0.073,41.424,43.583000000000006,0,,0,0.0,0.0,0.0
01009,11.922,2.694,55.507000000000005,96.931,0,,0,0.0,0.0,0.0
01011,4.374,0.11,9.137,21.975,0,,0,0.0,0.0,0.0
01013,7.362,4.53,70.016,52.846,0,,0,0.0,0.0,0.0
01015,44.661,59.16,403.778,471.02400000000006,0,,0,0.0,0.0,0.0
01017,8.663,0.5960000000000001,57.605,57.576,0,,0,0.0,0.0,0.0
01019,9.776,3.29,39.733,48.95599999999999,0,,0,0.0,0.0,0.0
01021,15.896999999999998,1.291,44.952,85.377,0,,0,0.0,0.0,0.0
01023,5.361,0.0,18.269,23.427,0,,0,0.0,,0.0
01025,9.237,11.003,105.64,55.228,0,,0,0.0,0.0,0.0
01027,3.151,0.416,15.382,42.687,0,,0,0.0,0.0,0.0
01029,4.404,3.541,24.864,29.795,0,,0,0.0,0.0,0.0
01031,16.474,5.753,134.323,115.16899999999998,0,,0,0.0,0.0,0.0
01033,22.22,7.623,162.67600000000002,140.37,0,,0,0.0,0.0,0.0
01035,4.406000000000001,1.773,55.745000000000005,33.031,0,,0,0.0,0.0,0.0
01037,3.231,0.901,7.81,13.525999999999998,0,,0,0.0,0.0,0.0
01039,11.664,9.332,159.12,92.6,0,,0,0.0,0.0,0.0
01041,3.218,3.0760000000000005,24.238,28.594,0,,0,0.0,0.0,0.0
01043,27.916,11.185,298.829,193.836,0,,0,0.0,0.0,0.0
01045,14.094,6.456,48.968,109.279,0,,0,0.0,0.0,0.0
01047,12.854,0.843,67.05,93.506,0,,0,0.0,0.0,0.0
01049,18.635,4.946,125.025,148.02700000000002,0,,0,0.0,0.0,0.0
01051,20.796,1.632,125.218,145.73599999999996,0,,0,0.0,0.0,0.0
01053,15.183,3.770999999999999,93.921,82.051,0,,0,0.0,0.0,0.0
01055,32.572,8.946,242.142,221.866,0,,0,0.0,0.0,0.0
01057,5.102,0.492,19.788,33.005,0,,0,0.0,0.0,0.0
01059,8.422,6.93,79.13,83.68400000000001,0,,0,0.0,0.0,0.0
01061,8.177,0.675,23.349000000000004,75.724,0,,0,0.0,0.0,0.0
01063,3.902,0.26,24.762,26.826000000000004,0,,0,0.0,0.0,0.0
01065,4.281000000000001,0.507,19.503,40.433,0,,0,0.0,0.0,0.0
01067,4.883,0.433,43.25,31.112999999999996,0,,0,0.0,0.0,0.0
01069,40.281,38.465,386.384,597.7450000000001,0,,0,0.0,0.0,0.0
01071,16.871,2.9850000000000003,126.43,177.503,0,2019.0,0,0.0,0.0,0.0
01073,638.339,196.426,6372.798,1816.1489999999997,2,2013.0,1,0.003133131455229901,0.010181951472819282,0.00031383389211457824
01075,5.503,3.087,32.632999999999996,30.186,0,2018.0,0,0.0,0.0,0.0
01077,42.176,14.564,189.006,181.81,0,,0,0.0,0.0,0.0
01079,12.312,16.509,184.044,84.363,0,,0,0.0,0.0,0.0
01081,95.547,72.084,731.727,619.7929999999999,0,2022.0,0,0.0,0.0,0.0
01083,23.465,40.553,418.845,237.96400000000003,0,,0,0.0,0.0,0.0
01085,5.263,0.046,25.403,26.462,0,,0,0.0,0.0,0.0
01087,7.311999999999999,0.693,74.727,41.17199999999999,0,,0,0.0,0.0,0.0
01089,222.23,196.16199999999995,2297.73,2076.643,0,2021.0,0,0.0,0.0,0.0
01091,8.344999999999999,1.659,43.887,92.929,0,,0,0.0,0.0,0.0
01093,5.869999999999999,1.015,66.495,50.147,0,,0,0.0,0.0,0.0
01095,39.574,11.5,307.697,368.11,0,,0,0.0,0.0,0.0
01097,240.079,119.327,1254.929,1013.184,1,2013.0,1,0.004165295590201559,0.008380333034434789,0.0007968578302039398
01099,7.032,1.4780000000000002,28.219,66.263,0,,0,0.0,0.0,0.0
01101,82.682,50.134,919.735,1065.4440000000002,0,2026.0,0,0.0,0.0,0.0
01103,66.018,71.606,419.772,278.241,0,,0,0.0,0.0,0.0
01105,3.582,0.024,28.207,29.047,0,,0,0.0,0.0,0.0
01107,5.4559999999999995,5.3260000000000005,29.142000000000003,48.569,0,,0,0.0,0.0,0.0
01109,9.173,16.344,128.15800000000002,97.958,0,,0,0.0,0.0,0.0
01111,6.758,0.997,37.014,46.010000000000005,0,,0,0.0,0.0,0.0
01113,24.6,10.016,224.513,136.05,0,,0,0.0,0.0,0.0
01115,26.062,10.5,273.834,154.743,0,,0,0.0,0.0,0.0
01117,123.885,86.16300000000001,802.314,399.9030000000001,0,,0,0.0,0.0,0.0
01119,4.929,0.622,41.79600000000001,30.784,0,,0,0.0,0.0,0.0
01121,33.177,20.139,219.18499999999997,154.53599999999997,0,,0,0.0,0.0,0.0
01123,16.34,4.533,60.078,100.882,0,,0,0.0,0.0,0.0
01125,91.352,106.606,746.295,876.972,0,,0,0.0,0.0,0.0
01127,18.18,15.981,153.50799999999998,136.94100000000003,0,,0,0.0,0.0,0.0
01129,8.857,0.365,29.625,61.792,0,,0,0.0,0.0,0.0
01131,5.234,1.131,61.117999999999995,28.185999999999996,0,,0,0.0,0.0,0.0
01133,7.333,0.252,53.002,71.84300000000002,0,,0,0.0,0.0,0.0
02013,1.537,25.147,16.015,15.561,0,,0,0.0,0.0,0.0
02016,6.031,1.5779999999999998,88.457,30.775,0,,0,0.0,0.0,0.0
02020,528.814,175.239,1400.602,952.415,0,,0,0.0,0.0,0.0
02050,0.093,0.934,12.942,18.765,0,,0,0.0,0.0,0.0
02060,4.8,0.005,0.424,8.056000000000001,0,,0,0.0,0.0,0.0
02063,47.027,26.55,40.760000000000005,75.859,0,,0,0.0,0.0,0.0
02068,2.371,0.5,0.0,10.670999999999998,0,,0,0.0,0.0,
02070,2.306,1.454,10.247,17.673000000000002,0,,0,0.0,0.0,0.0
02090,136.547,23.353,170.913,292.53499999999997,0,,0,0.0,0.0,0.0
02100,3.021,0.033,0.0,8.927,0,,0,0.0,0.0,
02105,1.166,0.515,2.195,6.88,0,,0,0.0,0.0,0.0
02110,48.793,12.609,152.222,217.788,0,,0,0.0,0.0,0.0
02122,78.095,14.742,177.79899999999998,439.645,0,,0,0.0,0.0,0.0
02130,15.256,17.675,157.872,76.09199999999998,0,,0,0.0,0.0,0.0
02150,16.859,3.69,124.559,74.434,0,,0,0.0,0.0,0.0
02158,0.145,2.241,0.082,12.595999999999998,0,,0,0.0,0.0,0.0
02164,5.179,0.182,16.005,18.090000000000003,0,,0,0.0,0.0,0.0
02170,126.253,54.24999999999999,357.794,327.08500000000004,0,,0,0.0,0.0,0.0
02180,3.236,2.948,24.725,33.412000000000006,0,,0,0.0,0.0,0.0
02185,399.237,47.24699999999999,299.09499999999997,198.784,0,,0,0.0,0.0,0.0
02188,4.757000000000001,5.216,51.886,79.27399999999999,0,,0,0.0,0.0,0.0
02195,3.495,0.47,15.234,40.352999999999994,0,,0,0.0,0.0,0.0
02198,1.015,3.673,7.07,19.776999999999997,0,,0,0.0,0.0,0.0
02220,6.54,4.162,165.061,70.613,0,,0,0.0,0.0,0.0
02230,1.997,12.33,21.273,8.379999999999999,0,,0,0.0,0.0,0.0
02240,0.017,0.154,0.6,1.186,0,,0,0.0,0.0,0.0
02275,1.723,0.893,1.783,21.507,0,,0,0.0,0.0,0.0
02282,0.504,0.214,0.0,4.369999999999999,0,,0,0.0,0.0,
02290,0.8320000000000001,1.186,0.0,49.977999999999994,0,,0,0.0,0.0,
04001,26.801,8.897,33.415,161.44500000000002,0,,0,0.0,0.0,0.0
04003,111.76,14.571,124.043,293.526,0,,0,0.0,0.0,0.0
04005,125.685,46.155,173.937,296.163,0,,0,0.0,0.0,0.0
04007,62.002,3.531,57.376999999999995,127.469,0,,0,0.0,0.0,0.0
04009,19.941,5.802999999999999,53.776,111.926,0,,0,0.0,0.0,0.0
04011,13.836,0.372,0.605,29.141,0,,0,0.0,0.0,0.0
04012,14.061,2.544,29.961,46.733999999999995,0,,0,0.0,0.0,0.0
04013,4231.624,964.8350000000002,21432.109,9574.163,28,2001.0,1,0.006616844974884347,0.02902050609689739,0.0013064509890277248
04015,164.08,22.843,456.181,354.47999999999996,0,,0,0.0,0.0,0.0
04017,77.654,33.992999999999995,134.175,421.86,0,,0,0.0,0.0,0.0
04019,1092.999,233.307,3202.35,2033.2529999999997,3,2013.0,1,0.002744741760971419,0.012858594041327522,0.0009368120286664481
04021,293.418,40.116,834.367,633.9619999999999,0,,0,0.0,0.0,0.0
04023,36.285,0.208,81.509,111.173,0,2019.0,0,0.0,0.0,0.0
04025,215.546,81.085,521.317,403.83,0,,0,0.0,0.0,0.0
04027,246.999,42.23199999999999,366.763,441.00200000000007,0,,0,0.0,0.0,0.0
05001,7.699,6.285,116.02,42.620999999999995,0,,0,0.0,0.0,0.0
05003,9.77,5.562,54.56,45.166,0,,0,0.0,0.0,0.0
05005,10.858,0.436,115.008,66.18,0,,0,0.0,0.0,0.0
