pid,operator
10362568,"Amazon.com, Inc."
10362572,"Salcido Enterprises, LLC"
10343071,"The Peterson Companies, LLC"
10362391,"CapRock Partners, LLC"
10341260,"Blackstone Real Estate Income Trust, Inc."
10259546,"H5 Data Centers, LLC"
10362392,"CapRock Partners, LLC"
10259523,"Cogent Communications Holdings, Inc."
10339596,"Corporate Colocation, Inc"
10340198,"Nexcess.Net, LLC"
10342118,Tract
10167351,"ePLDT, Inc."
10349491,Telstra Group Limited
10362574,ASICSPACE Co.
10178021,"DataBank Holdings, Ltd."
10346487,Digital Crossroad
10125035,CyrusOne Inc.
10339483,Data One Corporation
10340055,CoreSite Realty Corporation
10246373,"Digital Realty Trust, Inc."
10362395,PowerHouse Data Centers
10362396,PowerHouse Data Centers
10340511,NEC Corporation
10343169,"QTS Realty Trust, LLC"
10339444,"Peace Communications, LLC"
10342061,"SDP Acquisitions, LLC"
10349529,CRF Computer Recovery Facility
10362394,PowerHouse Data Centers
10320257,Verizon Communications Inc.
10320253,Verizon Communications Inc.
10167440,"Lumen Technologies, Inc."
10362393,"CapRock Partners, LLC"
10362601,"Core Scientific, Inc."
10342052,"QTS Realty Trust, LLC"
10342055,"QTS Realty Trust, LLC"
10185488,CoreSite Realty Corporation
10343175,"QTS Realty Trust, LLC"
10362443,Tract
10343413,Flexential Inc.
10181547,"Switch, Inc."
10339485,Data One Corporation
10343079,"Amazon.com, Inc."
10343451,Microsoft Corporation
10338615,Lumos Networks Corp.
10343173,"QTS Realty Trust, LLC"
10320304,"Zayo Group Holdings, Inc."
10317897,China Telecom Corporation Limited
10340758,TA Realty LLC
10343075,"The Peterson Companies, LLC"
10342058,"SDP Acquisitions, LLC"
10343078,"The Peterson Companies, LLC"
10362441,TA Realty LLC
10339723,"Switch, Inc."
10183595,TPG Telecom Limited
10339726,"Switch, Inc."
10362442,"Thor Equities, LLC"
10123857,"Digital Realty Trust, Inc."
10362420,"SNA Cleveland, LLC"
10191913,"Blackstone Real Estate Income Trust, Inc."
10246392,"Markley, LLC"
10338611,Lumos Networks Corp.
10259507,"Cogent Communications Holdings, Inc."
10259521,"Cogent Communications Holdings, Inc."
10341228,"Blackstone Real Estate Income Trust, Inc."
10317568,China Mobile Limited
10362602,"Core Scientific, Inc."
10317587,"China United Network Communications Group Co., Ltd."
10349709,Ip Exchange GmbH
10349693,New World Telecommunications Ltd.
10338569,"Expedient Holdings USA, LLC"
10362207,"QTS Realty Trust, LLC"
10362385,"CapRock Partners, LLC"
10320216,Verizon Communications Inc.
10362386,"CapRock Partners, LLC"
10343060,"Headwaters Site Development, L.L.C."
10340615,"NTT EAST, Inc."
10343442,"Stream Data Centers, L.P."
10340593,"NTT EAST, Inc."
10362205,"STACK Infrastructure, Inc."
10343120,"Compass Datacenters, LLC"
10340514,NEC Corporation
10362206,"QTS Realty Trust, LLC"
10338808,"Lumen Technologies, Inc."
10340649,"Stanley Martin Homes, LLC"
10362560,"Amazon.com, Inc."
10343057,"Headwaters Site Development, L.L.C."
10349692,Princeton Digital Group (Singapore) Pte. Limited
10349815,Global Switch Holdings Limited
10340172,"US Signal Company, LLC"
10343187,cloudHQ LLC
10317518,"Ningxia Diantong Industry Group Co., Ltd."
10343125,"Compass Datacenters, LLC"
10183803,"TierPoint, LLC"
10342037,DC BLOX Inc.
10343440,Apple Inc.
10085875,Keppel DC REIT
10349317,"Stanley Martin Homes, LLC"
10339496,"TierPoint, LLC"
10362208,"QTS Realty Trust, LLC"
10340205,Oneneck It Solutions LLC
10362448,Tract
10340067,CyrusOne Inc.
10362559,"Amazon.com, Inc."
10342098,"QTS Realty Trust, LLC"
10362224,Alphabet Inc.
10362383,NTT Global Data Centers Preparatory Corporation
10362384,"CapRock Partners, LLC"
10338628,"Lumen Technologies, Inc."
10154188,CyrusOne Inc.
10362449,Tract
10343123,"Compass Datacenters, LLC"
10362223,CyrusOne Inc.
10343438,"Amazon.com, Inc."
10342049,"QTS Realty Trust, LLC"
10341363,"EdgeCore Internet Real Estate, LLC"
10339592,"WideOpenWest, Inc."
10362200,Crane Data Centers Inc.
10362444,Tract
10362981,Splashwire Inc.
10352691,China Telecom Corporation Limited
10339594,"Cologix, Inc."
10343449,Apple Inc.
10362199,Crane Data Centers Inc.
10181549,"Switch, Inc."
10343128,"Compass Datacenters, LLC"
10362421,"SNA Cleveland, LLC"
10343318,Microsoft Corporation
10349823,TPG Telecom Limited
10362445,Tract
10339761,CyrusOne Inc.
10340739,"DataBank Holdings, Ltd."
10183815,"TierPoint, LLC"
10352688,China Telecom Corporation Limited
