PROPERTYUNIQUEID,LATITUDE,LONGITUDE,STATE,STATEFIPS,CITY,ZIP,STREETADDRESS1,YEARFACILITYBECAMEOPERATIONAL,BUILTYEAR,DECOMMISSIONEDYEAR,NCREIFREGIONNAME,GEOGRAPHICREGION,county_fips,county_name
10001004.0,32.96607,-96.71559,Texas,48,Richardson,75081,1232 Alma Road,2010.0,2010.0,,Southwest,United States and Canada,48113,Dallas
10001442.0,32.966209,-96.7111,Texas,48,Richardson,75081,904 Quality Way,2013.0,2013.0,,Southwest,United States and Canada,48113,Dallas
10001443.0,32.966368,-96.713111,Texas,48,Richardson,75081,900 Quality Way,2012.0,2012.0,,Southwest,United States and Canada,48113,Dallas
10001446.0,32.96521,-96.71316,Texas,48,Dallas,75081,1210 Integrity Drive,2016.0,2016.0,,Southwest,United States and Canada,48113,Dallas
10001447.0,32.96495,-96.71002,Texas,48,Richardson,75081,907 Security Row,2015.0,2015.0,,Southwest,United States and Canada,48113,Dallas
10001502.0,37.37868,-121.95485,California,06,Santa Clara,95054,1350 Duane Avenue,2000.0,2000.0,,Pacific,United States and Canada,06085,Santa Clara
10002414.0,42.51249,-71.23757,Massachusetts,25,Bedford,01730,55 Middlesex Turnpike,2000.0,2000.0,,Northeast,United States and Canada,25017,Middlesex
10002415.0,42.30114,-71.21864,Massachusetts,25,Needham,02494,128 1st Avenue,2000.0,2000.0,,Northeast,United States and Canada,25021,Norfolk
10002416.0,41.240857,-73.1473,Connecticut,09,Trumbull,06611,60/80 Merritt Boulevard,2012.0,2012.0,,Northeast,United States and Canada,09120,Greater Bridgeport
10002417.0,39.02223,-77.45341,Virginia,51,Ashburn,20147,21561-21571 Beaumeade Circle,2011.0,2000.0,,Mideast,United States and Canada,51107,Loudoun
10002418.0,39.02345,-77.41321,Virginia,51,Sterling,20166,45901-45845 Nokes Boulevard,,,,Mideast,United States and Canada,51107,Loudoun
10004374.0,39.00423,-77.48452,Virginia,51,Ashburn,20147,43830 Devin Shafron Drive,2012.0,2011.0,,Mideast,United States and Canada,51107,Loudoun
10004548.0,32.66694,-97.15464,Texas,48,Arlington,76017,5000 South Bowen Road,2012.0,1984.0,,Southwest,United States and Canada,48439,Tarrant
10006507.0,37.37494,-121.958065,California,06,Santa Clara,95054,1725 Comstock Street,2010.0,2010.0,,Pacific,United States and Canada,06085,Santa Clara
10006809.0,37.37826,-121.9583,California,06,Santa Clara,95054,3105 Alfred Street,2011.0,2011.0,,Pacific,United States and Canada,06085,Santa Clara
10006946.0,37.33417,-121.891703,California,06,San Jose,95113,55 South Market Street,,1996.0,,Pacific,United States and Canada,06085,Santa Clara
10006948.0,34.05828,-118.236,California,06,Los Angeles,90012,900 North Alameda Street,,,,Pacific,United States and Canada,06037,Los Angeles
10006955.0,41.87602,-87.63151,Illinois,17,Chicago,60605,427 South La Salle Street,,1981.0,,East North Central,United States and Canada,17031,Cook
10006962.0,37.405738,-121.916199,California,06,Milpitas,95035,1656 McCarthy Boulevard,,,,Pacific,United States and Canada,06085,Santa Clara
10006966.0,42.377,-71.07984,Massachusetts,25,Somerville,02143,70 Innerbelt Road,,,,Northeast,United States and Canada,25017,Middlesex
