pid,provider
10362513,"Amazon.com, Inc."
10362507,Menlo Equities VI LP
10352454,"Amazon.com, Inc."
10317427,China Telecom Corporation Limited
10362939,Redivider Blockchain Opportunity Zone Fund LLC
10342116,Urbacon Limited
10181618,EdgeConneX
10317356,Data4 Group
10317436,"China United Network Communications Group Co., Ltd."
10349163,Datacentre Hong Kong
10362497,Hamilton Telephone Company
10363584,Yondr Group Holdings B.V.
10362519,"Iron Mountain Data Centers, LLC"
10349166,Datacom Australia Holdings Pty Limited
10346076,Orbit Telekom
10362526,Microsoft Corporation
10362521,Microsoft Corporation
10183596,Datacom Australia Holdings Pty Limited
10362514,
10352114,"Equinix, Inc."
10349180,Nexion Group Ltd
10362932,Northern Data AG
10362522,Microsoft Corporation
10342105,Juch-tech
10362508,Menlo Equities VI LP
10317766,China Telecom Corporation Limited
10362509,NorthPoint Development LLC
10362523,Microsoft Corporation
10317424,China Telecom Corporation Limited
10352399,
10362501,Microsoft Corporation
10317364,"ADISTA, S.A.S."
10362935,Polaris Technology Inc.
10362498,Microsoft Corporation
10352401,Spark New Zealand Limited
10343347,DXC Technology Company
10362505,"Iron Mountain Data Centers, LLC"
10346064,Ngn Bilgi Teknolojileri Veri Merkezi Hizmetleri Ve Danismanlik Anonim Sirketi
10343348,Itissalat Al-Maghrib (IAM) S.A.
10362531,"Amazon.com, Inc."
10342103,I.C.E Datacenters
10317406,"Digital Realty Trust, Inc."
10346362,"Digital Realty Trust, Inc."
10338857,Odata S.A.
10342197,Urbacon Limited
10352455,Microsoft Corporation
10317362,Hexatom SARL
10352111,Digital Edge
10362942,"Alliance Cloud Services, LLC"
10338855,NAP Colombia
10362940,"Riot Platforms, Inc."
10352400,T4 Group Limited
10362515,
10362934,Northern Data AG
10342100,ExcellIT
10346089,PremierDC Veri Merkezi A.S.
10317429,China Telecom Corporation Limited
10362512,Menlo Equities VI LP
10352457,Microsoft Corporation
10342191,Urbacon Limited
10239474,NEXTDC Limited
10362511,Menlo Equities VI LP
10339597,Tencent Holdings Limited
10362510,Alphabet Inc.
10320067,China Telecom Corporation Limited
10352398,
10362520,The Blackchamber Group
10362518,"Iron Mountain Data Centers, LLC"
10317760,China Telecom Corporation Limited
10317359,Hexatom SARL
10362504,Menlo Equities VI LP
10342193,Urbacon Limited
10362922,Board Basics LLC
10338849,Internexa S.A.
10362933,Northern Data AG
10363591,
10342109,Nuday Networks
10317763,China Telecom Corporation Limited
10317765,China Telecom Corporation Limited
10352403,Data Vault
10362525,Microsoft Corporation
10362527,Microsoft Corporation
10349175,Datacom Australia Holdings Pty Limited
10342183,Urbacon Limited
10346829,"Cologix, Inc."
10352402,Data Centre It Ltd
10317441,"China United Network Communications Group Co., Ltd."
10342186,Urbacon Limited
10251036,"Digital Realty Trust, Inc."
10317447,"China United Network Communications Group Co., Ltd."
10346847,Cloud South Inc
10362944,
10362499,Alphabet Inc.
10352113,"LG CNS Co., Ltd."
10145884,Urbacon Limited
10352456,"Amazon.com, Inc."
10317767,China Telecom Corporation Limited
10338853,IPXON Networks
10317444,"China United Network Communications Group Co., Ltd."
10362943,
10342112,Pillar 247 Inc.
10362500,Alphabet Inc.
10317433,China Telecom Corporation Limited
