county_fips,prop_tax_2017_M,mw_year,mw_latest,n_dc_latest,mw_peak,dc_tax_M_low,dc_share_low,dc_tax_M_mid,dc_share_mid,dc_tax_M_high,dc_share_high,state,name,pt_structure_state,dc_tax_M_low_adjusted,dc_share_low_adjusted,dc_tax_M_mid_adjusted,dc_share_mid_adjusted,dc_tax_M_high_adjusted,dc_share_high_adjusted
21127,6.5440000000000005,2025.0,250.0,1,250.0,7.5,114.60880195599022,12.5,191.01466992665036,25.0,382.0293398533007,KY,Lawrence County,KY-consolidated-with-PILOT,6.75,103.14792176039118,11.25,171.9132029339853,22.5,343.8264058679706
41049,27.057,2025.0,1004.2,23,1004.2,30.126,111.34272092249697,50.21,185.57120153749491,100.42,371.14240307498983,OR,Morrow County,standard,30.126,111.34272092249695,50.21,185.57120153749491,100.42,371.14240307498983
48125,4.969,2025.0,180.0,1,180.0,5.4,108.673777420004,9.0,181.12296236667336,18.0,362.2459247333467,TX,Dickens County,TX-Chapter-312-abatement,1.35,27.168444355001004,2.25,45.28074059166834,4.5,90.56148118333668
32029,17.119,2025.0,602.7096,6,602.7096,18.081288,105.621169460833,30.13548,176.0352824347217,60.27096,352.07056486944333,NV,Storey County,NV-Switch-deals,9.040644,52.810584730416494,15.06774,88.01764121736083,30.13548,176.03528243472167
48331,38.017,2025.0,1192.0,2,1192.0,35.76,94.06318226056764,59.6,156.77197043427938,119.2,313.54394086855876,TX,Milam County,TX-Chapter-312-abatement,8.94,23.515795565141907,14.9,39.192992608569845,29.8,78.38598521713969
38021,15.142,2025.0,440.0,3,440.0,13.2,87.17474574032492,22.0,145.29124290054153,44.0,290.58248580108307,ND,Dickey County,standard,13.2,87.17474574032492,22.0,145.29124290054153,44.0,290.58248580108307
37069,19.05,2025.0,500.0,1,500.0,15.0,78.74015748031496,25.0,131.23359580052494,50.0,262.4671916010499,NC,Franklin County,standard,15.0,78.74015748031496,25.0,131.23359580052494,50.0,262.4671916010499
13075,11.024,2025.0,270.0,1,270.0,8.1,73.47605224963716,13.5,122.4600870827286,27.0,244.9201741654572,GA,Cook County,GA-IDA-leasehold,1.62,14.695210449927432,2.7,24.49201741654572,5.4,48.98403483309144
48275,7.229,2025.0,166.0,1,166.0,4.98,68.88919629270993,8.3,114.81532715451654,16.6,229.63065430903308,TX,Knox County,TX-Chapter-312-abatement,1.245,17.22229907317748,2.075,28.703831788629135,4.15,57.40766357725827
41013,24.869,2025.0,404.04,14,404.04,12.1212,48.7401986408782,20.202,81.23366440146368,40.404,162.46732880292737,OR,Crook County,standard,12.1212,48.7401986408782,20.202,81.23366440146368,40.404,162.46732880292737
48103,18.968,2025.0,280.0,1,280.0,8.4,44.28511176718684,14.0,73.80851961197807,28.0,147.61703922395614,TX,Crane County,TX-Chapter-312-abatement,2.1,11.07127794179671,3.5,18.452129902994518,7.0,36.904259805989035
40097,29.699,2025.0,329.775,12,329.775,9.89325,33.311727667598234,16.48875,55.519546112663726,32.9775,111.03909222532744,OK,Mayes County,standard,9.89325,33.311727667598234,16.48875,55.519546112663726,32.9775,111.03909222532745
53051,9.476,2025.0,100.0,1,100.0,3.0,31.658927817644575,5.0,52.76487969607429,10.0,105.52975939214858,WA,Pend Oreille County,standard,3.0,31.658927817644575,5.0,52.76487969607429,10.0,105.52975939214858
13303,21.244,2025.0,222.0,1,222.0,6.66,31.35002824326869,11.1,52.25004707211448,22.2,104.50009414422895,GA,Washington County,GA-IDA-leasehold,1.332,6.270005648653738,2.22,10.450009414422897,4.44,20.900018828845795
48475,41.267,2025.0,423.0,3,423.0,12.69,30.75096323939225,21.15,51.25160539898708,42.3,102.50321079797416,TX,Ward County,TX-Chapter-312-abatement,3.1725,7.687740809848062,5.2875,12.81290134974677,10.575,25.62580269949354
35061,42.318,2025.0,414.0,7,414.0,12.42,29.349213100808168,20.7,48.91535516801361,41.4,97.83071033602722,NM,Valencia County,standard,12.42,29.349213100808168,20.7,48.91535516801361,41.4,97.83071033602722
51117,32.485,2025.0,316.082,22,316.082,9.48246,29.190272433430813,15.8041,48.65045405571803,31.6082,97.30090811143606,VA,Mecklenburg County,VA-consolidated,9.48246,29.190272433430813,15.8041,48.65045405571803,31.6082,97.30090811143606
48371,52.639,2025.0,497.0,4,497.0,14.91,28.325006174129445,24.85,47.20834362354908,49.7,94.41668724709815,TX,Pecos County,TX-Chapter-312-abatement,3.7275,7.081251543532361,6.2125,11.80208590588727,12.425,23.60417181177454
41059,87.887,2025.0,795.4396,20,795.4396,23.863188,27.15212488763981,39.77198,45.25354147939968,79.54396,90.50708295879936,OR,Umatilla County,standard,23.863188,27.15212488763981,39.77198,45.25354147939968,79.54396,90.50708295879936
21157,22.619999999999997,2025.0,195.0,2,220.0,5.85,25.86206896551725,9.75,43.10344827586207,19.5,86.20689655172414,KY,Marshall County,KY-consolidated-with-PILOT,5.265,23.27586206896552,8.775,38.793103448275865,17.55,77.58620689655173
48173,26.566,2025.0,200.0,1,200.0,6.0,22.585259354061584,10.0,37.642098923435974,20.0,75.28419784687195,TX,Glasscock County,TX-Chapter-312-abatement,1.5,5.646314838515396,2.5,9.410524730858993,5.0,18.821049461717987
13317,11.078,2025.0,82.0,1,82.0,2.46,22.20617439971114,4.1,37.01029066618523,8.2,74.02058133237045,GA,Wilkes County,GA-IDA-leasehold,0.492,4.441234879942228,0.82,7.4020581332370465,1.64,14.804116266474093
48045,6.813,2025.0,50.0,1,50.0,1.5,22.01673271686482,2.5,36.69455452810803,5.0,73.38910905621606,TX,Briscoe County,TX-Chapter-312-abatement,0.375,5.504183179216205,0.625,9.173638632027007,1.25,18.347277264054014
53025,103.564,2025.0,748.029885,31,748.029885,22.44089655,21.668626694604303,37.40149425,36.11437782434051,74.8029885,72.22875564868102,WA,Grant County,standard,22.44089655,21.668626694604306,37.40149425,36.11437782434051,74.8029885,72.22875564868102
