treated_fips,treated_state,division,pt_2017_treated,control_fips,pt_2017_control,ratio,match_tier
01071,01,East South Central,5685000.0,01113,5607000.0,0.9862796833773088,state
01071,01,East South Central,5685000.0,01003,36550384.0,6.429267194371152,state
01071,01,East South Central,5685000.0,47161,5038635.0,0.8863034300791557,division
01075,01,East South Central,1903000.0,01113,5607000.0,2.94640042038886,state
01075,01,East South Central,1903000.0,01003,36550384.0,19.206717813977928,state
01075,01,East South Central,1903000.0,47161,5038635.0,2.647732527588019,division
01089,01,East South Central,48580000.0,01003,36550384.0,0.7523751337999177,state
01089,01,East South Central,48580000.0,01113,5607000.0,0.1154178674351585,state
01089,01,East South Central,48580000.0,47009,47003000.0,0.9675380815150267,division
04013,04,Mountain,592884000.0,04021,88122000.0,0.1486327848280608,state
04013,04,Mountain,592884000.0,04025,54756000.0,0.09235533426437549,state
04013,04,Mountain,592884000.0,16055,47625018.0,0.0803277167203028,division
08085,08,Mountain,13664000.0,32013,14501000.0,1.0612558548009368,division
08085,08,Mountain,13664000.0,32007,15783000.0,1.1550790398126465,division
08085,08,Mountain,13664000.0,35055,11452952.0,0.8381844262295082,division
13075,13,South Atlantic,4452000.0,13319,4405000.0,0.9894429469901168,state
13075,13,South Atlantic,4452000.0,13271,4393000.0,0.9867475292003594,state
13075,13,South Atlantic,4452000.0,13099,4380000.0,0.9838274932614556,state
13097,13,South Atlantic,46274000.0,13223,48039377.0,1.038150516488741,state
13097,13,South Atlantic,46274000.0,13095,32043258.0,0.69246786532394,state
13097,13,South Atlantic,46274000.0,13255,25102166.0,0.5424680382072006,state
13121,13,South Atlantic,558945000.0,13051,161352079.0,0.28867255096655303,state
13121,13,South Atlantic,558945000.0,13223,48039377.0,0.08594651888826271,state
13121,13,South Atlantic,558945000.0,13095,32043258.0,0.05732810562756622,state
13145,13,South Atlantic,8667509.0,13291,8569000.0,0.9886346815446052,state
13145,13,South Atlantic,8667509.0,13257,8516000.0,0.9825198912398014,state
13145,13,South Atlantic,8667509.0,13225,8872000.0,1.023592822343767,state
13157,13,South Atlantic,23333600.0,13255,25102166.0,1.0757948194877773,state
13157,13,South Atlantic,23333600.0,13095,32043258.0,1.3732667912366716,state
13157,13,South Atlantic,23333600.0,13223,48039377.0,2.058806913635273,state
13217,13,South Atlantic,33011000.000000004,13095,32043258.0,0.9706842567628972,state
13217,13,South Atlantic,33011000.000000004,13255,25102166.0,0.7604182242282874,state
13217,13,South Atlantic,33011000.000000004,13223,48039377.0,1.4552536124322193,state
13285,13,South Atlantic,22936543.0,13255,25102166.0,1.094418021059233,state
13285,13,South Atlantic,22936543.0,13095,32043258.0,1.3970395625879628,state
13285,13,South Atlantic,22936543.0,13223,48039377.0,2.094447144890143,state
13303,13,South Atlantic,8591426.0,13291,8569000.0,0.997389723196126,state
13303,13,South Atlantic,8591426.0,13257,8516000.0,0.9912207822077499,state
13303,13,South Atlantic,8591426.0,13225,8872000.0,1.032657442431559,state
13313,13,South Atlantic,26430000.0,13255,25102166.0,0.9497603480892924,state
13313,13,South Atlantic,26430000.0,13095,32043258.0,1.2123820658342792,state
13313,13,South Atlantic,26430000.0,13223,48039377.0,1.817607907680666,state
13317,13,South Atlantic,4951787.0,13319,4405000.0,0.8895778433119195,state
13317,13,South Atlantic,4951787.0,13271,4393000.0,0.8871544757478462,state
13317,13,South Atlantic,4951787.0,13099,4380000.0,0.8845291608867667,state
16001,16,Mountain,110576000.0,16055,47625018.0,0.4306994103602952,state
16001,16,Mountain,110576000.0,16017,26752000.0,0.2419331500506439,state
16001,16,Mountain,110576000.0,04021,88122000.0,0.7969360439878455,division
17037,17,East North Central,24072000.0,17099,23606659.0,0.9806687853107344,state
17037,17,East North Central,24072000.0,17115,20896000.0,0.8680624792289797,state
