county_fips,name,dc_class,first_op_year,dom_oy,cap50_oy,yr_shift
01071,Jackson County,clean_dc,2019.0,2020.0,2019.0,1.0
01075,Lamar County,clean_dc,2018.0,2018.0,2018.0,0.0
01089,Madison County,clean_dc,2021.0,2025.0,2024.0,4.0
04013,Maricopa County,clean_dc,2001.0,2016.0,2023.0,15.0
08085,Montrose County,crypto,2022.0,2022.0,2022.0,0.0
13075,Cook County,crypto,2019.0,2019.0,2019.0,0.0
13097,Douglas County,clean_dc,2003.0,2016.0,2016.0,13.0
13121,Fulton County,mixed,2001.0,2025.0,2024.0,24.0
13145,Harris County,crypto,2022.0,2022.0,2022.0,0.0
13157,Jackson County,crypto,2022.0,2022.0,2022.0,0.0
13217,Newton County,clean_dc,2021.0,2025.0,2022.0,4.0
13285,Troup County,mixed,2022.0,2022.0,2022.0,0.0
13303,Washington County,crypto,2022.0,2022.0,2022.0,0.0
13313,Whitfield County,crypto,2018.0,2023.0,2018.0,5.0
13317,Wilkes County,crypto,2022.0,2022.0,2022.0,0.0
16001,Ada County,clean_dc,2000.0,2029.0,2024.0,29.0
17037,DeKalb County,clean_dc,2024.0,2025.0,2024.0,1.0
18127,Porter County,clean_dc,2024.0,2024.0,2024.0,0.0
18141,St. Joseph County,clean_dc,2003.0,2025.0,2024.0,22.0
18153,Sullivan County,crypto,2022.0,2022.0,2022.0,0.0
19049,Dallas County,clean_dc,2011.0,2025.0,2024.0,14.0
19075,Grundy County,crypto,2017.0,2017.0,2017.0,0.0
19083,Hardin County,mixed,2023.0,2024.0,2024.0,1.0
19153,Polk County,mixed,2013.0,2027.0,2019.0,14.0
19155,Pottawattamie County,clean_dc,2009.0,2029.0,2015.0,20.0
19181,Warren County,clean_dc,2023.0,2024.0,2024.0,1.0
21035,Calloway County,mixed,2021.0,2021.0,2021.0,0.0
21109,Jackson County,crypto,2022.0,2022.0,2022.0,0.0
21127,Lawrence County,crypto,2024.0,2024.0,2024.0,0.0
21145,McCracken County,crypto,2021.0,2022.0,2022.0,1.0
21157,Marshall County,mixed,2019.0,2019.0,2019.0,0.0
21195,Pike County,crypto,2022.0,2022.0,2022.0,0.0
21225,Union County,crypto,2020.0,2020.0,2020.0,0.0
26027,Cass County,crypto,2021.0,2021.0,2021.0,0.0
28089,Madison County,clean_dc,2025.0,2025.0,2025.0,0.0
29047,Clay County,clean_dc,2014.0,2024.0,2024.0,10.0
30003,Big Horn County,crypto,2021.0,2021.0,2021.0,0.0
30093,Silver Bow County,mixed,2020.0,2020.0,2020.0,0.0
31019,Buffalo County,crypto,2019.0,2019.0,2019.0,0.0
31081,Hamilton County,mixed,2011.0,2024.0,2024.0,13.0
31153,Sarpy County,clean_dc,2001.0,2024.0,2021.0,23.0
32003,Clark County,clean_dc,2000.0,2025.0,2020.0,25.0
32029,Storey County,clean_dc,2017.0,2024.0,2024.0,7.0
32031,Washoe County,clean_dc,2013.0,2019.0,2019.0,6.0
35061,Valencia County,clean_dc,2018.0,2024.0,2021.0,6.0
36063,Niagara County,mixed,2021.0,2022.0,2022.0,1.0
36089,St. Lawrence County,crypto,2021.0,2021.0,2021.0,0.0
37027,Caldwell County,clean_dc,2004.0,2014.0,2014.0,10.0
37035,Catawba County,clean_dc,2011.0,2024.0,2018.0,13.0
37039,Cherokee County,mixed,2018.0,2018.0,2018.0,0.0
37069,Franklin County,crypto,2017.0,2017.0,2017.0,0.0
37161,Rutherford County,mixed,2011.0,2016.0,2016.0,5.0
38021,Dickey County,crypto,2023.0,2023.0,2023.0,0.0
38035,Grand Forks County,crypto,2021.0,2021.0,2021.0,0.0
38093,Stutsman County,crypto,2022.0,2022.0,2022.0,0.0
38105,Williams County,mixed,2022.0,2030.0,2022.0,8.0
39045,Fairfield County,clean_dc,2024.0,2029.0,2024.0,5.0
39049,Franklin County,clean_dc,2001.0,2025.0,2022.0,24.0
39063,Hancock County,crypto,2024.0,2024.0,2024.0,0.0
39089,Licking County,clean_dc,2016.0,2027.0,2021.0,11.0
39111,Monroe County,crypto,2022.0,2022.0,2022.0,0.0
39159,Union County,clean_dc,2023.0,2025.0,2024.0,2.0
40097,Mayes County,clean_dc,2011.0,2028.0,2018.0,17.0
40101,Muskogee County,crypto,2024.0,2024.0,2024.0,0.0
41013,Crook County,clean_dc,2011.0,2016.0,2020.0,5.0
41049,Morrow County,clean_dc,2011.0,2018.0,2021.0,7.0
41059,Umatilla County,clean_dc,2012.0,2023.0,2023.0,11.0
41065,Wasco County,clean_dc,2006.0,2014.0,2014.0,8.0
41067,Washington County,clean_dc,2002.0,2024.0,2023.0,22.0
42007,Beaver County,crypto,2023.0,2024.0,2024.0,1.0
42079,Luzerne County,mixed,2023.0,2023.0,2023.0,0.0
42121,Venango County,crypto,2021.0,2021.0,2021.0,0.0
45015,Berkeley County,clean_dc,2008.0,2015.0,2017.0,7.0
45083,Spartanburg County,mixed,2022.0,2023.0,2023.0,1.0
45087,Union County,crypto,2023.0,2023.0,2023.0,0.0
45091,York County,clean_dc,2014.0,2025.0,2025.0,11.0
46119,Sully County,crypto,2023.0,2023.0,2023.0,0.0
47013,Campbell County,crypto,2024.0,2024.0,2024.0,0.0
47025,Claiborne County,crypto,2024.0,2024.0,2024.0,0.0
47035,Cumberland County,crypto,2024.0,2024.0,2024.0,0.0
47105,Loudon County,crypto,2023.0,2023.0,2023.0,0.0
47107,McMinn County,clean_dc,2024.0,2024.0,2024.0,0.0
47113,Madison County,mixed,2025.0,2025.0,2025.0,0.0
47121,Meigs County,crypto,2021.0,2021.0,2021.0,0.0
47125,Montgomery County,clean_dc,2019.0,2023.0,2020.0,4.0
47151,Scott County,crypto,2021.0,2024.0,2021.0,3.0
47165,Sumner County,clean_dc,2023.0,2025.0,2023.0,2.0
47173,Union County,crypto,2022.0,2022.0,2022.0,0.0
48003,Andrews County,crypto,2022.0,2022.0,2022.0,0.0
48045,Briscoe County,clean_dc,2025.0,2025.0,2025.0,0.0
