treated_fips,treated_state,division,pt17_treated,pt17_control,control_fips,match_tier,log_dist,treated_growth,control_growth,treated_level_change,control_level_change
01071,01,East South Central,5.685,5.607,01113,state,0.013815310060963926,-24.90765171503957,34.314250044587105,-1.4159999999999995,1.9239999999999995
01071,01,East South Central,5.685,5.423,01061,state,0.04718195934357561,-24.90765171503957,26.27696846763783,-1.4159999999999995,1.4249999999999998
01071,01,East South Central,5.685,5.974,01009,state,0.049585592591418814,-24.90765171503957,31.386006026113165,-1.4159999999999995,1.875
01075,01,East South Central,1.903,1.948,01065,state,0.023371616906330828,26.27430373095112,11.704312114989746,0.5,0.2280000000000002
01075,01,East South Central,1.903,1.855,01023,state,0.02554689225461404,26.27430373095112,26.253369272237205,0.5,0.4870000000000001
01075,01,East South Central,1.903,1.844,01079,state,0.031494463179610355,26.27430373095112,26.681127982646412,0.5,0.49199999999999977
01089,01,East South Central,48.58,34.59,01003,state,0.33964730062494874,27.023466447097565,33.74963862387972,13.128,11.674
01089,01,East South Central,48.58,29.542,01125,state,0.4973989439556181,27.023466447097565,23.877868796967007,13.128,7.053999999999995
01089,01,East South Central,48.58,51.198,47009,division,0.052488545208476456,27.023466447097565,15.678346810422283,13.128,8.027000000000001
13097,13,South Atlantic,46.274,49.375,13223,state,0.06486397493579554,58.90781000129663,58.47493670886077,27.259,28.872
13097,13,South Atlantic,46.274,42.83,13153,state,0.0773414566582109,58.90781000129663,29.633434508522072,27.259,12.692
13097,13,South Atlantic,46.274,39.382,13073,state,0.1612713891625117,58.90781000129663,44.202935351175675,27.259,17.408
13121,13,South Atlantic,529.029,437.406,12103,division,0.1901814252018852,33.94615418058369,43.204711412280574,179.58500000000004,188.97999999999996
13121,13,South Atlantic,529.029,379.032,37081,division,0.33342261653573146,33.94615418058369,12.015344350872748,179.58500000000004,45.54200000000003
13121,13,South Atlantic,529.029,863.057,51013,division,0.48943748679815524,33.94615418058369,18.42983719499407,179.58500000000004,159.05999999999995
13217,13,South Atlantic,33.011,33.347,13095,state,0.010126974036347658,53.7517797097937,27.975530032686603,17.744,9.329
13217,13,South Atlantic,33.011,31.725,13297,state,0.039735825656149526,53.7517797097937,32.737588652482266,17.744,10.385999999999996
13217,13,South Atlantic,33.011,30.986,13185,state,0.0633053496825009,53.7517797097937,43.048473504163184,17.744,13.339000000000002
16001,16,Mountain,110.576,111.542,08123,division,0.008698134238776412,26.943459701924468,116.08362769181116,29.793000000000006,129.482
16001,16,Mountain,110.576,105.655,08069,division,0.04552399833014764,26.943459701924468,43.16691117315792,29.793000000000006,45.608000000000004
16001,16,Mountain,110.576,101.821,08033,division,0.08248669766988481,26.943459701924468,-96.55866667976154,29.793000000000006,-98.317
18141,18,East North Central,56.749,55.189,18095,state,0.027874376998125783,12.62577314137694,-53.45992860896194,7.164999999999999,-29.504
18141,18,East North Central,56.749,60.702,18163,state,0.0673386113909249,12.62577314137694,244.64432802873057,7.164999999999999,148.504
18141,18,East North Central,56.749,48.488,18099,state,0.1573216904118997,12.62577314137694,-79.60526315789474,7.164999999999999,-38.599000000000004
19049,19,West North Central,26.538,26.601,19169,state,0.0023711409517348514,11.557012585726124,29.931205593774692,3.067,7.962000000000003
19049,19,West North Central,26.538,30.811,19061,state,0.14929410096209716,11.557012585726124,19.853299146408744,3.067,6.116999999999997
19049,19,West North Central,26.538,31.303,19193,state,0.16513627148423415,11.557012585726124,22.310960610804067,3.067,6.983999999999998
19153,19,West North Central,209.763,128.863,27003,division,0.48722849745287444,28.116016647359167,16.525302064983727,58.977000000000004,21.294999999999987
19153,19,West North Central,209.763,128.012,27137,division,0.49385431244725186,28.116016647359167,11.237227759897506,58.977000000000004,14.384999999999991
19155,19,West North Central,42.48,31.303,19193,state,0.3053194373352044,18.40630885122412,22.310960610804067,7.819000000000003,6.983999999999998
19155,19,West North Central,42.48,30.811,19061,state,0.3211616078573414,18.40630885122412,19.853299146408744,7.819000000000003,6.116999999999997
19155,19,West North Central,42.48,26.601,19169,state,0.4680845678677037,18.40630885122412,29.931205593774692,7.819000000000003,7.962000000000003
