treated_fips,treated_state,pt_2017_treated,control_fips,pt_2017_control,ratio,band_status,control_post_covered,treated_post_covered
01071,01,5.685,01113,5.607,0.9862796833773088,OK,False,True
01071,01,5.685,01061,5.423,0.9539138082673704,OK,False,True
01071,01,5.685,01009,5.974,1.050835532102023,OK,False,True
01075,01,1.903,01065,1.948,1.0236468733578559,OK,False,False
01075,01,1.903,01023,1.855,0.9747766684182869,OK,False,False
01075,01,1.903,01079,1.844,0.9689963215974777,OK,False,False
01089,01,48.58,01003,34.59,0.712021407986826,OK,False,True
01089,01,48.58,01125,29.542,0.6081103334705641,OK,False,True
01089,01,48.58,01117,26.943,0.5546109510086455,OK,False,True
04013,04,592.884,04021,94.984,0.16020671834625322,FALLBACK,False,True
04013,04,592.884,04025,54.756,0.09235533426437549,FALLBACK,True,True
04013,04,592.884,04015,51.604,0.0870389485970274,FALLBACK,False,True
08085,08,13.645,08083,13.343,0.977867350677904,OK,False,False
08085,08,13.645,08087,16.627,1.2185415903261267,OK,False,False
08085,08,13.645,08081,10.566,0.7743495786002199,OK,False,False
13075,13,4.452,13319,4.405,0.9894429469901168,OK,True,True
13075,13,4.452,13271,4.393,0.9867475292003594,OK,True,True
13075,13,4.452,13099,4.38,0.9838274932614555,OK,True,True
13097,13,46.274,13223,49.375,1.0670138738816615,OK,False,True
13097,13,46.274,13073,39.382,0.8510610710117992,OK,True,True
13097,13,46.274,13127,35.503,0.7672343000388987,OK,False,True
13121,13,529.029,13051,150.442,0.2843738244973338,FALLBACK,False,True
13121,13,529.029,13117,88.871,0.1679889004194477,FALLBACK,False,True
13121,13,529.029,13151,82.228,0.15543193284300102,FALLBACK,False,True
13145,13,8.548,13291,8.569,1.0024567150210577,OK,True,False
13145,13,8.548,13257,8.516,0.9962564342536265,OK,True,False
13145,13,8.548,13225,8.872,1.0379036031820308,OK,True,False
13157,13,27.623,13255,26.436,0.9570285631538935,OK,True,True
13157,13,27.623,13033,25.042,0.9065633711037904,OK,False,True
13157,13,27.623,13103,23.625,0.8552655395865764,OK,False,True
13217,13,33.011,13095,33.347,1.0101784253733603,OK,True,True
13217,13,33.011,13127,35.503,1.0754899881857563,OK,False,True
13217,13,33.011,13073,39.382,1.1929962739692828,OK,True,True
13285,13,23.007,13031,23.376,1.0160385969487546,OK,False,True
13285,13,23.007,13013,22.493,0.977658973355935,OK,False,True
13285,13,23.007,13103,23.625,1.0268613900117356,OK,False,True
13303,13,8.641,13291,8.569,0.9916676310612199,OK,True,True
13303,13,8.641,13257,8.516,0.9855340817035065,OK,True,True
13303,13,8.641,13225,8.872,1.02673301701192,OK,True,True
13313,13,26.43,13255,26.436,1.000227014755959,OK,True,True
13313,13,26.43,13033,25.042,0.9474839197881196,OK,False,True
13313,13,26.43,13103,23.625,0.8938706015891033,OK,False,True
13317,13,4.434,13319,4.405,0.9934596301308074,OK,True,True
13317,13,4.434,13271,4.393,0.9907532701849345,OK,True,True
13317,13,4.434,13099,4.38,0.9878213802435724,OK,True,True
16001,16,110.576,16055,47.684,0.4312328172478657,FALLBACK,False,True
16001,16,110.576,16027,40.048,0.3621762407755752,FALLBACK,True,True
16001,16,110.576,16017,26.752,0.24193315005064392,FALLBACK,True,True
17037,17,24.072,17099,24.08,1.0003323363243601,OK,False,True
17037,17,24.072,17115,20.896,0.8680624792289798,OK,True,True
17037,17,24.072,17091,19.938,0.8282652043868395,OK,False,True
18127,18,38.235,18159,35.167,0.9197593827644829,OK,False,True
18127,18,38.235,18157,32.11,0.8398064600496927,OK,True,True
18127,18,38.235,18167,31.091,0.8131554858114294,OK,True,True
18141,18,56.749,18095,55.189,0.9725105288198911,OK,True,True
18141,18,56.749,18163,60.702,1.0696576151121604,OK,True,True
18141,18,56.749,18099,48.488,0.8544291529366156,OK,False,True
18153,18,22.975,18175,22.619,0.9845048966267681,OK,False,True
18153,18,22.975,18035,22.579,0.9827638737758433,OK,True,True
18153,18,22.975,18073,23.617,1.027943416757345,OK,False,True
19049,19,26.538,19169,26.601,1.0023739543296404,OK,True,True
19049,19,26.538,19061,30.811,1.161014394453237,OK,True,True
19049,19,26.538,19139,16.316,0.6148164895621373,OK,True,True
19075,19,5.506,19035,5.489,0.9969124591354885,OK,True,True
19075,19,5.506,19107,5.754,1.0450417726116963,OK,True,True
19075,19,5.506,19039,5.268,0.9567744278968398,OK,True,True
19083,19,7.603,19069,7.565,0.9950019729054321,OK,True,True
19083,19,7.603,19085,7.66,1.007497040641852,OK,True,True
19083,19,7.603,19041,7.665,1.0081546757858741,OK,True,True
19153,19,209.763,19061,30.811,0.14688481762751296,FALLBACK,True,True
19153,19,209.763,19169,26.601,0.12681454784685572,FALLBACK,True,True
19153,19,209.763,19139,16.316,0.07778302179125965,FALLBACK,True,True
19155,19,42.48,19061,30.811,0.7253060263653485,FALLBACK,True,True
19155,19,42.48,19169,26.601,0.6262005649717515,FALLBACK,True,True
19155,19,42.48,19139,16.316,0.38408662900188323,FALLBACK,True,True
19181,19,13.175,19099,13.404,1.017381404174573,OK,True,True
19181,19,13.175,19187,12.931,0.9814800759013281,OK,True,True
19181,19,13.175,19125,12.837,0.9743453510436432,OK,True,True
21035,21,2.965,21155,2.97,1.0016863406408096,OK,False,False
21035,21,2.965,21113,2.972,1.0023608768971333,OK,False,False
21035,21,2.965,21163,3.133,1.0566610455311973,OK,False,False
21109,21,0.291,21053,0.327,1.1237113402061858,OK,False,True
21109,21,0.291,21223,0.346,1.1890034364261168,OK,False,True
21109,21,0.291,21171,0.355,1.2199312714776633,OK,False,True
21127,21,0.966,21137,0.97,1.0041407867494825,OK,False,False
21127,21,0.966,21069,1.007,1.0424430641821945,OK,False,False
21127,21,0.966,21097,1.007,1.0424430641821945,OK,False,False
21145,21,4.322,21107,4.335,1.0030078667283664,OK,False,False
21145,21,4.322,21179,4.205,0.9729291994447016,OK,False,False
