cusip6,county_fips,group
775705,27169,control
77570P,27169,control
279785,25007,control
573205,21159,control
36422Y,48167,placebo_metro
885471,06111,control
885475,06111,control
885487,06111,control
885492,06111,control
067887,27027,control
067888,27027,control
067894,27027,control
068018,27027,control
640345,21179,control
249541,36029,placebo_metro
454354,36045,control
640082,55139,control
640083,55139,control
640089,55139,control
103767,21023,control
574463,39159,treated
574485,39159,treated
574486,39159,treated
57448P,39159,treated
399676,39049,treated
399677,39049,treated
003508,42069,control
451758,36043,control
483206,26077,control
483278,26077,control
669062,19181,treated
808281,36097,control
520394,34011,control
530390,34011,control
426668,47079,control
426677,47079,control
006612,36101,control
084375,34029,control
289587,36015,control
289605,36015,control
164243,13057,control
529386,29107,control
529390,29107,control
529424,29107,control
275791,53017,treated
306117,36013,control
005158,16001,treated
273573,42081,control
780869,48397,control
116583,48049,control
463776,48113,placebo_metro
463777,48113,placebo_metro
463805,48113,placebo_metro
463830,48113,placebo_metro
735348,12111,control
735351,12111,control
735352,12111,control
73535E,12111,control
966884,20203,control
736151,35041,control
736152,35041,control
382505,04013,treated
382509,04013,treated
38250Y,04013,treated
382510,04013,treated
282321,55029,control
282322,55029,control
068689,55005,control
282138,17049,control
269850,55125,control
492350,48265,control
917390,49049,treated
917392,49049,treated
917393,49049,treated
917396,49049,treated
253171,20041,control
253180,20041,control
40377E,08037,control
40377V,08037,control
40377Y,08037,control
363262,17085,control
731301,31143,control
670216,31129,control
919563,31175,control
183486,29047,treated
300821,29047,treated
567527,04013,treated
021289,19021,control
562468,34029,control
562470,34029,control
662871,36063,treated
520120,20045,control
520121,20045,control
520129,20045,control
520130,20045,control
621502,37071,control
043033,35015,control
043053,35015,control
043059,35015,control
04310L,35015,control
932610,36111,control
733488,48245,control
238696,21059,control
238717,21059,control
238718,21059,control
238719,21059,control
405288,34005,control
697576,17031,placebo_metro
697578,17031,placebo_metro
478880,47091,control
003446,48441,treated
00344N,48441,treated
943861,19017,control
943870,19017,control
915442,42001,control
521768,48167,placebo_metro
521769,48167,placebo_metro
521772,48167,placebo_metro
521774,48167,placebo_metro
578686,55027,control
863302,39133,control
86640E,20191,control
86640N,20191,control
86640Q,20191,control
706427,36037,control
249343,19017,control
206399,33013,control
206400,33013,control
184062,34015,control
735864,42021,control
827589,36013,control
267597,47045,control
267600,47045,control
267669,47045,control
818200,47155,control
818203,47155,control
193630,48083,control
42103P,48209,control
193265,29051,control
533256,29113,control
916676,39109,control
91667R,39109,control
618386,27097,control
618392,27097,control
188612,34019,control
432056,39071,control
432084,39071,control
432085,39071,control
432088,39071,control
180846,32003,treated
180847,32003,treated
180848,32003,treated
180850,32003,treated
54466H,06037,placebo_metro
544712,06037,placebo_metro
54471P,06037,placebo_metro
54471R,06037,placebo_metro
377136,34015,control
006614,36101,control
182486,47125,treated
182494,47125,treated
182497,47125,treated
182618,47125,treated
567134,04013,treated
346912,48157,control
862556,33017,control
570833,34011,control
731367,41053,control
544644,06037,placebo_metro
544646,06037,placebo_metro
544647,06037,placebo_metro
544648,06037,placebo_metro
12354N,17031,placebo_metro
167483,17031,placebo_metro
167484,17031,placebo_metro
167485,17031,placebo_metro
537095,48121,placebo_metro
537098,48121,placebo_metro
537099,48121,placebo_metro
528827,48121,placebo_metro
528828,48121,placebo_metro
52882P,48121,placebo_metro
407594,26005,control
949306,08123,control
248379,48181,control
248469,48181,control
346910,48157,control
549186,48303,control
549187,48303,control
549188,48303,control
549203,48303,control
234685,48113,placebo_metro
234686,48113,placebo_metro
487573,31101,control
093032,29051,control
146523,29097,control
146528,29097,control
585123,27093,control
585128,27093,control
462398,55049,control
868885,37171,control
974603,55139,control
347820,19111,control
347852,19111,control
347892,19111,control
144848,21041,control
966204,55127,control
966208,55127,control
966221,55127,control
966238,55127,control
866407,47165,treated
476705,42081,control
011464,35035,control
51769L,35047,control
51778F,35047,control
517791,35047,control
106617,21027,control
214489,17031,placebo_metro
274497,13121,treated
969768,17199,control
312675,05143,control
780767,36063,treated
489278,23031,control
250091,19153,treated
250092,19153,treated
250093,19153,treated
250098,19153,treated
782434,21207,control
782446,21207,control
499731,47093,placebo_metro
499736,47093,placebo_metro
499746,47093,placebo_metro
499764,47093,placebo_metro
613664,47125,treated
61366A,47125,treated
181234,53011,control
725463,25003,control
725472,25003,control
090473,36007,control
570816,36111,control
100035,39045,treated
719771,39045,treated
862182,19021,control
862193,19021,control
862196,19021,control
862211,19021,control
843070,42061,control
806466,36093,control
