geoid,state,county_name,recovery_type,covered_any_year,covered_2period,covered_n_years,covered_balanced9
01001,AL,Autauga County,county_gp,True,False,5,False
01005,AL,Barbour County,county_gp,True,False,3,False
01007,AL,Bibb County,county_gp,True,False,2,False
01021,AL,Chilton County,county_gp,True,False,4,False
01025,AL,Clarke County,county_gp,True,False,1,False
01027,AL,,county_gp,True,False,2,False
01029,AL,Cleburne County,county_gp,True,False,3,False
01031,AL,COFFEE,county_gp,True,False,6,False
01043,AL,,county_gp,True,True,9,True
01045,AL,,county_gp,True,False,1,False
01051,AL,Elmore County,county_gp,True,False,3,False
01053,AL,Escambia County,county_gp,True,False,2,False
01057,AL,Fayette County,county_gp,True,False,3,False
01061,AL,Geneva County,county_gp,True,False,1,False
01067,AL,Henry County,county_gp,True,False,1,False
01071,AL,Jackson County,county_gp,True,False,6,False
01077,AL,Lauderdale County,county_gp,True,False,5,False
01083,AL,Limestone County,county_gp,True,True,7,False
01087,AL,Macon County,county_gp,True,False,4,False
01089,AL,Madison County,county_gp,True,False,4,False
01091,AL,Marengo County,county_gp,True,False,1,False
01093,AL,MARION,county_gp,True,False,1,False
01097,AL,Mobile County,county_gp,True,True,9,True
01099,AL,Monroe County,county_gp,True,False,3,False
01109,AL,Pike County,county_gp,True,False,4,False
01113,AL,Russell County,county_gp,True,False,2,False
01115,AL,St. Clair County,county_gp,True,False,5,False
01123,AL,TALLAPOOSA,county_gp,True,False,2,False
01127,AL,Walker County,county_gp,True,False,3,False
01129,AL,Washington County,county_gp,True,True,9,True
01133,AL,Winston County,county_gp,True,False,3,False
02013,AK,Anchorage Municipality,county_equiv_municipality,True,False,8,False
02016,AK,,county_equiv_municipality,True,True,9,True
02020,AK,,county_equiv_municipality,True,False,2,False
02050,AK,,county_equiv_municipality,True,True,9,True
02060,AK,,county_equiv_municipality,True,False,8,False
02063,AK,Chugach Census Area,county_equiv_municipality,True,True,9,True
02068,AK,,county_equiv_municipality,True,False,2,False
02070,AK,,county_equiv_municipality,True,False,6,False
02090,AK,Fairbanks North Star Borough,county_equiv_municipality,True,True,9,True
02100,AK,,county_equiv_municipality,True,False,8,False
02105,AK,,county_equiv_municipality,True,False,6,False
02110,AK,Juneau City and Borough,county_equiv_municipality,True,True,8,False
02122,AK,Kenai Peninsula Borough,county_equiv_municipality,True,True,9,True
02130,AK,KETCHIKAN-GATEWAY BOROUGH,county_equiv_municipality,True,True,8,False
02150,AK,,county_equiv_municipality,True,True,9,True
02158,AK,Kusilvak Census Area,county_equiv_municipality,True,False,6,False
02164,AK,,county_equiv_municipality,True,False,5,False
02170,AK,,county_equiv_municipality,True,True,9,True
02180,AK,Nome Census Area,county_equiv_municipality,True,True,8,False
