geoid,state,county_name,municipality_name,covered_any_year,covered_2period_FY17_FY24,covered_n_years,covered_balanced9,covered_gf_any_year,covered_gf_2period_FY17_FY24,covered_gf_n_years,fiscal_year_max
01003,AL,Baldwin County,Baldwin County Commission,True,False,2,False,True,False,1,2017
01005,AL,Barbour County,Barbour County Commission,True,False,6,False,True,False,6,2024
01007,AL,Bibb County,Bibb County Commission,True,False,3,False,True,False,3,2020
01009,AL,Blount County,Blount County Commission,True,False,7,False,True,False,7,2024
01015,AL,,Calhoun County Commission,True,False,6,False,True,False,6,2024
01019,AL,Cherokee County,Cherokee County Commission,True,False,5,False,True,False,4,2024
01021,AL,Chilton County,Chilton County Commission,True,False,6,False,True,False,6,2024
01025,AL,Clarke County,Clarke County Commission,True,False,6,False,True,False,6,2024
01027,AL,Clay County,Clay County Commission,True,False,3,False,True,False,3,2020
01029,AL,Cleburne County,Cleburne County Commission,True,False,4,False,True,False,4,2023
01033,AL,Colbert County,Colbert County Commission,True,False,6,False,True,False,6,2024
01041,AL,,Crenshaw County Commission,True,True,7,False,True,True,7,2024
01043,AL,,Cullman County Commission on Education,True,True,8,False,True,True,8,2024
01045,AL,Dale County,Dale County Commission,True,False,7,False,True,False,7,2024
01047,AL,Dallas County,DALLAS COUNTY COMMISSION,True,False,6,False,True,False,6,2022
01053,AL,Escambia County,Escambia County Commission,True,False,3,False,True,False,3,2023
01055,AL,Etowah County,Etowah County Commission,True,False,7,False,True,False,6,2024
01057,AL,Fayette County,Fayette County Commission,True,False,8,False,True,False,8,2024
01059,AL,Franklin County,Franklin County Commission,True,False,6,False,True,False,6,2022
01061,AL,GENEVA,GENEVA COUNTY COMMISSION,True,False,4,False,True,False,4,2022
01067,AL,,Henry County Commission,True,False,5,False,True,False,5,2024
01071,AL,Jackson County,Jackson County Commission,True,False,7,False,True,False,7,2023
01081,AL,Lee County,Lee County Commission,True,False,5,False,True,False,5,2023
01087,AL,Macon County,Macon County Commission,True,False,5,False,True,False,5,2020
01089,AL,Madison County,Madison County Commission,True,False,5,False,True,False,5,2023
01091,AL,Marengo County,Marengo County Commission,True,False,4,False,True,False,4,2023
01093,AL,MARION,MARION COUNTY COMMISSION,True,False,2,False,True,False,2,2019
01097,AL,Mobile County,Mobile County Commission,True,True,4,False,True,True,4,2024
01099,AL,Monroe County,Monroe County Commission,True,False,4,False,True,False,4,2022
01101,AL,Montgomery County,Montgomery County Commission,True,True,6,False,True,True,6,2024
01103,AL,Morgan County,Morgan County Commission,True,False,6,False,True,False,6,2024
01109,AL,Pike County,Pike County Commission,True,True,5,False,True,True,5,2024
01113,AL,Russell County,Russell County Commission,True,False,6,False,True,False,6,2022
01115,AL,St. Clair County,St. Clair County Commission,True,True,7,False,True,True,7,2024
01117,AL,Shelby County,Shelby County Commission,True,True,8,False,True,True,8,2024
01121,AL,Talladega County,Talladega County Commission,True,False,5,False,True,False,5,2024
01123,AL,Tallapoosa County,Tallapoosa County Commission,True,False,5,False,True,False,5,2024
01125,AL,Tuscaloosa County,Tuscaloosa County Commission,True,False,5,False,True,False,5,2023
