county_fips,county_name,state,property_tax_excess,capital_outlay_baseline_M,capital_outlay_latest_M,capital_outlay_year,capital_outlay_cagr,capital_outlay_excess,lt_debt_outstanding_excess,property_tax_baseline_M,property_tax_latest_M,property_tax_year,property_tax_cagr,lt_debt_outstanding_baseline_M,lt_debt_outstanding_latest_M,lt_debt_outstanding_year,lt_debt_outstanding_cagr
13075,Cook County,GA,,1.3479999999999999,2.935744,2023.0,0.1385131425157169,0.0878131425157169,,,,,,,,,
13303,Washington County,GA,,,,,,,,,,,,,,,
13317,Wilkes County,GA,-0.016534599667159283,,,,,,0.10760031066499173,4.434,5.005336,2024.0,0.01746540033284072,0.57,1.3,2024.0,0.12500031066499173
21127,Lawrence County,KY,,,,,,,-0.05655653277170772,,,,,13.505,11.060068,2022.0,-0.03915653277170772
21157,Marshall County,KY,,,,,,,-0.4826751826021415,,,,,403.17,9.424759,2023.0,-0.4652751826021415
32029,Storey County,NV,0.07241254689552792,0.037,1.0655,2023.0,0.7507546492901429,0.7000546492901429,-0.3637434551393324,12.412,22.769019,2023.0,0.10641254689552793,1.807,0.140947,2023.0,-0.3463434551393324
35061,Valencia County,NM,,,,,,,,,,,,,,,
37039,Cherokee County,NC,0.013990974648696614,1.046,2.56049,2022.0,0.19607463347981935,0.14537463347981935,,17.213,21.759268,2022.0,0.047990974648696616,,,,
37069,Franklin County,NC,0.18563460297127457,0.927,5.662674,2024.0,0.29502276744151823,0.24432276744151823,0.45280500044750716,16.713,67.090739,2024.0,0.21963460297127457,8.347,123.929781,2024.0,0.4702050004475071
38021,Dickey County,ND,-0.05100276701724302,,,,,,-0.22355490998523078,3.816,3.442882,2023.0,-0.017002767017243015,0.75,0.187705,2023.0,-0.20615490998523078
40097,Mayes County,OK,,,,,,,,,,,,,,,
41013,Crook County,OR,0.04815166998819767,0.026,0.183528,2025.0,0.2767066573112906,0.22600665731129063,0.8234589097978381,7.874,14.808139,2025.0,0.08215166998819767,0.391,51.56331,2025.0,0.8408589097978381
41049,Morrow County,OR,0.0612449722027171,0.199,1.486503,2025.0,0.2857723707164952,0.2350723707164952,0.11409884487091024,7.554,15.641094,2025.0,0.0952449722027171,2.391,6.424103,2025.0,0.13149884487091024
41059,Umatilla County,OR,0.03407131343520933,,,,,,-0.14777310795446133,15.0,25.403483,2025.0,0.06807131343520934,12.061,3.945,2025.0,-0.13037310795446133
48045,Briscoe County,TX,0.08353064380820333,,,,,,,1.682,3.661357,2024.0,0.11753064380820333,,,,
48103,Crane County,TX,-0.19905143303637082,,,,,,,9.016,2.550539,2024.0,-0.16505143303637082,,,,
48125,Dickens County,TX,-0.030614115137072212,,,,,,,2.047,2.08189,2022.0,0.0033858848629277905,,,,
48173,Glasscock County,TX,0.3876213139828997,,,,,,,0.312,3.661357,2024.0,0.4216213139828997,,,,
48371,Pecos County,TX,-0.3600755686469864,,,,,,,19.866,2.761636,2022.0,-0.3260755686469864,,,,
48475,Ward County,TX,-0.2379234221305467,,,,,,,18.07,3.661357,2024.0,-0.2039234221305467,,,,
51117,Mecklenburg County,VA,-0.19047794776257007,0.08099999999999999,6.913176,2023.0,1.0982896210495556,1.0475896210495557,0.18366436563062702,29.706,10.700962,2023.0,-0.15647794776257007,6.557,19.683525,2023.0,0.20106436563062702
53025,Grant County,WA,,,,,,,,,,,,,,,
53051,Pend Oreille County,WA,,,,,,,,,,,,,,,
