fips,treated,census17M,acfr,acfr_fy,acfr_qc,v2,v2_fy,v2_qc
01003,0,34.59,,,none,,,none
01009,0,5.97,,,none,,,none
01023,0,1.85,,,none,,,none
01061,0,5.42,,,none,,,none
01065,0,1.95,,,none,,,none
01071,1,5.68,6622969.0,2022.0,ok,,,none
01075,1,1.9,,,none,,,none
01079,0,1.84,,,none,,,none
01089,1,48.58,94586462.0,2024.0,ok,,,none
01113,0,5.61,,,none,,,none
01117,0,26.94,,,none,,,none
01125,0,29.54,,,none,,,none
04013,1,592.88,759909013.0,2023.0,ok,,,none
04015,0,51.6,,,none,,,none
04021,0,94.98,,,none,,,none
04025,0,54.76,,,none,73187972.0,2024.0,ok
08081,0,10.57,,,none,,,none
08083,0,13.34,,,none,,,none
08085,1,13.64,,,none,,,none
08087,0,16.63,,,none,,,none
13013,0,22.49,,,none,,,none
13031,0,23.38,,,none,,,none
13033,0,25.04,,,none,,,none
13051,0,150.44,,,none,,,none
13073,0,39.38,,,none,84650401.0,2025.0,ok
13075,1,4.45,13642438.0,2023.0,ok,,,none
13095,0,33.35,,,none,45778263.0,2023.0,ok
13097,1,46.27,112526722.0,2023.0,ok,,,none
13099,0,4.38,6204070.0,2024.0,ok,,,none
13103,0,23.62,,,none,,,none
13117,0,88.87,,,none,,,none
13121,1,529.03,697487.0,2023.0,div1000_low,,,none
13127,0,35.5,,,none,,,none
13145,1,8.55,,,none,,,none
13151,0,82.23,,,none,,,none
13157,1,27.62,,,none,,,none
13217,1,33.01,52629600.0,2023.0,ok,,,none
13223,0,49.38,,,none,,,none
13225,0,8.87,13773859.0,2024.0,ok,,,none
13255,0,26.44,,,none,49393327.0,2026.0,ok
13257,0,8.52,,,none,13693918.0,2025.0,ok
13271,0,4.39,,,none,5492888.0,2023.0,ok
13285,1,23.01,,,none,41350925.0,2024.0,ok
13291,0,8.57,14072399.0,2023.0,ok,,,none
13303,1,8.64,,,none,15555556.0,2018.0,INCONSISTENT
13313,1,26.43,30871106.0,2022.0,ok,,,none
13317,1,4.43,,,none,5124781.0,2025.0,ok
13319,0,4.41,4799935.0,2022.0,ok,,,none
16001,1,110.58,151402592.0,2023.0,ok,,,none
16017,0,26.75,,,none,37312775.0,2024.0,ok
16027,0,40.05,,,none,60944281.0,2025.0,ok
16055,0,47.68,,,none,,,none
17037,1,24.07,27014521.0,2024.0,ok,,,none
17091,0,19.94,,,none,,,none
17099,0,24.08,,,none,,,none
17115,0,20.9,,,none,21083863.0,2024.0,ok
18035,0,22.58,,,none,30238667.0,2024.0,ok
18073,0,23.62,,,none,,,none
18095,0,55.19,,,none,26306497.0,2023.0,INCONSISTENT
18099,0,48.49,,,none,,,none
18127,1,38.23,,,none,51024178.0,2024.0,ok
18141,1,56.75,68408702.0,2023.0,ok,,,none
18153,1,22.98,7592123.0,2022.0,INCONSISTENT,,,none
18157,0,32.11,,,none,54149405.0,2024.0,ok
18159,0,35.17,,,none,,,none
18163,0,60.7,,,none,79194904.0,2024.0,ok
18167,0,31.09,,,none,29785210.0,2022.0,ok
18175,0,22.62,,,none,,,none
19035,0,5.49,,,none,8531539.0,2025.0,ok
19039,0,5.27,,,none,4878532.0,2023.0,ok
19041,0,7.67,,,none,8604277.0,2023.0,ok
19049,1,26.54,,,none,34131102.0,2025.0,ok
19061,0,30.81,,,none,43046044.0,2025.0,ok
19069,0,7.57,,,none,9919037.0,2025.0,ok
19075,1,5.51,,,none,8914492.0,2025.0,ok
19083,1,7.6,,,none,10033913.0,2024.0,ok
19085,0,7.66,,,none,9722736.0,2023.0,ok
19099,0,13.4,,,none,14050570.0,2018.0,ok
19107,0,5.75,,,none,6347576.0,2023.0,ok
19125,0,12.84,,,none,14088141.0,2024.0,ok
19139,0,16.32,,,none,18673430.0,2025.0,ok
19153,1,209.76,,,none,225984350.0,2025.0,ok
19155,1,42.48,,,none,44958746.0,2018.0,ok
19169,0,26.6,,,none,23694457.0,2018.0,INCONSISTENT
19181,1,13.18,,,none,18479891.0,2024.0,ok
19187,0,12.93,,,none,17710252.0,2024.0,ok
21019,0,4.55,,,none,11642918.0,2025.0,ok
21035,1,2.96,,,none,,,none
21037,0,10.19,,,none,,,none
21053,0,0.33,,,none,,,none
21059,0,9.79,,,none,,,none
21069,0,1.01,,,none,,,none
21085,0,0.89,,,none,,,none
21089,0,4.47,,,none,,,none
21093,0,7.47,,,none,,,none
21097,0,1.01,,,none,,,none
21107,0,4.33,,,none,,,none
21109,1,0.29,,,none,,,none
21113,0,2.97,,,none,,,none
21115,0,0.89,,,none,,,none
21127,1,0.97,,,none,,,none
21137,0,0.97,,,none,,,none
21145,1,4.32,,,none,,,none
21155,0,2.97,,,none,,,none
21157,1,4.42,3256190.0,2023.0,ok,,,none
21163,0,3.13,,,none,,,none
21171,0,0.35,,,none,,,none
21179,0,4.21,,,none,,,none
21195,1,8.66,,,none,,,none
21205,0,0.89,,,none,,,none
21223,0,0.35,,,none,,,none
21225,1,0.88,,,none,,,none
26009,0,13.16,,,none,,,none
26027,1,13.72,,,none,,,none
26087,0,13.72,,,none,,,none
26105,0,13.59,,,none,123500276.0,2021.0,INCONSISTENT
28033,0,61.75,,,none,,,none
28035,0,30.12,,,none,36655489.0,2023.0,ok
28047,0,58.1,,,none,73942229.0,2022.0,ok
28089,1,46.2,,,none,,,none
29031,0,9.66,,,none,,,none
29047,1,8.92,5583527.0,2023.0,ok,,,none
29099,0,10.53,,,none,24484734.0,2024.0,ok
29215,0,8.97,,,none,28361833.0,2024.0,ok
30003,1,9.91,,,none,,,none
30035,0,9.62,,,none,,,none
30041,0,9.8,,,none,,,none
30087,0,8.9,,,none,,,none
31019,1,15.47,,,none,27104201.0,2025.0,ok
31023,0,3.7,,,none,,,none
31025,0,14.18,,,none,,,none
31081,1,3.65,,,none,,,none
31111,0,13.7,,,none,16748195.0,2023.0,ok
31127,0,3.67,,,none,,,none
31139,0,3.67,,,none,,,none
31153,1,39.0,67330539.0,2024.0,ok,,,none
31169,0,18.91,,,none,,,none
32003,1,660.79,,,none,,,none
32005,0,36.09,,,none,,,none
32007,0,15.78,,,none,31232197.0,2024.0,ok
32011,0,11.63,,,none,,,none
32013,0,14.5,10938070.0,2023.0,ok,,,none
32015,0,31.02,,,none,,,none
32023,0,22.91,,,none,,,none
32029,1,12.41,,,none,,,none
32031,1,190.72,,,none,290680119.0,2024.0,ok
35027,0,11.06,,,none,2895627.0,2025.0,INCONSISTENT
35039,0,11.76,,,none,10355909.0,2025.0,ok
35055,0,11.77,,,none,15245056.0,2025.0,ok
35061,1,13.19,,,none,182604.0,2025.0,div1000_low
36007,0,74.92,,,none,76867626.0,2024.0,ok
36063,1,86.28,,,none,107575183.0,2024.0,ok
36075,0,50.77,,,none,16762156.0,2024.0,INCONSISTENT
36079,0,44.49,,,none,50765232.0,2024.0,ok
36089,1,48.81,,,none,51695161.0,2024.0,ok
36093,0,73.02,,,none,,,none
36109,0,44.27,,,none,52441691.0,2024.0,ok
36111,0,79.99,,,none,75445725.0,2024.0,ok
37009,0,17.49,,,none,24146709.0,2025.0,ok
37011,0,16.85,,,none,25557548.0,2025.0,ok
37019,0,119.82,,,none,182924569.0,2025.0,ok
37023,0,48.24,,,none,66626073.0,2024.0,ok
37027,1,46.11,,,none,62502918.0,2025.0,ok
