county_fips,cusip6,issuer
04013,567438,Maricopa Co (Deer Valley) USD #97
04013,567430,Maricopa Co (Queen Creek) USD #95
39045,093707,Fairfield Co (Bloom-Carroll) LSD
48355,771146,Nueces Co (Robstown) ISD
48355,128109,Nueces Co (Calallen) ISD
39063,221039,Hancock Co (Cory-Rawson) LSD
04013,567219,Maricopa Co (Gilbert) USD #41
04013,567227,Maricopa Co (Gilbert) USD #41
48221,385064,Hood Co (Granbury) ISD
39063,920763,Hancock Co (Van Buren) LSD
40101,628112,Muskogee Co ISD #20
48221,889154,Hood Co (Tolar) ISD
21145,695339,Paducah ISD Finance Corp
48349,762829,Navarro Co (Rice) ISD
48325,251777,Medina Co (Devine) ISD
48371,348856,Pecos Co (Fort Stockton) ISD
48139,293443,Ellis Co (Ennis) ISD
48173,377208,Glasscock Co ISD
48277,660389,Lamar Co (North Lamar) ISD
48103,224453,Crane Co (Crane) ISD
48067,048159,Cass Co (Atlanta) ISD
48139,944097,Ellis Co (Waxahachie) ISD
39089,531677,Licking Co (Licking Heights) LSD
39089,531680,Licking Co (Licking Heights) LSD
48221,536291,Hood Co (Lipan) ISD
48349,492062,Navarro Co (Kerens) ISD
48371,462650,Pecos Co (Iraan-Sheffield) ISD
48139,597851,Ellis Co (Midlothian) ISD
48331,133591,Milam Co (Cameron) ISD
39089,659443,Licking Co (North Fork) LSD
26027,260633,Cass Co (Dowagiac) USD
48355,899474,Nueces Co (Tuloso-Midway) ISD
48355,220147,Nueces Co (Corpus Christi) ISD
39049,407810,Franklin Co (Hamilton) LSD
48139,465434,Ellis Co (Italy) ISD
48003,034501,Andrews Co (Andrews) ISD
04013,567373,Maricopa Co (Paradise Valley) USD #69
40097,578060,Mayes Co (Pryor) ISD #1
04013,567088,Maricopa Co (Peoria) USD #11
04013,567090,Maricopa Co (Peoria) USD #11
04013,567389,Maricopa Co (Chandler) USD #80
04013,567390,Maricopa Co (Chandler) USD #80
48389,058759,Reeves Co (Balmorhea) ISD
48277,739720,Lamar Co (Prairiland) ISD
39063,290029,Hancock Co (Elmwood) LSD
39063,290038,Hancock Co (Elmwood) LSD
48355,955006,Nueces Co (West Oso) ISD
48125,852155,Dickens Co (Spur) ISD
39049,137087,Franklin Co (Canal Winchester) LSD
48139,05348H,Ellis Co (Avalon) ISD
39089,845063,Licking Co (SW Licking) LSD
39089,845065,Licking Co (SW Licking) LSD
21195,721343,Pikeville ISD Finance Corp
48441,003464,Taylor Co (Abilene) ISD
48355,066779,Nueces Co (Banquete) ISD
39049,64184P,Franklin Co (New Albany Plain) LSD
18127,736323,Porter Twp High School Bldg Corp
48075,168808,Childress Co (Childress) ISD
16001,097437,Ada Co (Boise City) ISD
40097,57806E,Mayes Co (Locust Grove) ISD #17
48349,220435,Navarro Co (Corsicana) ISD
48135,279263,Ector Co ISD
48139,756843,Ellis Co (Red Oak) ISD
04013,567313,Maricopa Co (Higley) USD #60
48139,578469,Ellis Co (Maypearl) ISD
39159,303549,Union Co (Fairbanks) LSD
48331,773097,Milam Co (Rockdale) ISD
04013,566897,Maricopa Co (Mesa) USD #4
48277,700008,Lamar Co (Paris) ISD
40101,628101,Muskogee (Fort Gibson) ISD #3
39111,611239,Monroe Co (Switzerland) LSD
39111,871089,Monroe Co (Switzerland) LSD
48355,733460,Nueces Co (Port Aransas) ISD
48355,343400,Nueces Co (Flour Bluff) ISD
48355,262068,Nueces Co (Driscoll) ISD
48355,542119,Nueces Co (London) ISD
48441,590077,Taylor Co (Merkel) ISD
48139,696888,Ellis Co (Palmer) ISD
40097,578062,Mayes Co ISD #32
04013,567445,Maricopa Co (Fountain Hills) USD#98
39049,399669,Franklin Co (Groveport Madison) LSD
39049,558090,Franklin Co (Groveport Madison) LSD
39045,719780,Fairfield Co (Pickerington) LSD
39045,71978A,Fairfield Co (Pickerington) LSD
04013,567423,Maricopa Co (Dysart) USD #89
48475,386568,Ward Co (Grandfalls-Royalty) ISD
48221,380334,Hood Co (Godley) ISD
04013,56643F,Maricopa Co (Cave Creek) USD #93
18141,604805,Mishawaka School Building Corp
18141,604829,Mishawaka School Building Corp
48349,599198,Navarro Co (Mildred) ISD
18127,274536,East Porter Co School Bldg Corp
18127,274542,East Porter Co School Bldg Corp
18127,274547,East Porter Co School Bldg Corp
39089,512642,Licking Co (Lakewood) LSD
39089,531694,Licking Co (Licking Vlly) LSD
48325,438164,Medina Co (Hondo) ISD
48461,753177,Upton Co (Rankin) ISD
48461,579372,Upton Co (McCamey) ISD
48067,748238,Cass Co (Queen City) ISD
48109,229843,Culberson Co (Allamoore) ISD
48045,828505,Briscoe Co (Silverton) ISD
39089,479880,Licking Co (Jonathan Alder) LSD
04013,567082,Maricopa Co (Wickenburg) USD #9
40101,628115,Muskogee Co (Hilldale) ISD #29
48349,359271,Navarro Co (Frost) ISD
48349,239451,Navarro Co (Dawson) ISD
