fips,name,state,dc_share_mid,census17_M,v2_post,v2_fy
21127,Lawrence County,KY,191.0,0.97,,
41049,Morrow County,OR,185.6,7.55,,
48125,Dickens County,TX,181.1,2.05,,
32029,Storey County,NV,176.0,12.41,,
48331,Milam County,TX,156.8,13.41,,
37069,Franklin County,NC,131.2,16.71,,
48275,Knox County,TX,114.8,1.35,,
41013,Crook County,OR,81.2,7.87,,
48103,Crane County,TX,73.8,9.02,,
48475,Ward County,TX,51.3,18.07,,
51117,Mecklenburg County,VA,48.7,29.71,,
48371,Pecos County,TX,47.2,19.87,,
41059,Umatilla County,OR,45.3,15.0,,
48173,Glasscock County,TX,37.6,0.31,,
13317,Wilkes County,GA,37.0,4.43,,
48045,Briscoe County,TX,36.7,1.68,,
37039,Cherokee County,NC,34.5,17.21,,
48075,Childress County,TX,26.5,2.28,,
38105,Williams County,ND,26.4,14.13,,
54047,McDowell County,WV,25.9,4.4,,
48349,Navarro County,TX,24.9,20.55,,
40101,Muskogee County,OK,23.5,6.91,,
41065,Wasco County,OR,22.7,11.85,,
39111,Monroe County,OH,21.0,2.67,,
46119,Sully County,SD,20.8,2.33,,
51107,Loudoun County,VA,20.5,1134.53,,
19155,Pottawattamie County,IA,17.4,42.48,,
48109,Culberson County,TX,17.3,3.27,,
37161,Rutherford County,NC,17.2,41.52,,
48221,Hood County,TX,16.8,22.77,,
21109,Jackson County,KY,14.8,0.29,,
56021,Laramie County,WY,14.2,27.28,,
37027,Caldwell County,NC,13.4,46.11,,
19181,Warren County,IA,10.4,13.18,,
30003,Big Horn County,MT,10.4,9.91,,
47173,Union County,TN,9.6,4.74,,
42121,Venango County,PA,9.2,11.5,,
21035,Calloway County,KY,8.5,2.96,,
19049,Dallas County,IA,8.0,26.54,,
47025,Claiborne County,TN,7.3,13.73,,
21225,Union County,KY,7.3,0.88,,
48325,Medina County,TX,6.7,14.04,,
47013,Campbell County,TN,6.2,13.59,,
48441,Taylor County,TX,6.1,39.31,,
31019,Buffalo County,NE,5.8,15.47,,
39063,Hancock County,OH,5.7,11.87,,
28089,Madison County,MS,5.2,46.2,,
47107,McMinn County,TN,5.0,10.99,,
21195,Pike County,KY,4.9,8.66,,
48067,Cass County,TX,4.6,9.04,,
47125,Montgomery County,TN,4.0,114.85,,
51087,Henrico County,VA,3.9,402.03,,
19153,Polk County,IA,3.8,209.76,,
48389,Reeves County,TX,3.8,14.63,,
36063,Niagara County,NY,3.8,86.28,,
51047,Culpeper County,VA,3.6,60.82,,
48355,Nueces County,TX,3.4,108.95,,
31081,Hamilton County,NE,3.2,3.65,,
37035,Catawba County,NC,2.9,102.45,,
48003,Andrews County,TX,2.9,25.71,,
51193,Westmoreland County,VA,2.8,17.09,,
41067,Washington County,OR,2.8,199.85,,
26027,Cass County,MI,2.8,13.72,,
47105,Loudon County,TN,2.7,27.84,,
21145,McCracken County,KY,2.7,4.32,,
32031,Washoe County,NV,2.2,190.72,,
13145,Harris County,GA,2.2,8.55,,
42079,Luzerne County,PA,2.1,117.0,,
49049,Utah County,UT,1.9,46.73,,
45087,Union County,SC,1.9,12.22,,
48461,Upton County,TX,1.8,0.85,,
19083,Hardin County,IA,1.7,7.6,,
55101,Racine County,WI,1.6,51.97,,
18127,Porter County,IN,1.5,38.23,,
19075,Grundy County,IA,1.5,5.51,,
48277,Lamar County,TX,1.5,11.81,,
36089,St. Lawrence County,NY,1.4,48.81,,
45083,Spartanburg County,SC,1.4,104.28,,
01075,Lamar County,AL,1.4,1.9,,
47113,Madison County,TN,1.3,48.48,,
08085,Montrose County,CO,1.3,13.64,,
51061,Fauquier County,VA,1.2,136.7,,
13157,Jackson County,GA,1.2,27.62,,
13285,Troup County,GA,1.1,23.01,,
49035,Salt Lake County,UT,1.0,302.27,,
32003,Clark County,NV,1.0,660.79,,
45091,York County,SC,1.0,97.44,,
