fips,name,state,share,census17_M,has_v2_or_acfr_post,risk
01075,Lamar County,AL,1.4,1.9,False,HIGH (sample-survey / bundling-prone South)
08085,Montrose County,CO,1.3,13.64,False,MEDIUM/LOW (mid-large county)
13145,Harris County,GA,2.2,8.55,False,HIGH (sample-survey / bundling-prone South)
13157,Jackson County,GA,1.2,27.62,False,HIGH (sample-survey / bundling-prone South)
13285,Troup County,GA,1.1,23.01,False,HIGH (sample-survey / bundling-prone South)
18127,Porter County,IN,1.5,38.23,False,MEDIUM/LOW (mid-large county)
19049,Dallas County,IA,8.0,26.54,False,MEDIUM/LOW (mid-large county)
19075,Grundy County,IA,1.5,5.51,False,MEDIUM/LOW (mid-large county)
19083,Hardin County,IA,1.7,7.6,False,MEDIUM/LOW (mid-large county)
19153,Polk County,IA,3.8,209.76,False,MEDIUM/LOW (mid-large county)
19155,Pottawattamie County,IA,17.4,42.48,False,MEDIUM/LOW (mid-large county)
19181,Warren County,IA,10.4,13.18,False,MEDIUM/LOW (mid-large county)
21035,Calloway County,KY,8.5,2.96,False,HIGH (sample-survey / bundling-prone South)
21109,Jackson County,KY,14.8,0.29,False,HIGH (sample-survey / bundling-prone South)
21127,Lawrence County,KY,191.0,0.97,False,HIGH (sample-survey / bundling-prone South)
21145,McCracken County,KY,2.7,4.32,False,HIGH (sample-survey / bundling-prone South)
21195,Pike County,KY,4.9,8.66,False,HIGH (sample-survey / bundling-prone South)
21225,Union County,KY,7.3,0.88,False,HIGH (sample-survey / bundling-prone South)
26027,Cass County,MI,2.8,13.72,False,MEDIUM/LOW (mid-large county)
28089,Madison County,MS,5.2,46.2,False,HIGH (sample-survey / bundling-prone South)
30003,Big Horn County,MT,10.4,9.91,False,MEDIUM/LOW (mid-large county)
31019,Buffalo County,NE,5.8,15.47,False,MEDIUM/LOW (mid-large county)
31081,Hamilton County,NE,3.2,3.65,False,HIGH (cash-basis/sample small plains)
32003,Clark County,NV,1.0,660.79,False,MEDIUM/LOW (mid-large county)
32031,Washoe County,NV,2.2,190.72,False,MEDIUM/LOW (mid-large county)
36063,Niagara County,NY,3.8,86.28,False,MEDIUM/LOW (mid-large county)
36089,St. Lawrence County,NY,1.4,48.81,False,MEDIUM/LOW (mid-large county)
37027,Caldwell County,NC,13.4,46.11,False,HIGH (sample-survey / bundling-prone South)
37035,Catawba County,NC,2.9,102.45,False,HIGH (sample-survey / bundling-prone South)
37161,Rutherford County,NC,17.2,41.52,False,HIGH (sample-survey / bundling-prone South)
