county_fips,first_oy,dom_oy,first50_oy,capwt_oy,cap50_oy,name,dc_class,first_op_year
01071,2019.0,2020.0,,2019.5,2019.0,Jackson County,clean_dc,2019.0
01075,2018.0,2018.0,,2018.0,2018.0,Lamar County,clean_dc,2018.0
01089,2021.0,2025.0,2023.0,2023.6,2024.0,Madison County,clean_dc,2021.0
04013,2001.0,2016.0,2016.0,2021.2,2023.0,Maricopa County,clean_dc,2001.0
08085,2022.0,2022.0,,2022.0,2022.0,Montrose County,crypto,2022.0
13075,2019.0,2019.0,2019.0,2019.0,2019.0,Cook County,crypto,2019.0
13097,2003.0,2016.0,2003.0,2015.7,2016.0,Douglas County,clean_dc,2003.0
13121,2001.0,2025.0,2006.0,2020.0,2024.0,Fulton County,mixed,2001.0
13145,2022.0,2022.0,,2022.0,2022.0,Harris County,crypto,2022.0
13157,2022.0,2022.0,,2022.0,2022.0,Jackson County,crypto,2022.0
13217,2021.0,2025.0,2021.0,2023.0,2022.0,Newton County,clean_dc,2021.0
13285,2022.0,2022.0,,2022.0,2022.0,Troup County,mixed,2022.0
13303,2022.0,2022.0,2022.0,2022.0,2022.0,Washington County,crypto,2022.0
13313,2018.0,2023.0,2018.0,2020.3,2018.0,Whitfield County,crypto,2018.0
13317,2022.0,2022.0,2022.0,2022.0,2022.0,Wilkes County,crypto,2022.0
16001,2000.0,2029.0,2024.0,2022.7,2024.0,Ada County,clean_dc,2000.0
17037,2024.0,2025.0,2024.0,2024.3,2024.0,DeKalb County,clean_dc,2024.0
18127,2024.0,2024.0,2024.0,2024.0,2024.0,Porter County,clean_dc,2024.0
18141,2003.0,2025.0,2024.0,2024.3,2024.0,St. Joseph County,clean_dc,2003.0
18153,2022.0,2022.0,2022.0,2022.0,2022.0,Sullivan County,crypto,2022.0
19049,2011.0,2025.0,,2020.7,2024.0,Dallas County,clean_dc,2011.0
19075,2017.0,2017.0,,2017.0,2017.0,Grundy County,crypto,2017.0
19083,2023.0,2024.0,,2024.0,2024.0,Hardin County,mixed,2023.0
19153,2013.0,2027.0,2016.0,2019.6,2019.0,Polk County,mixed,2013.0
19155,2009.0,2029.0,2015.0,2017.2,2015.0,Pottawattamie County,clean_dc,2009.0
19181,2023.0,2024.0,,2023.6,2024.0,Warren County,clean_dc,2023.0
21035,2021.0,2021.0,,2021.0,2021.0,Calloway County,mixed,2021.0
21109,2022.0,2022.0,,2022.0,2022.0,Jackson County,crypto,2022.0
21127,2024.0,2024.0,2024.0,2024.0,2024.0,Lawrence County,crypto,2024.0
21145,2021.0,2022.0,,2021.8,2022.0,McCracken County,crypto,2021.0
21157,2019.0,2019.0,2019.0,2019.6,2019.0,Marshall County,mixed,2019.0
21195,2022.0,2022.0,,2022.0,2022.0,Pike County,crypto,2022.0
21225,2020.0,2020.0,,2020.0,2020.0,Union County,crypto,2020.0
