county_fips,county_name,state,role,baseline_fy,baseline_pt_allfunds_usd,post_fy,post_pt_allfunds_usd,baseline_source_type,post_source_type,status,note
13121,Fulton County,GA,treated,2017,558945000,2024,765662000,acfr_govwide,acfr_govwide,VERIFIED,"GA reports PT only on Statement of Activities (govwide). Prior $697,487 was FY2023 value misattributed to FY2017, NOT a fragment. Census 2017 $529M ~5.5% low. Both from Fulton 2024 ACFR Schedule 2 ten-year series (in $000s)."
39049,Franklin County,OH,treated,2017,432379000,2023,531792000,acfr_allfunds,acfr_allfunds,VERIFIED,"Total Governmental Funds column. Prior $531,792 was the CORRECT FY2023 all-funds value but in $000s (read as dollars = units bug, not fragment). Bulk of PT in special-rev funds (FCBDD/CSB/ADAMH), GF-only badly understates. Census 2017 $417M ~$15M low."
13303,Washington County,GA,treated,2017,8591426,2023,8825720,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide Statement of Activities. Census 2017 $8.6M confirmed exact. Only +2.7% over 6yr nominal despite dc_share_mid=52% in dist file -- treatment-denominator scope worth scrutiny."
18153,Sullivan County,IN,treated,NA,NA,NA,NA,NA,NA,FAILED,"INDIANA BUNDLING: SBOA regulatory-basis audit reports 'Taxes' per fund bundling property tax + local income tax (LIT/CAGIT/COIT); PT-only NOT separable from published audit. Census 2017 $22.97M captures all-taxing-units settlement and/or includes LIT (over-capture). County-govt PT-only likely ~$5-7M (prior FY2022 GF $6.67M / allfunds $7.59M plausible). Needs DLGF County Abstract / Gateway Detailed Receipts to resolve."
35061,Valencia County,NM,treated,2017,12454975,2024,17821608,acfr_allfunds,acfr_allfunds,VERIFIED,"Total Governmental Funds column, GAAP audit. PILOT ($182,849) excluded. Census 2017 $13.19M ~$0.7M high (captured treasurer pass-through to other units). FY2024 post cross-checked exact vs FAC PDF p.18."
48015,Austin County,TX,control,2017,15277293,2022,21725272,acfr_allfunds,acfr_allfunds,VERIFIED,"Austin COUNTY (Bellville), NOT City of Austin/Travis. Total Governmental Funds column. Census 2017 $13.4M understated (~GF-only scope). +42% over 5yr."
48107,Crosby County,TX,control,2017,1366000,2024,2734664,census_confirmed,acfr_allfunds,VERIFIED,"Baseline = Census ASLGF $1.366M (no FY2017 audit PDF online, but value confirmed plausible vs FY2022 v2 $2.52M and FY2024 ACFR). Post = FY2024 ACFR Total Governmental Funds incl 5 Road&Bridge precinct levies. Control, no DC."
48447,Throckmorton County,TX,control,2017,1665354,2022,1902632,budget_levy,budget_levy,PARTIAL,"No published ACFR (pop ~1,440). Figures are CERTIFIED LEVY from county budget doc (taxable value x rate), not collected revenue (~95-98% of levy), +-3%. Covers county-govt entities (General+Road&Bridge+Farm/Market). Census 2017 $353k WRONG (TX ASLGF sample-survey thin coverage); true ~$1.67M (4.7x). Wind-farm tax base growth post-2019."
53005,Benton County,WA,control,2017,28651088,2021,32078043,acfr_allfunds,acfr_allfunds,VERIFIED,"WA GAAP CAFR Total Governmental Funds column. WA counties carry large PT in Road Fund (~$5.8M FY17) + nonmajor funds; GF-only ($24.8M FY21) captures only ~78%. Census 2017 $27.59M ~$1M low. Prior FY2021 GF extraction $24.8M confirmed correct but all-funds is $32.1M."
51153,Prince William County,VA,treated,2017,780642000,2024,1233906000,acfr_allfunds,acfr_allfunds,VERIFIED,"FLAGSHIP. Real+personal PT, Total Governmental Funds (PWC FY24 ACFR Table 4 / Exhibit 5, in $000s). Personal-property tax (DC servers) $123.7M FY17 -> $282.5M FY24 (+128%); ACFR text cites data centers. Census 2017 $780.6M confirmed EXACT. v2 $1.23T = x1,000,000 unit error of $1,233,906 thousands."
38061,Mountrail County,ND,control,2017,4120000,2023,1660579,census_only,acfr_allfunds,PARTIAL,"Oil county. 'INCONSISTENT' flag was a YEAR-MISMATCH not error: PT genuinely DECLINED $4.12M (FY17 Census; FY21 audited $4.24M) -> $1.66M (FY23 audited), oil assessment cycle. Oil&gas production tax excluded (in Intergovernmental). FY17 SAO PDF unavailable; baseline=Census only."
39007,Ashtabula County,OH,control,2017,17348251,2023,17948851,acfr_allfunds,acfr_allfunds,VERIFIED,"'Property and other local taxes', Total Governmental Funds (OH Auditor 23-Ashtabula). Bulk in special-rev funds (DD/CSB); GF only 23%. v2 $14,677 was MISCLASSIFICATION (grabbed PILOT line), NOT div1000 -- our div1000 hypothesis also wrong. Census $16.38M ~5.6% low."
48237,Jack County,TX,control,NA,NA,2022,6587403,NA,acfr_allfunds,PARTIAL,"Oil county. Post FY2022 $6,587,403 (FY2021 $6,649,313 confirms prior extraction). NO FY2017 audit online; Census 2017 $2.04M is ASLGF undercount (GF-only, missed Road&Bridge+Debt) -> baseline unreliable=NA. DROPPED from growth DiD until a FY17/18 audit is sourced."
48311,McMullen County,TX,control,2018,12765387,2022,14721368,acfr_allfunds,acfr_allfunds,VERIFIED,"Eagle Ford mineral wealth: $2.83B taxable value, ~$21k PT per capita (pop ~700). $14.7M REAL, NOT x1000. Census 2017 $180k is the error (ASLGF misses tiny counties). Baseline=FY2018 (no FY17 audit; FY17 govwide $10.4M = oil crash). 'Taxes' line = ad valorem only."
01003,Baldwin County,AL,control,2017,36550384,2023,59076032,acfr_govwide,acfr_govwide,VERIFIED,"AL Statement of Activities (general + specific-purpose PT, both county-levied). Census $34.59M. +62% over 6yr."
01113,Russell County,AL,control,NA,NA,2020,7989816,NA,acfr_govwide,PARTIAL,"No FY17 audit online (AL EOPA keeps only last 5yr; severe backlog, FY2020 latest posted). Baseline unverified -> Jackson AL stays under-supported."
04021,Pinal County,AZ,control,2017,88122000,2023,133037000,acfr_govwide,acfr_govwide,VERIFIED,"AZ Statement of Activities (PT in $000s). GF 'Taxes' bundles sales+VLT so govwide used. +51% 6yr. POOR MATCH to Maricopa (ratio 0.16)."
13223,Paulding County,GA,control,2017,48039377,2024,84840018,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide (general+debt+fire levies). +77% 7yr."
13051,Chatham County,GA,control,2017,161352079,2024,244682659,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide 10yr table (Savannah). POOR MATCH to Fulton (ratio 0.28)."
13095,Dougherty County,GA,control,2017,32043258,2022,38330176,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide (Albany). +19.6% 5yr."
13255,Spalding County,GA,control,2017,25102166,2022,33294791,acfr_govwide,acfr_govwide,VERIFIED,"GA govwide (Griffin)."
16055,Kootenai County,ID,control,2017,47625018,2022,57312895,acfr_allfunds,acfr_allfunds,VERIFIED,"ID Total Gov Funds 'Taxes'=PT only (no ID county sales tax). +20% 5yr."
17099,LaSalle County,IL,control,2017,23606659,2022,28918681,acfr_govwide,acfr_govwide,VERIFIED,"IL govwide governmental-activities (excl business-type PT). FY ends Nov 30."
29215,Texas County,MO,control,2016,271282,2024,571331,acfr_cashbasis,acfr_cashbasis,DROP_BADMATCH,"MO cash-basis; county PT only $271k (GR+SB40 funds; Road=sales-tax). Census $8.97M is 33x OVER-capture -> match to Clay MO INVALID. DROPPED. Flags MO Census ASLGF as systematically unreliable."
31169,Thayer County,NE,control,2017,2782543,2023,2783047,levy,levy,PARTIAL,"NE Dept of Revenue levy (no audit PDF; small-county waiver). All-county-funds levy. Flat 2016-22 then +17%/+15% in 2023/24."
35055,Taos County,NM,control,2017,11452952,2023,14047479,acfr_allfunds,acfr_allfunds,VERIFIED,"NM Total Gov Funds. +23% 6yr."
38015,Burleigh County,ND,control,2017,20618764,2024,25187609,acfr_allfunds,acfr_allfunds,VERIFIED,"ND Bismarck. Oil/gas production tax excluded (sits in intergovernmental). +22% 7yr."
38077,Richland County,ND,control,2017,8476000,2022,9434571,census_plausible,acfr_allfunds,PARTIAL,"No FY17 audit online (ND SAO posts 2021+). Census $8.476M fits trend (FY21 audit $9.35M). Post FY22 audited."
39133,Portage County,OH,control,2017,26084148,2022,33704006,acfr_allfunds,acfr_allfunds,VERIFIED,"OH Total Gov Funds (DD+MHRB levies dominate). Serves BOTH Fairfield+Licking OH. +29% 5yr."
39095,Lucas County,OH,control,2017,108825000,2022,120722098,acfr_allfunds,acfr_allfunds,VERIFIED,"OH Toledo. Post in actual $; baseline from 10yr table ($000s). GF-only=13% so all-funds essential. +11% 5yr. POOR MATCH to Franklin (ratio 0.24)."
42089,Monroe County,PA,control,2017,46528000,2023,50267343,census_plausible,acfr_snippet,PARTIAL,"County site blocks crawlers; post from Google-indexed PDF snippet. Census baseline plausible (millage flat 3.2273). PA real-estate tax all to GF."
45077,Pickens County,SC,control,2017,27096468,2024,46856976,acfr_govwide,acfr_govwide,VERIFIED,"CORRECTED to govwide BOTH endpoints (agent's fund-basis post $63.1M mixed bases -> spurious +133%). govwide +73% 7yr."
48071,Chambers County,TX,control,2017,45031759,2024,66843230,acfr_statistical,acfr_allfunds,VERIFIED,"TX petrochemical base. Baseline from FY18 CAFR 10yr statistical (FY17 ACFR image-only). +48% 7yr."
48181,Grayson County,TX,control,2017,37377805,2022,41161193,acfr_allfunds,acfr_allfunds,VERIFIED,"TX Total Gov Funds incl R&B+DS levies. +10% 5yr."
53065,Stevens County,WA,control,2017,11869382,2022,14131721,acfr_allfunds,acfr_allfunds,VERIFIED,"WA BARS; PT stripped from bundled code-310 via Note levy figures. Road Fund=45-48% of PT (GF-only understates). +19% 5yr."
51013,Arlington County,VA,control,2017,854042974,2024,1082591699,acfr_allfunds,acfr_allfunds,VERIFIED,"PWC's control. VA real+personal, Table D modified-accrual BOTH endpoints (consistent). Baseline NOW obtained (previously post-only)."
