treated,treated_name,state,control,control_name,pt17_control_M,ratio,rank,band
01071,"Jackson County, AL",01,01113,01113,5.61,0.99,1,OK
01071,"Jackson County, AL",01,01061,01061,5.42,0.95,2,OK
01071,"Jackson County, AL",01,01009,01009,5.97,1.05,3,OK
01089,"Madison County, AL",01,01003,01003,34.59,0.71,1,OK
01089,"Madison County, AL",01,01125,01125,29.54,0.61,2,OK
01089,"Madison County, AL",01,01117,01117,26.94,0.55,3,OK
04013,"Maricopa County, AZ",04,04021,04021,94.98,0.16,1,FALLBACK
04013,"Maricopa County, AZ",04,04025,04025,54.76,0.09,2,FALLBACK
04013,"Maricopa County, AZ",04,04015,04015,51.6,0.09,3,FALLBACK
13097,"Douglas County, GA",13,13223,13223,49.38,1.07,1,OK
13097,"Douglas County, GA",13,13073,13073,39.38,0.85,2,OK
13097,"Douglas County, GA",13,13127,13127,35.5,0.77,3,OK
13121,"Fulton County, GA",13,13051,13051,150.44,0.28,1,FALLBACK
13121,"Fulton County, GA",13,13117,13117,88.87,0.17,2,FALLBACK
13121,"Fulton County, GA",13,13151,13151,82.23,0.16,3,FALLBACK
13217,"Newton County, GA",13,13095,13095,33.35,1.01,1,OK
13217,"Newton County, GA",13,13127,13127,35.5,1.08,2,OK
13217,"Newton County, GA",13,13073,13073,39.38,1.19,3,OK
13313,"Whitfield County, GA",13,13255,13255,26.44,1.0,1,OK
13313,"Whitfield County, GA",13,13033,13033,25.04,0.95,2,OK
13313,"Whitfield County, GA",13,13103,13103,23.62,0.89,3,OK
16001,"Ada County, ID",16,16055,16055,47.68,0.43,1,FALLBACK
16001,"Ada County, ID",16,16027,16027,40.05,0.36,2,FALLBACK
16001,"Ada County, ID",16,16017,16017,26.75,0.24,3,FALLBACK
17037,"DeKalb County, IL",17,17099,17099,24.08,1.0,1,OK
17037,"DeKalb County, IL",17,17115,17115,20.9,0.87,2,OK
17037,"DeKalb County, IL",17,17091,17091,19.94,0.83,3,OK
29047,"Clay County, MO",29,29215,29215,8.97,1.01,1,OK
29047,"Clay County, MO",29,29031,29031,9.66,1.08,2,OK
29047,"Clay County, MO",29,29099,29099,10.53,1.18,3,OK
31153,"Sarpy County, NE",31,31169,31169,18.91,0.48,1,FALLBACK
31153,"Sarpy County, NE",31,31025,31025,14.18,0.36,2,FALLBACK
31153,"Sarpy County, NE",31,31111,31111,13.7,0.35,3,FALLBACK
35061,"Valencia County, NM",35,35055,"Taos County, NM",11.77,0.89,1,OK
35061,"Valencia County, NM",35,35039,"Rio Arriba County, NM",11.76,0.89,2,OK
35061,"Valencia County, NM",35,35027,"Lincoln County, NM",11.06,0.84,3,OK
38035,"Grand Forks County, ND",38,38015,38015,20.52,0.92,1,OK
38035,"Grand Forks County, ND",38,38101,38101,20.36,0.91,2,OK
38035,"Grand Forks County, ND",38,38089,38089,16.38,0.73,3,OK
38093,"Stutsman County, ND",38,38077,38077,8.48,0.89,1,OK
38093,"Stutsman County, ND",38,38083,38083,11.23,1.18,2,OK
38093,"Stutsman County, ND",38,38053,38053,7.63,0.8,3,OK
39045,"Fairfield County, OH",39,39133,39133,26.89,0.99,1,OK
39045,"Fairfield County, OH",39,39103,39103,30.48,1.13,2,OK
39045,"Fairfield County, OH",39,39055,39055,31.16,1.15,3,OK
39049,"Franklin County, OH",39,39095,39095,98.36,0.24,1,FALLBACK
39049,"Franklin County, OH",39,39093,39093,49.74,0.12,2,FALLBACK
39049,"Franklin County, OH",39,39085,39085,48.08,0.12,3,FALLBACK
39089,"Licking County, OH",39,39133,39133,26.89,0.99,1,OK
39089,"Licking County, OH",39,39103,39103,30.48,1.12,2,OK
39089,"Licking County, OH",39,39055,39055,31.16,1.15,3,OK
42007,"Beaver County, PA",42,42089,42089,46.53,0.97,1,OK
42007,"Beaver County, PA",42,42021,42021,43.54,0.9,2,OK
42007,"Beaver County, PA",42,42055,42055,39.17,0.81,3,OK
45015,"Berkeley County, SC",45,45077,45077,29.52,1.03,1,OK
45015,"Berkeley County, SC",45,45057,45057,29.7,1.03,2,OK
45015,"Berkeley County, SC",45,45039,45039,26.26,0.91,3,OK
48135,"Ector County, TX",48,48071,48071,43.81,0.94,1,OK
48135,"Ector County, TX",48,48091,48091,43.63,0.94,2,OK
48135,"Ector County, TX",48,48251,48251,49.31,1.06,3,OK
48139,"Ellis County, TX",48,48181,48181,35.51,1.01,1,OK
48139,"Ellis County, TX",48,48123,48123,33.73,0.96,2,OK
48139,"Ellis County, TX",48,48397,48397,33.32,0.95,3,OK
51153,"Prince William County, VA",51,51013,51013,863.06,1.11,1,FALLBACK
51153,"Prince William County, VA",51,51003,51003,167.33,0.21,2,FALLBACK
51153,"Prince William County, VA",51,51199,51199,153.68,0.2,3,FALLBACK
53017,"Douglas County, WA",53,53065,53065,11.63,1.0,1,OK
53017,"Douglas County, WA",53,53031,53031,12.14,1.04,2,OK
53017,"Douglas County, WA",53,53021,53021,12.62,1.09,3,OK
