ISSUER,STATECODE,override_type,county_fips,note
NYC Municipal Water Fin Auth,NY,metro_excluded,,NYC = 5-county consolidated fiscal unit; not borough-attributable; only 63/4507 DCs in NYC (1.4%) all in Manhattan carrier-hotel cluster — fiscal impact on $90B NYC budget is negligible
NYC Housing Dev Corp,NY,metro_excluded,,NYC citywide — see Municipal Water Fin Auth note
NYC Sales Tax Asset Rec Corp,NY,metro_excluded,,NYC citywide tobacco/sales-tax securitization
Hudson Yards Infrastructure Corp,NY,metro_excluded,,Manhattan TIF but part of NYC citywide fiscal unit; treat as NYC
Los Angeles USD,CA,county_override,06037,LA County
Los Angeles Dept Wtr & Pwr (LADWP),CA,county_override,06037,LA City utility
Los Angeles Municipal Imp Corp,CA,county_override,06037,LA City conduit
San Diego USD,CA,county_override,06073,San Diego County
San Diego Public Facs Fin Auth,CA,county_override,06073,San Diego County
San Francisco City/Co Public Util Comm,CA,county_override,06075,SF
San Francisco City/Co-California,CA,county_override,06075,SF consolidated city-county
San Francisco City & Co Airport Comm,CA,county_override,06075,SF airport (SFO)
Honolulu City & Co-Hawaii,HI,county_override,15003,Honolulu Co consolidated
Indianapolis Loc Pub Imp Bond Bank,IN,county_override,18097,Marion County (Indy)
Unified Gov of Wyandotte Co/Kansas City,KS,county_override,20209,Wyandotte Co consolidated
Philadelphia SD,PA,county_override,42101,Philadelphia Co
Dallas ISD,TX,county_override,48113,Dallas County
Fort Bend ISD,TX,county_override,48157,Fort Bend Co
Chicago Transit Authority,IL,county_override,17031,Cook County
Metropolitan Pier & Expo Auth,IL,county_override,17031,Cook County
Greater Chicago Metro Wtr Rec Dt,IL,county_override,17031,Cook County
District of Columbia Wtr & Swr Au,DC,county_override,11001,DC
Baltimore Mayor & City Council-Maryland,MD,county_override,24510,Baltimore independent city
Jacksonville Electric Authority (JEA),FL,county_override,12031,Duval County (Jax consolidated)
Orlando Utilities Commission (OUC),FL,county_override,12095,Orange County (FL)
Las Vegas Valley Water Dt,NV,county_override,32003,Clark County
Port of Seattle-Washington,WA,county_override,53033,King County
Omaha Public Power Dt (OPPD),NE,county_override,31055,Douglas County (Omaha)
Salt River Proj Agric Imp & Pwr Dt,AZ,county_override,04013,Maricopa County
Foothill/Eastern Transp Corridor Agy,CA,county_override,06059,Orange County
East Bay MUD,CA,multi_county_authority,,Alameda + Contra Costa
So California Metro Water Dt,CA,multi_county_authority,,LA/Orange/Riverside/SD/SB/Ventura
So California Pub Pwr Au (SCPPA),CA,multi_county_authority,,Multi-county JPA
Bay Area Toll Authority (BATA),CA,multi_county_authority,,Bay Area bridges
San Fran Bay Area Rapid Trans Dt,CA,multi_county_authority,,BART multi-county
North Texas Tollway Auth (NTTA),TX,multi_county_authority,,DFW multi-county
North Texas Municipal Water Dt,TX,multi_county_authority,,Multi-county wholesale water
Tarrant Regional Water Dt,TX,multi_county_authority,,Multi-county TX
Dallas Area Rapid Transit Auth,TX,multi_county_authority,,DART multi-county
Lower Colorado River Authority (LCRA),TX,multi_county_authority,,Multi-county TX
Grand Parkway Transport Corp,TX,multi_county_authority,,Multi-county TX toll
Washington Suburban Sanitary Dt,MD,multi_county_authority,,Prince Georges + Montgomery
Metro Washington Airports Auth,DC,multi_county_authority,,DC + VA + MD
Long Island Power Authority,NY,multi_county_authority,,Nassau + Suffolk
Colorado Reg Transportation Dt,CO,multi_county_authority,,Denver metro multi-county
Regional Transportation Auth,IL,multi_county_authority,,Chicago RTA multi-county
Metro Atlanta Rapid Transit Au (MARTA),GA,multi_county_authority,,Fulton + DeKalb + others
Great Lakes Water Auth (GLWA),MI,multi_county_authority,,Detroit metro multi-county
American Municipal Power Inc,OH,state_conduit,,Multi-state public power JPA
Georgia Muni Electric Au (MEAG),GA,state_conduit,,Multi-county state JPA
Buckeye Tobacco Settle Fin Au,OH,state_conduit,,State tobacco securitization
Brazos Higher Education Auth,TX,state_conduit,,State higher-ed conduit
Univ of Massachusetts Bldg Au,MA,state_conduit,,State public university
Arizona School Facilities Board,AZ,state_conduit,,State agency
Nebraska Public Power Dt,NE,state_conduit,,State public power
Black Belt Energy Gas Dt,AL,state_conduit,,Gas prepayment conduit
Southeast Energy Authority,AL,state_conduit,,Gas prepayment conduit
Southeast Alabama Gas Dt,AL,state_conduit,,Gas prepayment conduit
Main Street Natural Gas Inc,GA,state_conduit,,Gas prepayment conduit
Central Plains Energy Project,NE,state_conduit,,Gas prepayment conduit
De Kalb Co-Georgia,GA,county_override,13089,DeKalb Co — regex missed space in De Kalb
